topic0	stoff 0.267679333053	richtlinie 0.119755829389	kunststoff 0.0566426873077	ziffer 0.034855736893	chemikalie 0.0333510651852	verarbeiten 0.0306080501551	planer 0.0272968393606	gel 0.0263786234079	entsorgung 0.026093821251	einleitung 0.0231170573968	unentbehrlich 0.0218229125267	chemisch 0.0216105569045	gesamtkonzept 0.0172325676568	einfuhr 0.0148674392424	erörtern 0.0142688637768	spezialgebiet 0.0141560040056	umwelt 0.0128528804928	grundwissen 0.0118931531744	bündel 0.0108266659242	quecksilber 0.0106779054343	bequemlichkeit 0.00914414387647	fließband 0.00878575471853	verarbeitend 0.00816887352349	aufwind 0.00725368754673	kohlenwasserstoff 0.00697699164185
topic11	abholen 0.0600664022079	stange 0.0504755346647	bock 0.0427671423247	fass 0.0410393379189	schief 0.0401878960043	gekommen 0.0257051638007	viertelstunde 0.0213178785269	zacken 0.0205657388726	verteiler 0.0198822249179	umschauen 0.0172178200997	gasen 0.0165937310312	gegoogelt 0.0163842895767	anlaufen 0.0158272730818	restposten 0.0156347938533	emailadresse 0.0152634268769	rasten 0.0145571841194	herausholen 0.0139904041963	neueinsteiger 0.0139324862196	ölen 0.0138989860536	dankend 0.0129412631554	stopfen 0.0120873350269	anhieb 0.0120527400684	aufteilen 0.0118995140852	entgegengesetzt 0.0111223537805	asiate 0.0110618669754
topic12	platte 0.171642181194	breite 0.120371665611	kette 0.111960755989	gefunden 0.0621881747473	fertigen 0.0521207196182	leiste 0.0390079696674	unregelmäßig 0.0324020269434	mütze 0.0296937278915	zusammenhängen 0.0285438261187	dicke 0.0278772021034	platt 0.0245770461103	tierchen 0.0188068509292	rotation 0.0185287199802	speer 0.0181638760731	schnelligkeit 0.0179054825297	addieren 0.016661712399	haltbarkeit 0.0166133216724	vorgefertigt 0.016038710614	rotieren 0.0152169103286	auftreiben 0.0139387176491	clever 0.0134176811162	gegenüberliegend 0.0106325888468	verleumdung 0.00981143965118	hochgeladen 0.00949000568688	bohle 0.00904725031992
topic13	mitarbeiter 0.156487573217	beratung 0.0630958881802	persönlich 0.0412297215484	gespräch 0.0372720789983	bewerbung 0.036535354697	professionell 0.0326301261919	personal 0.0285153519031	berater 0.0244501066604	bewerber 0.022953456605	beraten 0.0220089627167	bewerben 0.0217353040336	schulung 0.0168998678313	coaching 0.0159500571777	stelle 0.0156427002551	qualifiziert 0.0122676216617	erfahrung 0.0101539786951	chef 0.0101012079293	lebenslauf 0.0100773727523	qualifikation 0.00800871174128	langjährig 0.00771423777791	karriere 0.00702406919392	leuchtturm 0.00681952258787	führungskraft 0.0065350732724	stärke 0.00649784635199	anschreiben 0.00642227440988
topic14	herzlich 0.123525874365	freuen 0.119379898703	dank 0.105102672386	wünschen 0.0910113382026	willkommen 0.0769164756315	schön 0.0472945484764	lieb 0.0468247535319	danken 0.0410066717935	glückwunsch 0.0342948608099	bedanken 0.0309402392257	hoffen 0.023332492917	wunsch 0.0186678872387	toll 0.0184630240899	gratulieren 0.016359425125	freude 0.0149005280175	gute 0.0142809953533	dankeschön 0.0116607141331	erfolg 0.0112713038659	begrüßen 0.00955637265118	stolz 0.00892588157087	liebe 0.00870993827001	stelle 0.00813410513204	gut 0.00644641486573	freundlich 0.00613641380283	gesund 0.00531709282837
topic15	minimal 0.0955932084398	rad 0.0823809812478	gewicht 0.0783578316141	fahrrad 0.0606773539631	wiegen 0.0344136106295	schnell 0.0330570923669	gramm 0.0283151197224	kilo 0.0265884633313	tempo 0.0223910335794	verbrauch 0.0171943911243	kilogramm 0.0146424036602	radfahren 0.0141412976966	bremse 0.0141055896561	tanken 0.0135003434745	maximal 0.0133954513006	fahren 0.0129888781649	bremsen 0.0126442701303	sprit 0.0125223498877	langsam 0.0124765760279	leicht 0.0122362125251	schwer 0.0108047364505	joggen 0.0101521971002	waage 0.00875909482033	lang 0.00813265987846	kurbel 0.00773092305995
topic16	schiff 0.171346335883	hafen 0.0821332884515	brücke 0.0722605999826	bord 0.0645507347437	mission 0.0629007724543	schleuse 0.0381012635525	passagier 0.0299501937623	rakete 0.0227391962754	raumschiff 0.0184033859593	besatzung 0.017170058388	sir 0.0165019496249	explosion 0.0156757575352	alpha 0.013968331112	fliegend 0.013420268132	geladen 0.0125960131796	landung 0.0118824453902	trümmer 0.0102611075773	föderation 0.00871771528492	groß 0.00807994508217	crew 0.00783280586423	weltraum 0.00779473142895	wrack 0.00729599828499	admiral 0.0058796577339	befördern 0.00544163061207	weit 0.00521707145546
topic17	uhr 0.696692887651	öffnungszeit 0.0201761642893	treffpunkt 0.0177171890444	finden 0.0176016306792	haltestelle 0.0154762901167	zeit 0.0110723103624	beginnen 0.0106529474123	laden 0.00735515189449	wochenende 0.0072031146316	täglich 0.00587839831809	einlass 0.00543192756586	pünktlich 0.00511586002051	beginn 0.00480433255625	infostand 0.00478823512988	stehen 0.0046892491323	eintrittspreis 0.00446933579355	kommend 0.00408026702295	geben 0.00403252270982	tag 0.00390806539652	bitten 0.00388220263856	starten 0.00366755923123	gehen 0.00344122330228	tombola 0.00341400036014	hauptbahnhof 0.00327874096394	haupteingang 0.00289787882056
topic18	vornehm 0.126248338089	ordner 0.123833156122	versteckt 0.0736982257423	schreibtisch 0.0593655298425	nachbarin 0.0420344347787	spielraum 0.0369048610461	votum 0.030834951662	aufräumen 0.0281876745827	abmelden 0.0223183769114	lebensalter 0.0201622600553	abweichen 0.0197667195498	kamm 0.0196831484346	geltung 0.0186381763422	laminat 0.0173443721227	nüchtern 0.0169559871335	finish 0.0159338941787	überfüllt 0.0153498284367	bereinigen 0.0146755501124	psi 0.0140423106507	nächste 0.0128072727951	rastatter 0.0124102211122	ersteller 0.0123448785549	promille 0.0121669732845	absprechen 0.0120374887583	verletzungsbedingt 0.0118487685351
topic19	spät 0.0448136286741	amt 0.027223036697	erst 0.0264351793145	erhalten 0.024039825212	übernehmen 0.0230040588963	treten 0.0186419741516	jahr 0.0172960083651	zeit 0.0158147593873	gründen 0.0154091963112	damalig 0.0148587318714	beginnen 0.0131219219037	gründung 0.0120426234332	nachfolger 0.0116664794342	leiten 0.0112747521297	bleiben 0.0112060201935	tätig 0.0110556880255	führen 0.0106527841322	nehmen 0.010488061639	folgen 0.00968089838991	eigen 0.00852967418951	leitung 0.00837638972295	leiter 0.00798581150537	ehemalig 0.00796822399021	gehören 0.00760539323754	früh 0.00735881317332
topic20	text 0.686490714721	ausweis 0.0274949859954	frame 0.023660648975	aufgeführt 0.0211813543708	überschrift 0.0159550098985	style 0.0141641419619	klassenstufe 0.0127930880746	header 0.0118762613248	gelinkt 0.011581355587	vermerk 0.0113892230041	lesbar 0.0110707911784	webspace 0.0109900839662	schriftgröße 0.0105164469097	förderschule 0.00950994402171	gedruckt 0.00864163802349	endung 0.00782658462669	grafik 0.00700151829017	paragraph 0.00665840059318	fächerübergreifend 0.0064215160664	gebräuchlich 0.00613234654243	verfassen 0.00477181363059	aufzählung 0.00378398447551	schulentwicklung 0.00375299859145	fortbilden 0.0034728136167	seniorenresidenz 0.00310536984929
topic21	kaufen 0.429649269236	laden 0.130767037034	kauf 0.0610918602989	gebraucht 0.0436650255711	nadel 0.0211130944281	mexikanisch 0.0146716405517	handschuh 0.0134574947735	wäsche 0.0134224844024	günstig 0.0127092750375	erwerben 0.0125910783755	baumwolle 0.012316315756	textilie 0.0121702852858	alpin 0.0109454804574	hundertprozentig 0.00966948987876	billig 0.00957240690198	geschäft 0.00898374147024	dekoration 0.00844961887423	verkaufen 0.00751351275701	wohnanlage 0.00735282541475	seide 0.0072035404254	bedrucken 0.00707114103229	schaumstoff 0.00573351868835	chilenisch 0.00549550940722	laufschuh 0.00528930077291	wiederaufnahme 0.0050629222779
topic22	eigen 0.0345679802272	gefühl 0.0210308125549	erleben 0.0181264211857	bewusst 0.0173089328803	erfahrung 0.0172933748475	persönlich 0.0120672085931	traum 0.0119619756032	emotional 0.0115991332035	leben 0.00928402544786	situation 0.0092665127127	fühlen 0.00898136238654	moment 0.00848863812258	gedanke 0.00818397735022	lassen 0.00792860248047	erlebnis 0.00778484357053	gespräch 0.00776533058167	entstehen 0.00771309896444	gehen 0.00745008874351	blick 0.00737439122872	alltag 0.00704305447189	aufmerksamkeit 0.00700050909038	sinn 0.00698294697237	zeigen 0.00687268042605	wahrnehmung 0.006696492308	realität 0.00669416358959
topic23	titel 0.564817558797	bestellen 0.200848106566	hase 0.0290216696262	werbeagentur 0.0235087407698	chefredakteur 0.0209677194417	jugendschutz 0.0152535474791	beteiligte 0.0120809807739	stipendiat 0.0118123617645	schallplatte 0.0103061420608	viral 0.00986746193285	ereignisreich 0.00870730111106	audiovisuell 0.00722582829914	neukirche 0.00717284242749	bombardieren 0.0062143230656	snowboard 0.00536991625077	pfälzisch 0.00466396615519	zahlreich 0.00440582653384	güterwagen 0.0039559620878	holzweg 0.00389528099533	zinsgünstig 0.00308662556514	kenntnisreich 0.00296986599636	reitsport 0.00290266807055	kreisweit 0.00248248907676	autodidaktisch 0.00245712506811	glücksmoment 0.00232095854945
topic24	bank 0.205428346079	konto 0.0596086057222	aktie 0.0514633601976	fonds 0.0427544723676	anleger 0.0427511350289	zins 0.0387101086875	börse 0.0280648789556	geld 0.0246190267518	rendite 0.0147708016673	depot 0.0129727246647	girokonto 0.0129176179293	risiko 0.011886462032	einlage 0.0109173250197	wertpapier 0.0107140089397	überweisung 0.00937154034489	transaktion 0.00923030085362	betrag 0.00882537427923	überweisen 0.00825317542232	bargeld 0.00810433873383	verlust 0.00736164054366	anlegen 0.00702499487828	tagesgeld 0.00684823931381	gewinn 0.00664183645644	hoch 0.00646036696363	vermögen 0.0061174443221
topic25	mathematik 0.1110219506	fachbereich 0.109360557591	informatik 0.0905809878136	dozent 0.0701350414075	fachgebiet 0.043528462322	puls 0.0434336463273	pinguin 0.0226990808372	abschlussarbeit 0.0214348960988	läuferin 0.0204491268267	äußere 0.0203643849619	aufgestellt 0.0201584661472	informationssystem 0.0188026931087	anraten 0.0178972997964	medizintechnik 0.0157683596145	betriebswirtschaft 0.0143976050389	fundstück 0.0126091201528	computergestützt 0.012556881562	vorsteher 0.0124875480864	prothese 0.0124099104948	bergsteiger 0.0110739944672	reproduktion 0.0105392243919	einholen 0.00934703556946	zweimalig 0.00898629026464	industrieunternehmen 0.00821260275741	herzrasen 0.00817727409093
topic26	jahr 0.0462275725767	groß 0.0398530332659	präsentieren 0.0341089877687	event 0.0223152531738	neu 0.0205478177195	motto 0.0164536929471	stehen 0.0162120959387	festival 0.0150563104694	erst 0.0143106077873	auszeichnung 0.0139859486715	diesjährig 0.0130677572568	mal 0.0127877848323	zeigen 0.0112189676572	geben 0.0111300809192	weit 0.0110861086304	international 0.0107106862098	award 0.0104450634052	finden 0.0103286326634	erfolgreich 0.00965208644719	zahlreich 0.00921435075505	highlight 0.00905756348177	besucher 0.00898866354015	jung 0.00892801237844	bekannt 0.00891109835102	welt 0.00878135828394
topic27	blog 0.330517429343	archiv 0.106588090855	blogger 0.0554824596739	abonnieren 0.0547811452735	erfindung 0.0385166082754	leser 0.0345533119985	bloggen 0.0335633855411	schwimmbad 0.0328670077775	staubsauger 0.0298318736834	neuigkeit 0.0212766297094	erfinder 0.0167722067155	elternzeit 0.0119944284636	regelmäßig 0.0119502984391	arbeitszimmer 0.0113132180044	parcours 0.00786734411359	bürgerforen 0.00664430546169	täglich 0.00635605532688	berichten 0.00634618793938	benützen 0.00622667039572	interessant 0.00578397150186	tauen 0.00570722487233	nagellack 0.00567640585327	gestreift 0.00545932512081	betreiben 0.00527092656488	plagiat 0.0051643329755
topic28	dienst 0.458494462007	erweiterung 0.0877656216903	weblog 0.0340052888069	multimedial 0.0243347306932	rechenzentrum 0.0231438045686	ausstatten 0.0211215910371	lehrstelle 0.0190641210762	versprochen 0.0186284833207	sozialversicherung 0.0176481891017	gilde 0.0134648212095	vertragslaufzeit 0.0133274839608	einsparen 0.013090443235	teamarbeit 0.012506074773	outsourcing 0.0122944462731	einsparung 0.0119889405087	berufswahl 0.0119517829685	berufstätige 0.0104392233583	item 0.0101653057863	geschäftsprozess 0.00985667088346	einmalzahlung 0.00985225089951	hauptschulabschluss 0.00954415525459	ausarbeiten 0.00903688791104	betriebsmittel 0.0084696849443	unerreicht 0.00793313976867	schulart 0.00777830532203
topic29	student 0.292147011851	uni 0.174444867602	kampagne 0.124083059286	rekord 0.046908209226	studentin 0.0423280830661	taxi 0.0312880330774	heimatland 0.030381974051	diamant 0.0284407999307	absolvent 0.0246383092913	weltrekord 0.0166083535116	vorlauf 0.0164274268595	elefant 0.0153093687904	sorgsam 0.0142480499204	kommilitone 0.0113966037728	taxifahrer 0.0103777493605	familienbetrieb 0.0102171441495	vergewissern 0.0100042825563	wechselhaft 0.00983189669166	lustvoll 0.00842429824126	studieren 0.00747782223406	herausforderer 0.00682454402814	verewigen 0.00655064602751	betriebswirt 0.00611624245532	lesestoff 0.00593228071396	rekordzeit 0.0052227917689
topic30	nachbar 0.257637946553	nachbarschaft 0.0704173605599	unbeschwert 0.0352157423365	rückfrage 0.0347556219953	fördermittel 0.0337464303654	antragstellung 0.0242498016319	tagelang 0.024086002306	instandsetzung 0.0232529454977	hilfsorganisation 0.0227147218806	fleck 0.0224573422289	anderthalb 0.0188778943678	syrisch 0.0185145824743	stauraum 0.0182409229989	ruin 0.0174033302595	lebenswerk 0.0166100726026	fleckig 0.0164119426053	abendlich 0.0150030882567	oberarzt 0.0119543757494	soloalbum 0.0118333119419	studioalbum 0.0116402796489	nachlassend 0.0114348699337	antragsformular 0.0113779346519	unvermeidlich 0.0107029478108	stündlich 0.0103797606458	stocken 0.0101227255086
topic31	geschichte 0.178050143	erzählen 0.0536120658852	roman 0.0520634375091	leben 0.0411195716887	leser 0.026399127206	welt 0.0180266710139	autor 0.0148488459052	erzählung 0.013625708523	schriftsteller 0.0129323025784	spannend 0.0104252187683	jahr 0.00977345323506	jung 0.009397312279	literarisch 0.00862199139814	krimi 0.0081409596084	erst 0.00784150291865	erscheinen 0.00730178940913	klein 0.00717093416609	reise 0.0069043822471	schreiben 0.00669699371875	kennen 0.00658521169462	beginnen 0.00644204564144	zeit 0.00619551330103	vergangenheit 0.0058932041625	erinnerung 0.00577954254644	kindheit 0.00575931522737
topic32	dame 0.452742695636	wandeln 0.0515506017668	macher 0.0454955812869	movie 0.0287699294739	ausstrahlung 0.0286942074351	meditation 0.0256905740956	weilen 0.0249279764566	sensibilisieren 0.022856740571	umgestaltung 0.0228329872127	machthaber 0.0179842600895	bedenkenlos 0.0160724361619	umleitung 0.0140527556378	bindeglied 0.013568798251	ernsthaftigkeit 0.0131526940281	nachstehend 0.0127270845741	langatmig 0.0126050137975	betriebskosten 0.0126026989119	gestärkt 0.0124184285485	mietspiegel 0.00929577800587	meditieren 0.00868004025745	heilsam 0.0086421122453	chakra 0.00852649425781	sozietät 0.00829932055764	mantra 0.00809031493193	gecovert 0.00777997229671
topic33	gebiet 0.0634207079558	norden 0.0628346301108	süden 0.0575495836984	schloss 0.053601802817	südlich 0.0451372420002	osten 0.0409147513076	liegen 0.0385513845181	nördlich 0.0381997908596	weste 0.0365440014952	westlich 0.0269220942318	östlich 0.0221105018232	burg 0.0166747271949	darlehen 0.0141312475852	grenze 0.01247565313	erstrecken 0.0119478602927	niederschlag 0.0107687917909	halbinsel 0.00951678208168	groß 0.00899297277658	südwesten 0.00853641515115	fluss 0.0084836208623	stellplatz 0.00840051774722	bilden 0.00818310280912	weit 0.00815976641091	spezialisieren 0.00792211399026	weitläufig 0.00715365177041
topic34	sehen 0.140740866817	recht 0.0509849391317	linken 0.0502213296554	loch 0.0442475468894	dick 0.0280387830775	schraube 0.0253196702035	feder 0.023499929007	anleitung 0.0222032537638	hinter 0.0216561892769	vorder 0.0180540391314	umbau 0.0148557527373	fertig 0.0139559597632	rahmen 0.0139048929823	dünn 0.0134200132312	sitzen 0.0133873370817	aufkleber 0.013244019877	deckel 0.0131786291837	komplett 0.0101357484929	abdeckung 0.0081542221536	gummi 0.00776798243815	halterung 0.00746317128023	matratze 0.00710863870705	lila 0.00705143856727	kondom 0.0068827462566	gewinde 0.00677715591536
topic35	essen 0.128277293232	trinken 0.0494022277402	ernährung 0.039005442533	lebensmittel 0.0383533886587	gesund 0.0340128406964	fleisch 0.0296807336339	fett 0.0233624731503	vitamin 0.0227699059243	tee 0.0212817287804	milch 0.0211516862606	gemüse 0.0188999477995	obst 0.0188730366861	getränk 0.0155180473404	täglich 0.0149868570578	nahrung 0.0142513465176	mahlzeit 0.0123250968342	saft 0.0121972763199	nahrungsmittel 0.0113449175916	tag 0.0110754035206	getreide 0.00964090908809	wichtig 0.0094603512792	nehmen 0.00852686070403	zucker 0.00803094609816	menge 0.0078357022164	vegan 0.00734465000079
topic36	werbung 0.343145304319	anmeldung 0.197045047059	werben 0.103391690325	ungarisch 0.0363906120087	zielgruppe 0.0203019784661	ausblenden 0.0181836754049	erforderlich 0.017893206977	schalen 0.0177585058351	leserbrief 0.0145561771298	mündig 0.0116128430061	verlobte 0.0107305633142	chemnitzer 0.0106622656939	echoen 0.0102718346267	ausgeschrieben 0.00964039476358	vorherig 0.00798525777931	apparatur 0.00709001505648	direktion 0.00703761040849	kästner 0.00699635249697	alumnus 0.00669442131121	penibel 0.0065581047522	unerfreulich 0.00654923404451	aufmerksamkeit 0.00634879571642	werbefrei 0.00607632578762	werbebanner 0.00595013743226	meteorit 0.00546493956978
topic37	krankheit 0.0620447632429	gesundheit 0.0565304707035	medikament 0.0336695840985	erkrankung 0.0276551160442	gesund 0.023039663123	leiden 0.0214375300167	risiko 0.0191519725873	mensch 0.0186180198731	symptom 0.0184402619187	krank 0.0180176508153	depression 0.0175096001057	medizin 0.017019328746	diabetes 0.0151496877335	nebenwirkung 0.0139536509242	diagnose 0.0111749452955	tablett 0.0108066453206	arzt 0.0104549887355	mediziner 0.00926717544475	erkranken 0.00913817089864	jahr 0.00849139817029	beschwerde 0.00769883053729	blutdruck 0.00748938622685	therapie 0.00745211668926	hormon 0.00738143034005	helfen 0.00728511083255
topic38	gut 0.0375853442171	wissen 0.0344837860432	kommen 0.0298666790296	denken 0.0292737848864	sagen 0.0278045642621	machen 0.0262112070145	geben 0.0251200058689	gehen 0.0229821824008	meinen 0.0183254527008	lieb 0.017519900403	glauben 0.016086984435	bekommen 0.0153090244005	hoffen 0.0141721246196	gruß 0.0136619273899	woche 0.0136172752594	kennen 0.0129799506048	haben 0.0127645569277	sehen 0.0121736684556	fragen 0.0101934179821	jahr 0.010021945282	schön 0.00915392182606	sicher 0.00913842047882	nah 0.00873766177872	stehen 0.00808594748093	tun 0.00802053116766
topic39	regional 0.216240203533	werkstatt 0.0694282401064	selbständig 0.0540901190199	besprechen 0.0523016157182	selbständige 0.041994067003	werkstätte 0.0342660253732	selbständigkeit 0.0341497818926	pate 0.0339746250666	kalorie 0.0270718192695	admin 0.0267322996815	bundesgebiet 0.0202274130644	diskussionsrunde 0.0169368312427	alg 0.0158644108384	verzehren 0.0152198260672	mandel 0.0145793539386	riemen 0.013473992648	kanalisation 0.0127873682945	kalzium 0.0122376603809	zunehmen 0.0114773386592	folgejahr 0.0108900370593	vorherrschen 0.0103495160733	geben 0.00916763642955	ungesund 0.00895022067554	vererben 0.00862909513834	testperson 0.0084729883025
topic40	aktion 0.287318717269	zitat 0.205792152848	gesellschaft 0.159637708257	toleranz 0.0424343841456	rechtsextremismen 0.0128525797774	engagieren 0.012651689112	tolerant 0.0116243451079	miteinander 0.00989182985931	gedankengut 0.00917595873514	statement 0.00807002903545	zwangsarbeiter 0.00754874189534	demokratie 0.00726547461836	bunt 0.00699078933421	wacke 0.00646297975072	vielfalt 0.00637518048068	wiedereinführung 0.00504387016064	beteiligen 0.00468102913187	engagement 0.00464165491778	aktiv 0.00446961548946	courage 0.00445966874946	mitbestimmen 0.00406641612828	machen 0.00395790865055	fremdenfeindlichkeit 0.00394931430162	weltoffen 0.00375501893787	barrikade 0.00359780852851
topic41	lücke 0.121746440117	schlüpfen 0.0479624039735	entlassung 0.0412811324129	deutschlandweit 0.0402660168881	hahn 0.038456653548	gehege 0.0365320764855	schwelle 0.0345528546129	hygiene 0.0323785208169	henne 0.030015849698	trade 0.0285861893902	schleichend 0.0258419551656	premier 0.0257668183025	munter 0.0238811856424	brüten 0.0198543998213	schnabel 0.0198020471563	erträglich 0.0187718099963	küken 0.0182964719712	wohlig 0.0176594443658	bereitwillig 0.017539737863	entlassen 0.0171894316217	grosse 0.0168737888683	kramen 0.01591292858	break 0.0151876976705	traben 0.015136901686	putzig 0.0138940111163
