topic0	ausbildung 0.0400520943766	studium 0.0298334698716	student 0.0203954293028	studierende 0.0202847280336	prüfung 0.0194609748203	hochschule 0.0162746328224	beruf 0.0151476084944	kurs 0.0145592721671	beruflich 0.0123057853077	studieren 0.0117913479095	jahr 0.0111975230945	lernen 0.0110007010651	semester 0.0107967380743	uni 0.010219108155	fach 0.00979848331875	studiengang 0.00912301533962	praktikum 0.00911998100453	weiterbildung 0.00835839404145	universität 0.00758815666283	erst 0.00750953711808	vorlesung 0.00735292967785	abschluss 0.00700091816926	arbeiten 0.0063984910309	kenntnis 0.00555836805336	finden 0.00532777224038
topic11	schweizer 0.0708664676298	kanton 0.0259042927488	franke 0.0250971606908	person 0.0211714220002	schweizerisch 0.0192592424784	beschwerdeführer 0.0184606408046	bund 0.0166891324308	flüchtling 0.0140601206355	bundesrat 0.0128500200887	ausländisch 0.0116983370651	bundesamt 0.0115983108416	prämie 0.0112380560481	entscheid 0.0110749589325	ausländer 0.0106085843892	berner 0.0103936384779	beschwerdeführerin 0.00910387517451	art 0.00774613406382	galle 0.00764888474238	gesuch 0.00717064784046	genossenschaft 0.00707927933095	würfeln 0.00706561431623	behörde 0.00696427243147	migration 0.00692498736987	botschaft 0.00682277391459	oberland 0.00672263298818
topic12	verlag 0.0348443249099	seite 0.0269414302283	band 0.0242114265327	ausgabe 0.0184711040252	auflage 0.0166719575836	werk 0.0165490292411	geschichte 0.0144233749535	literatur 0.0143185644085	zeitschrift 0.0137829117204	deutsch 0.0135384175857	bibliothek 0.0135325685111	text 0.0135307975094	heft 0.0123426069807	titel 0.0112966228904	exemplar 0.0103727841009	zahlreich 0.0100731949982	isbn 0.0100485777905	gedicht 0.00906754645169	herausgeber 0.00899791685027	erscheinen 0.00890985548835	gut 0.00841538935302	neu 0.00815904463341	nummer 0.00785755418564	sammlung 0.00757335805103	brief 0.00687685550897
topic13	gut 0.0135881850507	gegner 0.0133713734883	kampf 0.0124466241466	waffe 0.0123607800816	schnell 0.0122683277973	machen 0.00976937482807	stark 0.00786136654136	lassen 0.00673174689797	schießen 0.00622039493094	schwer 0.00618147285526	hoch 0.00609101077985	kommen 0.00591706629445	recht 0.00588656389305	leicht 0.00580579050938	angriff 0.00551795435346	halten 0.00531924228059	einfach 0.00519052424461	schlag 0.00510493355321	nehmen 0.00476473885749	bringen 0.00476178570176	schaden 0.00467468895689	gehen 0.00460405033165	hand 0.00445787344843	punkt 0.00438977397876	treffen 0.00437847100197
topic14	besucher 0.0359217399324	gast 0.0331990350818	veranstaltung 0.0230142618669	groß 0.0227853461189	messe 0.0149679605141	geben 0.0130115762097	programm 0.0125768206966	club 0.0124979472612	abend 0.0121104317937	halle 0.011769576212	laden 0.0108047011174	präsentieren 0.0103635168896	finden 0.0102428926743	besuch 0.00992964756803	stand 0.00953625363072	party 0.00915433133403	sorgen 0.00876461048703	veranstalter 0.00824980347494	zahlreich 0.00808893284957	erleben 0.00719625785198	bunt 0.00694104119257	bieten 0.00682070197535	lassen 0.0067185470079	welt 0.00670186589088	traditionell 0.00631825462612
topic15	karte 0.0439260982871	reise 0.0427745225529	hotel 0.0269595052941	urlaub 0.0230779378101	finden 0.0198519177893	land 0.0189894384488	buchen 0.0176146380545	ort 0.0137160156049	information 0.0121506089491	unterkunft 0.012117439622	region 0.0107879240178	angebot 0.0106081712324	gut 0.00977529115822	einfach 0.00911413527456	ticket 0.00907934340456	pension 0.00843352891493	reisen 0.00784532102661	flug 0.00777604398111	günstig 0.00776393114346	übernachtung 0.00684357269638	zutaten 0.00679331606084	aktuell 0.00666918004487	reisende 0.006330168154	tip 0.00626706608294	bieten 0.00611851826466
topic16	schule 0.0847882895329	schüler 0.0664473425253	klasse 0.0318743149879	lehrer 0.0270404975308	schülerin 0.0236225871252	jugendliche 0.0227048200339	unterricht 0.0181766931902	lernen 0.0166815059264	gymnasium 0.0113618786706	grundschule 0.0102384723439	pädagogisch 0.00930472980662	eltern 0.0091750781843	bildung 0.00844896241868	schuljahr 0.00776168259122	lehrerin 0.00697436456568	kind 0.00678880388922	lehrkraft 0.00570029529625	fach 0.00529537324896	projekt 0.00519112729368	förderung 0.00474939311655	mathematik 0.0046086092227	gut 0.00446491239343	aufgabe 0.00414785313995	jugend 0.00411498693473	schulisch 0.00399772593563
topic17	hoch 0.0165888469235	einsatz 0.0113427225056	material 0.00842167624232	gering 0.00612415592457	maschine 0.00609982732034	verschieden 0.0058619627481	technisch 0.00584994690486	anlage 0.00574291568325	system 0.00564646913782	möglich 0.0054440776186	erfolgen 0.00523758229522	groß 0.00520806490356	speziell 0.00520496864255	gerät 0.00508479719101	hersteller 0.00504668745411	lassen 0.00490235016343	bestehen 0.00486517917894	optimal 0.00475762000995	zusätzlich 0.00473713904583	unterschiedlich 0.00464368189002	membrane 0.00447338257228	ermöglichen 0.00430326050354	vorteil 0.00428474302304	technik 0.00407618298414	anwendung 0.00397953999568
topic18	herr 0.027864988461	lassen 0.0129453586499	kritik 0.0070356097113	bleiben 0.00631815770958	wort 0.005957279664	scheinen 0.00528039589859	offenbar 0.0049195405936	medium 0.00479786809767	zeigen 0.00446146317353	rede 0.00445499237499	offensichtlich 0.00443094488546	sprechen 0.00400262260282	tatsächlich 0.00390847131609	falsch 0.00390359646918	völlig 0.00377359878322	aussage 0.00354492933234	gehen 0.00349600027833	angeblich 0.00338921292858	klar 0.0032486737969	wahrheit 0.00316086513948	verhalten 0.0031272985417	tun 0.00312034886023	eindruck 0.00308345616721	eigen 0.00307253587519	stellen 0.00304363773314
topic19	hund 0.0950721767113	tier 0.0593326740587	katze 0.0284252992045	klein 0.0119305041014	futter 0.0116138944539	groß 0.0106082050558	vogel 0.00913934576971	welpe 0.00820486440186	fressen 0.00792784086293	züchter 0.00755500513904	tierarzt 0.0068912290476	mensch 0.00673847810533	leben 0.00654195248158	geben 0.00641032202734	jahr 0.00630371940082	rasse 0.00628495516714	hündin 0.00599763574812	alt 0.00583671670747	lassen 0.00542619917156	schwein 0.00533346284697	maus 0.00516597855908	leine 0.00511058292351	tierheim 0.00496261418725	verhalten 0.0049161679024	kommen 0.00472893388751
topic20	jahrhundert 0.0284387517327	alt 0.0254102548652	jahr 0.01821673883	zeit 0.0165934637375	name 0.0130618085268	groß 0.011022582584	spät 0.00935057827457	stadt 0.00723781725009	geschichte 0.00688715397953	erst 0.00685412766327	könig 0.00680172097934	schloss 0.00672271290683	finden 0.0066297256174	historisch 0.00656980970218	heutig 0.00635625625802	reich 0.00633034783026	erhalten 0.00628289393397	dorf 0.00627910045608	früh 0.00601273688748	burg 0.00592767144561	römisch 0.00585752090132	gehören 0.00571134490836	stammen 0.00567905719784	ort 0.00557670404857	hof 0.00540337487561
topic21	frau 0.142245337143	mann 0.0781856208795	jung 0.0177167509545	mädchen 0.0119811557542	männlich 0.0112496422087	weiblich 0.00957683447047	beziehung 0.00835090035791	leben 0.00811690318306	sex 0.00778511317902	liebe 0.00763128466781	partner 0.00733246371099	freund 0.00689156724681	sexuell 0.00687635545728	freundin 0.0067002044467	alt 0.00557438740498	paar 0.00517264273699	geschlecht 0.00502221564637	ehe 0.00500635797734	suchen 0.00449063455012	heiraten 0.00426429340271	tochter 0.00420898852257	dame 0.0042042602137	erzählen 0.00390887905431	treffen 0.00372325456986	lieben 0.00355811854672
topic22	mitglied 0.0709837452827	verein 0.0594995801628	vorsitzende 0.0244601739574	vorstand 0.0239023516994	jahr 0.0115594931945	verband 0.0113555209261	aktiv 0.0109129500384	ehrenamtlich 0.00979024805364	arbeit 0.00874948493696	aufgabe 0.00846233257886	engagement 0.00802523791858	amt 0.00749888189725	mitgliederversammlung 0.00670199646072	sitzung 0.00662293661959	spende 0.00589465770224	organisation 0.00578366648448	mitgliedschaft 0.00572809145228	neu 0.00563051873068	unterstützen 0.00542615186449	stellvertretend 0.00518014052821	abteilung 0.00517231677574	bestehen 0.00514776329069	unterstützung 0.00513608356099	vertreter 0.00494017551918	tätig 0.00487019764226
topic23	unternehmen 0.0327740254179	neu 0.0255712770223	kunde 0.00995722842627	bereich 0.00848036304657	entwicklung 0.00832586993951	produkt 0.00789383567729	erfolgreich 0.00765820055985	gut 0.00714725389936	groß 0.00711807735247	lösung 0.00693562231091	wichtig 0.00658164204863	projekt 0.00645077494154	bieten 0.00630104905044	technisch 0.00615200721074	hoch 0.00600641026259	mitarbeiter 0.00597181871084	management 0.00595487428939	stellen 0.00561690357393	ziel 0.00556284657508	entwickeln 0.00552397630872	stehen 0.00515063157357	erfolg 0.00514310725267	anforderung 0.00490097484394	innovativ 0.00487432318009	system 0.00482608720633
topic24	musik 0.0279867381556	band 0.0272927811686	album 0.0228458314549	song 0.0211484248832	neu 0.0155447277227	lied 0.0123120112747	hören 0.0120753882832	jahr 0.0106148629436	konzert 0.0103368646891	spielen 0.0102220428726	erst 0.00932228123106	gut 0.00907229843691	geben 0.00896528954132	rock 0.0080108512118	live 0.00798025367689	singen 0.00767148786719	fan 0.00731532632435	bühne 0.00676746745968	kommen 0.00659472071883	musikalisch 0.00645808708087	stimme 0.00600712572093	musiker 0.00598099620552	klingen 0.00563825147827	show 0.00549556932871	sound 0.00513668060998
topic25	bieten 0.0213876572894	design 0.0164971564424	produkt 0.0134773321485	hochwertig 0.0125004739132	finden 0.0123338913024	neu 0.0111257675898	auswahl 0.0109695481792	lassen 0.00961998913014	individuell 0.00955437362327	qualität 0.00955220950995	perfekt 0.00952587125292	marke 0.00951410014415	einfach 0.0090685249204	verschieden 0.00858643143092	groß 0.00814793796967	passend 0.00786942729255	hoch 0.00760031863571	tragen 0.00731982913164	farbe 0.0072108350697	geben 0.0071115782985	sorgen 0.00648040424637	klassisch 0.00644765107527	modern 0.00573247424009	besonder 0.00571900532908	schuh 0.00545072800116
topic26	klägerin 0.0974647636625	kandidat 0.056475330824	chemie 0.0508745368652	aktuelle 0.0219142474483	stellenanzeige 0.0179197158017	berufungsgericht 0.0151008473858	gasthof 0.0135256861457	professorin 0.0123090154308	essener 0.0115720281567	kandidatin 0.0112646925187	saarländisch 0.0101266282566	klonen 0.0100727411943	träge 0.00984564575658	stellenmarkt 0.00967838713268	bezeichnung 0.0094540690142	wahl 0.00873991328683	persisch 0.00873680512301	naturwissenschaftler 0.0085950513439	chemiker 0.00800718202669	disposition 0.00743680977511	gehoert 0.00739744398402	zeche 0.00719409943625	letter 0.00654848325226	wohnanlage 0.00645345466519	schranke 0.00630350998832
topic27	energie 0.031068981376	umwelt 0.0182319016723	strom 0.0154288721164	jahr 0.0139839869874	ökologisch 0.0128327901478	betrieb 0.0121348686677	nachhaltig 0.0103728737321	anlage 0.00855304289843	industrie 0.00711145195981	erneuerbar 0.00706710985939	nutzung 0.00671581391116	tonne 0.00607510111794	rohstoff 0.00565431996101	umweltschutz 0.00552338339232	nachhaltigkeit 0.00529829807884	neu 0.00528437299563	verbraucher 0.00517936385098	klimaschutz 0.00498909830584	energiewende 0.004756179343	kosten 0.00451975426592	wirtschaft 0.00446231778039	erneuerbare 0.00436563413228	deutsch 0.00424828767666	klimawandel 0.00424731201343	kraftwerk 0.00416004852739
topic28	nord 0.0287812134582	wal 0.0210970836404	süd 0.0191880183009	friedhof 0.0184619867589	tauchen 0.0164356778093	laser 0.0143675985534	hai 0.0118387513114	prädikat 0.011110982411	heidelberger 0.0110544988493	rudel 0.0106420341818	fass 0.00996379530086	laterne 0.00973609231561	interlake 0.009662491057	kindertageseinrichtung 0.00956402689278	taucher 0.00895598591639	überdacht 0.00845574184733	wasseroberfläche 0.00840516338587	delta 0.00838915031704	boje 0.00832233120946	volume 0.00828611592173	tauchgang 0.00801274311079	erfolgserlebnis 0.00746173760783	bagger 0.00727913321106	flocke 0.00719549253047	kaktus 0.00696282964777
topic29	mensch 0.0630821950748	leben 0.0512047038448	eigen 0.0120503311081	machen 0.0102741395893	welt 0.00969500212864	geben 0.00900439651303	weg 0.00780192467375	selbstbewusstsein 0.0072046902812	wichtig 0.00719748743936	gehen 0.00697324103036	groß 0.00686017705313	zeit 0.00649314761018	gut 0.00630967149734	tun 0.00628620828078	stärken 0.00582407102139	gefühl 0.00576458233955	lernen 0.00575235754451	brauchen 0.00561396308153	kommen 0.00545065966661	sagen 0.00524658989386	wissen 0.00512606338598	fühlen 0.00508590695824	erleben 0.00502164792452	helfen 0.00497101637578	angst 0.00483350085368
topic30	auto 0.0840902385477	fahren 0.0678711467043	fahrzeug 0.052825781281	pferd 0.0440231050466	wagen 0.0233663717746	fahrer 0.0208514981563	reiten 0.0129436649269	straße 0.0114921539601	pkw 0.010245781559	jahr 0.010179042937	reitbeteiligung 0.00925801376558	stehen 0.00854009146093	golf 0.00851119364969	autobahn 0.00782161569203	halter 0.00658181177699	reiter 0.00641295495309	kommen 0.00615379869145	autofahrer 0.00602509508502	gelände 0.00589017940768	fahrt 0.00555023292882	kraftfahrzeug 0.00530632265095	verkehr 0.00504343237321	heu 0.00497985587266	diesel 0.0048410353658	stall 0.00458511562449
topic31	neu 0.0122640843636	sagen 0.0119098977318	fordern 0.00929913057748	bürger 0.00753801596893	geben 0.00698100765987	land 0.0067710508025	weit 0.00654622531424	gehen 0.00625954952746	erklären 0.00533466459791	bundesregierung 0.00528370937222	öffentlich 0.00486793508368	stehen 0.00485326975314	sehen 0.00469050540903	jahr 0.00466870842785	regierung 0.00454137652356	entscheidung 0.00453044493141	politik 0.0044532268351	deutlich 0.00436970711002	machen 0.00433060994039	bundestag 0.00414976351583	diskussion 0.00409733291597	geplant 0.0040467260569	künftig 0.00398905826146	stellen 0.00390470166818	forderung 0.00389638085974
topic32	richtung 0.0346920321562	unfall 0.0231469091541	schaden 0.0228686899492	schwer 0.0203800439989	feuer 0.0160138740565	höhe 0.0113398936278	befinden 0.00926772374739	stab 0.00884251793385	seil 0.00773531349906	unbekannt 0.00770937148619	schirm 0.00713939806283	verletzung 0.00697547079418	linken 0.00667914774687	abbiegen 0.00649432297992	folgen 0.00628393491777	meter 0.00619815268877	ausfahrt 0.0061517569901	entstehen 0.00606592388755	flugplatz 0.00567514142952	mars 0.00551991618635	leicht 0.00536000018274	flamme 0.0052636349588	kreuzung 0.00516996095989	bruch 0.00505882966428	einwirkung 0.00504823828445
topic33	sehen 0.0171175206478	sagen 0.016989255756	gehen 0.0165556320871	kommen 0.0149125371937	stehen 0.0105305157091	hand 0.0101758074122	wissen 0.00895896872804	auge 0.00887564264666	lassen 0.00874609997325	machen 0.0072174459103	kopf 0.00706983963898	sitzen 0.00677685815478	fragen 0.006524703801	hören 0.00625526552684	nehmen 0.00601168918719	klein 0.0054665768492	arm 0.00535989686943	gesicht 0.00524591506036	halten 0.00478943402939	tun 0.00474416888981	liegen 0.0047161506089	kurz 0.00470463475065	denken 0.00465754404855	blick 0.00450392127926	plötzlich 0.0044511120177
topic34	doktor 0.0873786800008	professor 0.0547004695635	universität 0.048793896475	institut 0.0317899517111	wissenschaftlich 0.030190780836	forschung 0.0260929088652	wissenschaft 0.0199513912323	studie 0.0179051232498	vortrag 0.014339862411	wissenschaftler 0.0140133873009	neu 0.00982074729746	hochschule 0.00896670645823	gesellschaft 0.00847763350511	deutsch 0.00790101425896	fakultät 0.00769660819575	arbeit 0.00755562530666	thema 0.00706147492529	forscher 0.0067522709111	akademie 0.00658240825867	international 0.00632248443729	zentrum 0.00630588375452	fachbereich 0.0059467060847	rahmen 0.0057115497932	tagung 0.00553470526372	entwicklung 0.00552375237654
topic35	anwalt 0.0336226512896	frage 0.0264142548749	rechtsanwalt 0.0211283532243	kreis 0.0210714496292	wenden 0.0207084884064	mandant 0.01739688413	ratsuchende 0.0134383180105	entsprechend 0.0126935736318	thema 0.0126552313831	patent 0.00972176336781	helfen 0.00970041170571	beraten 0.00788240180604	stehen 0.00788203551465	ehegatte 0.00684008536768	vertrag 0.00678191404772	weiter 0.00675301456684	kanzlei 0.00672095937174	anspruch 0.00641832426095	erbe 0.00629804100517	gerichtlich 0.00628495885683	schuldner 0.0056814907033	ehepartner 0.00547287571401	abmahnung 0.00540410487607	beratung 0.00514237913203	testament 0.0049636938398
topic36	haus 0.106382500374	wohnung 0.0604429325054	raum 0.0561289404627	wohnen 0.0325873554736	mieter 0.0199280535009	fenster 0.0192910404245	wand 0.018170955381	vermieter 0.0146590310149	bewohner 0.0115171568389	immobilie 0.00963949521834	dach 0.00953112902467	gebäude 0.00952546732808	möbel 0.00946536191753	nachbar 0.00939526504014	küche 0.00916835858967	grundstück 0.00884290074683	eigentümer 0.00821508041362	miete 0.00797661752614	quadratmeter 0.00760203965221	garten 0.00707341652066	keller 0.00697123224792	objekt 0.00690972310546	büro 0.00689922276993	wohnzimmer 0.00679618982386	wohnraum 0.00648705188553
topic37	kabel 0.0207724924353	radio 0.0165879309995	magnetventil 0.0155456111467	anschluss 0.0152645808738	sender 0.0137294829524	signal 0.0131468543823	kanal 0.0130960948374	board 0.0122236942758	spannung 0.0115137795645	modul 0.0110083888286	antenne 0.0103883530656	funktionieren 0.00952501493698	analog 0.008675453514	gerät 0.00858934355092	strom 0.008347135507	anlage 0.00703796668808	leitung 0.00699412205135	digital 0.00666619283038	watt 0.00665040375408	senden 0.00661548041837	direkt 0.00659553199612	frequenz 0.00652357937355	schalter 0.00636110917684	empfänger 0.00631035472299	stecker 0.00627913741516
topic38	gehen 0.0304373716344	geben 0.0247028602931	machen 0.0245538812432	problem 0.0229697854832	kommen 0.0213518239324	bekommen 0.0202547749029	gut 0.0197608235741	neu 0.0131171099521	brauchen 0.0126876718247	wissen 0.0119447935265	laufen 0.0109715484323	einfach 0.0106374064285	richtig 0.00953648131187	gleich 0.00946760315321	liegen 0.00891616264368	sagen 0.00864568116801	lassen 0.00813137964382	stehen 0.00808937573776	genau 0.00767751413776	alt 0.00758931286964	sehen 0.00758420014833	schnell 0.00720959256492	woche 0.00719947626008	nehmen 0.00713577885636	helfen 0.0067753633554
topic39	neu 0.0336574987677	gebäude 0.021272414877	straße 0.0207243504764	bau 0.0203350100718	zug 0.0101224125751	jahr 0.0100519546974	bauen 0.00922173414716	weit 0.00864984024959	architekt 0.00860151194129	planung 0.00830927583907	anlage 0.00828197233888	bahn 0.00816959149414	bahnhof 0.00767145975559	projekt 0.00746144098099	erst 0.00712824918916	neubau 0.00685067975555	stehen 0.00684592098252	plan 0.0062636270931	bereich 0.0062214771976	platz 0.00606499465666	entstehen 0.00603722249576	betrieb 0.00601063224895	standort 0.00575156770339	brücke 0.00565812728594	sanierung 0.00565104172959
topic40	gut 0.0519076679261	schön 0.0349561558032	toll 0.0181570939231	lieb 0.0154782964822	tag 0.0150479794632	machen 0.0150066711803	klein 0.0143493589265	freuen 0.013136305274	zeit 0.0124580783786	gehen 0.011882898174	kommen 0.0117600787953	spaß 0.0114841498399	einfach 0.0110079445437	finden 0.0107728742023	neu 0.0100947406011	wirklich 0.00999349592208	woche 0.00998617671946	erst 0.00964391341549	super 0.00828264962758	wünschen 0.0082197967024	groß 0.00793251897276	richtig 0.00792156188604	nah 0.00764770242204	dank 0.00723278364959	geben 0.00695910214347
topic41	polizei 0.0262311930603	fall 0.0214196560677	gericht 0.0135674585118	person 0.0110548696206	täter 0.0107443190351	anwalt 0.00749201084682	richter 0.00745532961941	zeuge 0.00733125472079	beamter 0.00667257036483	staatsanwaltschaft 0.00665439081872	angeklagte 0.00655335106741	polizist 0.00632170323798	handeln 0.0061142485658	strafe 0.00599267251832	ermittlung 0.0059685254952	straftat 0.00586571595682	illegal 0.0058015125836	justiz 0.00563600099719	opfer 0.00560914081242	verfahren 0.00544734260486	oberlandesgericht 0.005282169376	betroffene 0.00518416825672	verdacht 0.00489898051218	juristisch 0.00472801890086	prozess 0.00472218586271
topic42	gehen 0.023122115425	tag 0.0223037188176	fahren 0.0174118162529	weg 0.0155097052396	kommen 0.00965632883728	geben 0.00957594011613	kurz 0.00910009772743	klein 0.00892943027191	stunde 0.0087825627789	nah 0.00859200944919	richtung 0.00791286686645	schön 0.00782673700249	straße 0.00763706106445	wetter 0.00716490889418	erst 0.00713302073795	fahrt 0.00674599351717	führen 0.00665909154155	gut 0.00659796375374	lang 0.00625565197533	machen 0.00622606612585	berg 0.00607483696271	sehen 0.00597431784314	letzt 0.00591784137463	weit 0.00580403069296	bus 0.0056067650719
topic43	häufig 0.0127052039926	untersuchung 0.0116716900709	hoch 0.0108856854034	zeigen 0.0101638103787	weit 0.00987637100924	fall 0.00918719333776	liegen 0.00832423909427	ergebniss 0.00824582747294	führen 0.00798455844385	möglich 0.00783099358494	deutlich 0.00738091473221	gering 0.00732107770793	stark 0.00696778412037	kommen 0.00664296099756	zelle 0.00658523270506	verschieden 0.00652022850485	groß 0.0063150406828	studie 0.00625413490348	bestehen 0.00546332270088	veränderung 0.00534300866059	bereich 0.00530602970177	unterschiedlich 0.00528356290985	auftreten 0.00525917167448	bestimmt 0.00523821862189	lassen 0.00503214768001
