topic0	halter 0.0846611221108	orientierung 0.0805864744472	papst 0.0783766189505	ablegen 0.0473016062045	homosexuell 0.0407950926932	neigung 0.0404149567466	penis 0.0396300771204	schwule 0.0365680307079	vorhaut 0.0280008965849	vatikan 0.0278359530307	garnele 0.0277181931313	respektiv 0.027568643879	homosexualität 0.0271187635607	veranlagung 0.0264952550604	beobachter 0.0264266214554	homosexuelle 0.0225508477888	buchführung 0.0202046584464	käuflich 0.0201605500243	ablage 0.0178853405167	säkular 0.0172963242707	nachzucht 0.0167946012465	heterosexuell 0.0150490636871	kardinal 0.0141964888579	außenßen 0.0139367556024	ungereimtheit 0.0128464044902
topic11	liegen 0.0314453106	berg 0.0223114656512	groß 0.022049508923	landschaft 0.0175752148613	ferienwohnung 0.0168262402334	norden 0.0167931054455	süden 0.0157784347011	region 0.0154068989324	ort 0.0153856080918	hoch 0.0150382775442	meter 0.0129060271443	kilometer 0.0127880963825	weit 0.0126401710243	wanderung 0.0125763589262	südlich 0.0122693708668	tal 0.0115474233841	gut 0.0109491817094	land 0.0107029396384	nördlich 0.0103561268786	wandern 0.010045786376	schön 0.00979202875064	klein 0.00967544532367	geben 0.00951574297721	finden 0.00917806040946	gebiet 0.00817235117976
topic12	bildung 0.155479328688	jugend 0.0508217932543	integration 0.0481114354631	erzieherin 0.0314584861803	pädagogisch 0.0286716732532	interkulturell 0.0241721592517	promotion 0.0216217641494	migration 0.0180172689762	ministerium 0.0172098349923	bundesministerien 0.014454606959	migrationshintergrund 0.0132673495498	jugendhilfe 0.0131449033913	pädagogik 0.0130957198999	soziale 0.0130394221836	teilnehmende 0.0118070894395	kultur 0.0116611524872	bereich 0.0107002479002	gefördert 0.0106389114612	leiterin 0.0106111230207	erziehung 0.00986777376929	bewohnerin 0.0093637805261	arbeitsgruppe 0.00932958675928	konzeptionell 0.00924612660764	wertschätzung 0.00876758446021	tierpark 0.00821017561209
topic13	frage 0.0140837562874	neu 0.0132189754811	philosophie 0.0106731683031	theorie 0.0100797511158	historisch 0.00885429670893	perspektive 0.00838603548363	beitrag 0.00820428329291	entwicklung 0.00796175634543	gesellschaft 0.00765893096738	arbeit 0.00762766487257	wissenschaftlich 0.00734592956002	kritisch 0.00730518639443	jahrhundert 0.00728794759914	kultur 0.0072690001709	kontext 0.00687570503245	wissenschaft 0.00651867312173	gesellschaftlich 0.00640753177775	philosophisch 0.00635184774622	kulturell 0.00611656860535	begriff 0.00601643571337	politisch 0.00595121458699	problem 0.00592560175438	modern 0.00583507342883	ansatz 0.00577424497387	beispiel 0.00558522546085
topic14	netz 0.251283945213	kommunikation 0.182775077351	anonym 0.0730307051049	botschaft 0.0597223417368	kommunizieren 0.0579147114536	network 0.0338168363719	pro 0.0323482635872	teppich 0.0300579048778	weblog 0.0285862898028	multimedial 0.0204567121394	killer 0.0194039382331	gentechnik 0.0182722446794	bandbreite 0.0182444154821	unproblematisch 0.017462209873	kommunikativ 0.0163829026064	moderieren 0.014205491271	internet 0.0134663354433	vernetzen 0.00947192423827	familienbetrieb 0.00844294043916	alleinerziehende 0.00843196736608	erfolgreiche 0.00509606744189	ausgangsbasis 0.00485998872052	zwischenmenschlich 0.00478871500775	gesprächsthema 0.00460847274349	pädagogin 0.00460791420374
topic15	kind 0.433797707099	eltern 0.0939617716205	erwachsene 0.0235472912849	familie 0.0232788727661	kindergarten 0.0192883250741	jugendliche 0.0171804122589	mutter 0.0145740252823	jahr 0.0144822901152	klein 0.0127945536304	alter 0.00916187766668	schule 0.00834220425809	geben 0.00810494443519	lernen 0.0077356484838	erziehung 0.00659479354877	gemeinsam 0.00576853157071	eigen 0.00553647797074	leben 0.00474804854492	geburt 0.00453184244219	bekommen 0.0045295852359	großeltern 0.00442406172341	erwachsen 0.00427459496799	jung 0.00400707998126	früh 0.0039710569273	kleine 0.0038969628062	spielen 0.0038890122522
topic16	kleine 0.0745136560671	schleuse 0.0601094335789	einer 0.0391614962156	wurm 0.0301685398606	nachbarschaft 0.0298924052145	rute 0.0265371418694	kot 0.0254478601629	füttern 0.0234784904162	grußwort 0.0208156856545	deich 0.0197834811673	außenbereich 0.0181730960024	kastration 0.018138993592	gartenmöbel 0.0176967077419	große 0.0157217449867	hurra 0.0146529581292	unwetter 0.0142376440094	aufenthaltsraum 0.0133151000706	bezirksamt 0.0130256069782	kitten 0.0122575617332	fahrstuhl 0.0116220191283	lot 0.0115937668627	eigenleistung 0.0112756395151	rausfinden 0.011226137175	wackeln 0.0109859098642	futtern 0.0105166276252
topic17	datenbank 0.156649140691	newsletter 0.121391499546	anmelden 0.0994966674521	passwort 0.0860015924165	registrieren 0.0824268774659	melden 0.0690794280679	chip 0.0434108731455	abonnieren 0.0386745490908	zugang 0.0270076745243	kostenloser 0.0194221767595	zugangsdaten 0.0142621463355	laufende 0.0132567445723	graph 0.0127917977911	schnaps 0.0121951269945	kennwort 0.012095667428	lassen 0.0117821360782	gebacken 0.011125536381	sicherheitslücke 0.0108018162515	wiederherstellung 0.0093296105194	erfassen 0.00861937305795	verwenden 0.00831092432519	sicherheitsgrund 0.00829853703465	örtlichkeit 0.00686336751354	eingeben 0.0063114359717	tracht 0.00620520784798
topic18	arzt 0.115197802805	patient 0.10488259786	medizinisch 0.0574698154311	behandlung 0.050782239391	krankenhaus 0.0444962956501	klinik 0.0425826075748	medizin 0.027550763928	versorgung 0.0262416697916	ärztlich 0.0248883171005	therapie 0.0230896562118	praxis 0.0163448699872	ambulant 0.0144574145723	stationär 0.0133280477065	diagnose 0.0127432598073	klinisch 0.0124617488344	eingriff 0.0124169004393	patientin 0.0120918975669	krankenkasse 0.0101171997312	untersuchung 0.00859523368651	erkrankung 0.00775063280191	therapeutisch 0.00727628243609	hausarzt 0.00684019035147	facharzt 0.00667025864454	mediziner 0.00648803125244	behandeln 0.00626305211897
topic19	wohnung 0.191870470157	wohnen 0.114940512359	mieter 0.0606465272471	grundstück 0.0519525201147	quadratmeter 0.04793692239	vermieter 0.0443385661657	bewohner 0.0422926958484	eigentümer 0.0271753616509	miete 0.0263180083321	wohnraum 0.0202977842292	haus 0.0170397320258	mietvertrag 0.0157403484598	objekt 0.0148511318453	spender 0.0146928070315	betreut 0.0131148094424	vermietung 0.0123785844623	auszug 0.0122969376005	vermieten 0.00905232232544	obergeschoss 0.00884085147051	wohnfläche 0.0087959651735	eigen 0.00716303384764	nebenkosten 0.00633466787662	einfamilienhaus 0.00624675621549	eigenheim 0.00562112379128	zuhause 0.00558815627868
topic20	rahmen 0.011209219413	ziel 0.0105806648215	einzeln 0.00862913925286	weit 0.00853993211353	bereich 0.00814936782587	ergebniss 0.00770507024402	grundlage 0.00730922914397	entsprechend 0.00700317417824	möglich 0.00673679048976	erfolgen 0.00639845482463	stellen 0.00608583873331	wesentlich 0.00607090634063	verschieden 0.00605545941404	notwendig 0.00585973726038	analyse 0.00585630664422	wichtig 0.00567057814315	möglichkeit 0.00533920819281	unterschiedlich 0.00532485585467	konkret 0.00513219832651	aufgabe 0.00490149075561	relevant 0.00488194661126	maßnahme 0.00486346959728	kriterium 0.00465783685673	auswertung 0.00462480245122	zusammenhang 0.00460614888603
topic21	anlage 0.148615132098	betrieb 0.11438731323	strom 0.0826280574564	elektrisch 0.0328939287751	wärme 0.0155630068485	heizung 0.0137555739177	betreiber 0.0117925484667	gas 0.011208128232	betreiben 0.00961803740956	inbetriebnahme 0.0093933969541	solar 0.00814493243691	photovoltaik 0.00784327748407	wartung 0.00746773722579	kosten 0.00716020798464	nutzung 0.00703580218088	kraftwerk 0.00653987315872	nachwachsend 0.00639129416528	stromversorgung 0.00612725552343	dezentral 0.00596405396408	netz 0.00589123867259	stromnetz 0.0058600265233	strompreis 0.00575134295299	kilowattstunde 0.00546846389071	installiert 0.00498579401575	stromerzeugung 0.00490734634859
topic22	club 0.379528847979	transfer 0.109890873509	verstärkung 0.0664118896386	weben 0.0435402032754	timen 0.02944911247	durchblick 0.0265481339881	etat 0.0236561173193	clean 0.0207940169928	tauglich 0.0202650883423	sporadisch 0.0186146215862	polster 0.0179167859039	scout 0.0170785138324	zeitrahmen 0.0162007795176	ansehnlich 0.0135615076843	abgelaufen 0.0124886945267	lochen 0.0112691369868	oben 0.0111610072487	umgangston 0.0106391751606	personalwesen 0.00911674980236	stichwahl 0.00863958088143	schönen 0.00862453589107	rasenmäher 0.00771403033604	hausgerät 0.00763029361053	konstanz 0.00727092432349	parteilos 0.00678112659295
topic23	jahr 0.219311015136	woche 0.0422123733731	zeit 0.0415126200707	letzt 0.040147146415	tag 0.0394843365517	monat 0.025746599395	erst 0.0255375986972	lang 0.025259539257	kommen 0.0239700773191	geben 0.0228089489566	spät 0.017881206556	ende 0.0155722337067	nah 0.0126884051943	gehen 0.012267952212	anfang 0.0119007364687	alt 0.0114530451264	sagen 0.0107198280203	bekommen 0.008999086126	kurz 0.00787157144398	neu 0.00771731649639	bleiben 0.00758388800318	beginnen 0.00752040231089	stehen 0.00731473964218	mal 0.00730848250327	machen 0.00722271527122
topic24	gut 0.0639128409556	schön 0.05471397245	toll 0.0314196556771	machen 0.0227644856223	gehen 0.0212393690469	tag 0.0184217569739	kommen 0.0175933696423	super 0.0173139351071	klein 0.0165551186504	spaß 0.0160305372928	einfach 0.0153337308167	zeit 0.0141048505873	finden 0.014019598678	richtig 0.0134095550328	lieb 0.0134075393143	freuen 0.0132980959974	woche 0.0125248905683	wirklich 0.0119577872229	nett 0.0113207783967	nah 0.0103001273852	geben 0.00940290707031	echt 0.00929618442324	schnell 0.00902517691685	groß 0.0090104798665	erst 0.00880304870022
topic25	system 0.122601213173	methode 0.0693859589421	zelle 0.0351008199506	verfahren 0.0268866839546	struktur 0.0256569896078	eigenschaft 0.0222560613919	komplex 0.0218738250811	anwendung 0.0197512249747	komponente 0.0183668991115	untersuchung 0.0175217435638	labor 0.0174571506534	prozess 0.0174281818294	verschieden 0.013114381778	untersuchen 0.0124403586676	analyse 0.012346698506	hilfe 0.0117314661179	mechanismus 0.00864282367448	vorgang 0.00770272936593	ergebniss 0.00766671418832	zeigen 0.00750221955883	entwickeln 0.00748431255417	kristall 0.00732427530311	funktion 0.00717023804378	algorithmus 0.00699594221747	muster 0.00649981341693
topic26	angestellte 0.0697198708373	vorig 0.0637319021728	lebensjahr 0.0577330241695	leitend 0.0392714422922	kindergeld 0.0346355585259	rückfrage 0.0334630830652	verfallen 0.027876119441	votum 0.0238321298727	beet 0.0227603954491	wohnsitz 0.0227583920547	ausgestellt 0.0217968852405	ostdeutsch 0.0217864056073	prägnant 0.0212305524929	farbgebung 0.0193739986821	stichtag 0.019028045378	pauschale 0.0187737554702	ausschöpfen 0.0184435370423	werbungskosten 0.0180825711581	nötigen 0.0175125022555	flocke 0.0173583979136	kirchensteuer 0.0172488359865	hochhaus 0.015128633673	donnerstagabend 0.0145303761397	fahrtkosten 0.0143224234772	stromausfall 0.0139855428502
topic27	frisch 0.0467997818825	schmecken 0.0328101222489	gut 0.0284878795461	sorte 0.02588356439	geschmack 0.0241884994271	lecker 0.0239160325883	apfel 0.0226852971408	frucht 0.021572039986	duft 0.0179888267075	süß 0.0160596493672	salat 0.0160416782683	riechen 0.0156267433266	kraut 0.0136913664431	honig 0.0121103242566	saft 0.0120963926496	roh 0.0117891544089	käse 0.0117178507913	schale 0.0108924151206	suppe 0.0096227534642	leicht 0.00954045649974	aroma 0.00942860849187	geben 0.00912766282564	nuss 0.00889154242212	reif 0.00866586874107	fein 0.00806005044117
topic28	opfer 0.0549798456323	fall 0.0401822460734	täter 0.0353810559384	polizist 0.0245106382586	mord 0.0238217798409	strafe 0.0196225954113	anschlag 0.0180452689836	gefängnis 0.0174352527246	tat 0.0160116435107	verbrechen 0.015306151921	staatsanwaltschaft 0.0143881684836	ermittlung 0.0129039490993	straftat 0.0127845160764	verdacht 0.0113181116959	leiche 0.0110198254963	schwer 0.010457715604	kriminell 0.0100930330606	haft 0.00907374488712	diebstahl 0.00792083114342	illegal 0.00783817962712	tote 0.00772739020551	behörde 0.00750030654476	portugiesisch 0.00730972813706	ehemalig 0.00729115405114	tod 0.00720532723079
topic29	anerkennung 0.0807627048547	zertifikat 0.0748614734803	fortbildung 0.0725565262864	sachverständige 0.0447389802582	anerkannt 0.0415157175577	zeugnis 0.0389834290475	seminarraum 0.0341064901625	rückmeldung 0.0317065228961	informationsveranstaltung 0.0254516101436	nachweis 0.0244753838701	sprachkurs 0.0230792991909	begutachtung 0.0187818262839	fernstudium 0.0162814551539	einstufung 0.0156172543998	ausstellen 0.0150012966586	systematik 0.0132815584664	landesebene 0.012563633829	chancengleichheit 0.0122488795199	gleichwertig 0.0121611613488	schirmherr 0.0116111380385	anerkennen 0.0112084722413	unterrichtsmaterial 0.011165384589	rindfleisch 0.0110222286607	aushilfe 0.010704514518	personalentwicklung 0.0103933504091
topic30	blick 0.216055071784	werfen 0.0987287594924	ferien 0.0472692305251	hauptbahnhof 0.0468042946719	haltestelle 0.0462508310942	lupe 0.0356145122123	podcast 0.0309428815544	straßenbahn 0.0307577212563	mühle 0.0284424949329	casino 0.0280824606762	feiertag 0.0253888622386	ausbilder 0.0224861290451	pastor 0.0215808535023	fsk 0.0200057412241	sommerferien 0.0183379473466	skala 0.0166726780645	schaft 0.0145955580627	krampf 0.0136425921184	kompression 0.0134017193727	riegel 0.012589593627	countdown 0.012454801126	poker 0.0118710314124	zahm 0.0116730246195	giraffe 0.009799719795	unspektakulär 0.00959557652216
topic31	unterstützen 0.0240758959996	engagement 0.0229282572359	arbeit 0.0196269880113	unterstützung 0.0184207807544	aktiv 0.0174963706821	gut 0.0164834353426	organisation 0.015797214912	gemeinsam 0.0157366515369	aktion 0.0154297902239	initiative 0.0152169979722	wichtig 0.014525294645	jung 0.0143916858648	mensch 0.0134514212498	fördern 0.0127043025944	ziel 0.0125985188262	stiftung 0.0118290046722	machen 0.0117604946055	ehrenamtlich 0.0102473422206	engagieren 0.010011867463	jahr 0.0087743278266	helfen 0.00815676582586	groß 0.00815015676978	jugendliche 0.00770100654731	engagiert 0.00750573990436	leisten 0.00711807484524
topic32	erfolgreich 0.0568015813503	konzept 0.0354336620009	erfolg 0.0330808901381	bereich 0.0260814696293	zielgruppe 0.0164037523663	basis 0.0161718577019	ziel 0.0143173083818	nutzen 0.0109633939265	schritt 0.0103935987278	plattform 0.010153648611	entwickeln 0.0100441498678	potenzial 0.00990802737026	neu 0.00901196326961	wichtig 0.00876059194252	groß 0.0086868672294	stetig 0.00863336021063	aufbau 0.008168207778	umsetzung 0.00811968691521	gezielt 0.00793947959074	bewährt 0.00759531762257	effektiv 0.00721675959358	kontinuierlich 0.00712061330022	konsequent 0.00706562692629	setzen 0.00699784448691	effizient 0.00688687458165
topic33	bayerisch 0.245315973743	redaktion 0.176961270062	ministerpräsident 0.0603345940359	freistaat 0.0493477171168	streik 0.0284807204392	firefox 0.0254981821642	innenminister 0.0231983030618	kabinett 0.0227690986492	staatsregierung 0.0199144165813	regierungschef 0.019402338946	deko 0.0137442488764	bekanntheit 0.012753387189	aufwerten 0.0122014092786	perspektivisch 0.0113263760141	landesgrenze 0.0112144514921	staatsministerium 0.0111203933091	beeinflusst 0.0110068359909	landtag 0.0107884359075	mehrarbeit 0.00989895362741	bundesstaat 0.00804909655338	trumpf 0.00792332837378	zusammenschließen 0.0076085226955	umkippen 0.00693795483899	barrel 0.0068968978316	aufmerksam 0.00675022169105
topic34	lücke 0.120015409995	riese 0.059077337758	delphin 0.0491391641665	einzelhandel 0.044920604617	webdesign 0.0340061933591	fiktiv 0.0325149689828	umbruch 0.0321807512933	erfahrener 0.0291452040329	rippe 0.0276847815459	erfreut 0.0232613343937	volume 0.0217542795977	spielplan 0.0215720837925	sonderbar 0.0212786053604	gefärbt 0.0193814227458	bescheinigen 0.0190561383556	lauern 0.0173275408125	ader 0.0165082882082	krähe 0.0164196550886	neuerlich 0.0147264598168	weihe 0.014456554569	blinzeln 0.013660030108	heterogen 0.0136197820454	auftaktveranstaltung 0.0130808372627	wissentlich 0.0129549006827	fernglas 0.012858414109
topic35	akku 0.0824420449969	batterie 0.0754971200351	set 0.0629331560302	led 0.0481571948331	high 0.0345619775089	defekt 0.031064080587	volt 0.0231066256376	mikrofon 0.0205945556797	reichweite 0.0191559322933	akustisch 0.0189086380544	ghz 0.0186461464483	kapazität 0.0172608587699	beamer 0.0144695876649	lcd 0.014120740445	erfahrungsbericht 0.0133415353986	verstellbar 0.0131054750652	funk 0.0130989365609	hydraulisch 0.0128840936186	aufladen 0.0128603880864	eingebaut 0.01237846737	datenblatt 0.011699722289	mikro 0.0103617754765	ladegerät 0.00977789319933	alu 0.00955586311851	korrektheit 0.00921203458015
topic36	krankheit 0.134806865172	gesundheit 0.106219337583	gesund 0.061992467717	krank 0.0485644522226	virus 0.0354621161393	mensch 0.0325505248356	impfung 0.0300475259884	genetisch 0.0175398639444	gesundheitlich 0.0158486337608	organismus 0.0158138546197	kranke 0.015544732705	gewebe 0.0155370975941	heilung 0.0154558166203	heilen 0.0145085803043	medizin 0.0132647291911	impfen 0.0110267967679	impfstoff 0.010586979979	erkrankt 0.00980988465479	medizinisch 0.00909270065685	medikament 0.00865144811327	heilmittel 0.00822404640265	mutation 0.00783876332205	arztbesuch 0.00655018473457	geben 0.00642279992542	erfahrungsgemäß 0.00608803314481
topic37	detail 0.132650433837	verlag 0.0753656323333	ausgabe 0.0689606355572	auflage 0.0687867582341	gut 0.0478066921827	seite 0.0444065004867	heft 0.0425075145212	exemplar 0.0415689984392	band 0.0346463794922	leicht 0.0208708386297	zahlreich 0.0195961129137	zustand 0.0193069911685	gebunden 0.0168038584619	zeitschrift 0.014616206827	abbildung 0.0142005732571	herausgegeben 0.0135090821774	herausgeber 0.0111267256286	geschichte 0.00989843786341	einband 0.00935350396801	inhaltsverzeichnis 0.00801326668234	farbig 0.00770766976943	reihe 0.00725775554949	neu 0.00714274377625	vorwort 0.00667333427814	gering 0.00629995019606
topic38	fair 0.0637408201159	match 0.0512631362076	schwedisch 0.0487854514264	champion 0.0356229235531	formel 0.0315843937446	kieler 0.0280546782219	weltmeister 0.027363196426	pokal 0.0234440508802	erringen 0.0206846303722	elfmeter 0.0202583681314	siegerehrung 0.0199003067463	italiener 0.0193357541386	pfeifen 0.0182269619993	einfahren 0.0171452642836	schwede 0.016832307847	pfiff 0.0130826721094	triumph 0.0129523968774	amtierend 0.0123778949456	aushängeschild 0.0112314032145	kommentator 0.010966435425	arena 0.0107496598476	anpfiff 0.0107443379521	mafia 0.0105566441316	besiegen 0.00933324486827	erkämpfen 0.00911836371995
topic39	artikel 0.598745042285	eingetragen 0.0497340821133	unverbindlich 0.0425052122781	spot 0.0243716373914	internetangebot 0.0199157149906	warenzeichen 0.0192063535782	aufgeführt 0.0177026641766	ausgewiesen 0.0142466979419	reduziert 0.0121729226748	markenname 0.0113874683916	zurückgreifen 0.011007265839	eigentümer 0.00898313633662	emailadresse 0.00811400653448	orientierungshilfe 0.00797073094289	beleg 0.00656024867454	jeweilig 0.00643751662368	beitragssatz 0.00641586977922	frei 0.00592946692802	amtsblatt 0.00557004620335	eigentum 0.00543724524394	gästebuch 0.00527319036635	verfügbar 0.00503959869519	berücksichtigt 0.00500185835763	forderungsausfall 0.00442759978096	genannt 0.00438010760042
topic40	partnerschaft 0.133793538213	national 0.125696439939	image 0.118857791589	arbeitsgemeinschaft 0.0754266908759	gesundheitswesen 0.0617806623006	trailer 0.05921218902	leitlinie 0.0376462446042	transparenz 0.025534601174	gesundheitssystem 0.023108084222	krebserkrankung 0.0226944960798	beantragung 0.0191693063415	nutzbar 0.0187579288861	inhaltsangabe 0.0185781480293	altlast 0.016767511058	faxe 0.0161477095032	bündeln 0.0155779100475	konzession 0.0145119581043	früherkennung 0.0127420463417	handlungsfeld 0.0121087742667	maser 0.0112362886117	wasserkraftwerk 0.00993441969397	fachgesellschaft 0.00920596914144	aufbauend 0.0091901071896	verstaubt 0.00855707458527	vorreiter 0.00823044677433
topic41	single 0.0874602459824	erscheinend 0.058734404866	unauffällig 0.0532274255873	trio 0.0477459724674	schere 0.0366732758861	käfer 0.0337740149432	hamster 0.0326693555204	stau 0.0271294647145	baubeginn 0.0243326420584	kreative 0.0221425116521	heide 0.0220568611631	leichte 0.0213395161318	getreide 0.0208057113586	ohrwurm 0.0202203831011	überfüllt 0.0198829638461	einsehbar 0.0186724295913	gelöscht 0.018542744769	autofahrt 0.0174340745172	preiserhöhung 0.0164982610329	äußere 0.0157735825533	pfütze 0.015181137471	görlitzer 0.0150782065173	unbeachtet 0.0149618311508	fragezeichen 0.0147373761164	vage 0.0144086617364
