topic0	harmonisch 0.212277092519	aufrufen 0.177183671856	harmonie 0.154455802109	ami 0.135376433222	bessere 0.0816828717718	gelehrte 0.0567304447073	pluspunkt 0.0544932510832	kommentarfunktion 0.0479006533596	kribbeln 0.0263820456632	rouge 0.0236724143183	lebensentwurf 0.0184095311168	zusammenspielen 0.00809003043967	vierling 0.00211433905397	herrschen 3.14432938009e-08	wenden 1.28093446192e-08	geben 1.23778219458e-08	lassen 1.23503135339e-08	zeit 1.23365754239e-08	gleich 1.23346890831e-08	bestätigen 1.23321829874e-08	spüren 1.23291214057e-08	ansehen 1.23288621914e-08	liegen 1.23243076659e-08	erklären 1.23202711349e-08	bestimmen 1.23193484841e-08
topic11	pop 0.173970062884	newcomer 0.0765581577002	gegensätzlich 0.0553303648452	bandmitglied 0.0539243737368	opener 0.0473093020489	jubiläumsjahr 0.0464848342865	entspannter 0.040297271279	allerhoch 0.0399740159316	brachial 0.0373738660683	sentimental 0.0339811112137	gruppenleiter 0.0329461702863	spielstätte 0.0314472425421	zurücklehnen 0.0307798278036	bandname 0.0288473153789	lokalmatador 0.0265537101778	neustädter 0.0240035680307	weltreligion 0.0229747225219	kultstatus 0.0226194088089	mastermind 0.0201469434501	poppig 0.0192873021141	begrüßenswert 0.0168773614842	eintagsfliege 0.0168525736824	eleve 0.0120830064215	fanbase 0.0118805662842	grunge 0.0100728591803
topic12	konzeption 0.373639977533	privatperson 0.233329906379	kreative 0.0822127709301	kaktus 0.069828690096	voranschreiten 0.0452072259646	freiwilligendienst 0.0383719145053	entwicklungsarbeit 0.0279656632437	vespa 0.0229503578161	stromquelle 0.0197358842347	anwendungsfall 0.019084575807	jugendaustausch 0.0155294090181	detektion 0.0135965604669	selektivität 0.012540294286	datenauswertung 0.00645173270326	theaterleben 0.00506711786795	störanfälligkeit 0.00430150543341	beispielprojekt 0.00365890908267	batteriebetrieb 0.00294847807646	funktionskontrolle 0.00140170798477	verschieden 1.98220530817e-05	begleiten 2.85337083044e-06	möglichkeit 2.16597315576e-08	prinzip 2.15650345188e-08	stehen 2.15608705847e-08	sonstig 2.15553667482e-08
topic13	philosophisch 0.200117225156	verstand 0.180396514359	philosoph 0.172069867954	aufgenommen 0.0954547198449	errungenschaft 0.0654833395171	gelinkt 0.0457965751664	philosophieren 0.0436103528009	quälend 0.0274957794063	suchende 0.0258495362506	gleichbedeutend 0.0242679099344	doktrin 0.0201693153487	teilgebiet 0.0186156049251	sonntagvormittag 0.0153586101606	denkansatz 0.0133579548437	entnervt 0.0132169202061	tortur 0.0131274271669	urzustand 0.00753292973508	passé 0.0073563849244	sinn 0.00273780173658	denken 0.00268899396865	gemeinplatz 0.00161961103161	sein 0.00118661756067	beschäftigen 0.00111354196201	erkenntnis 0.00018476012323	betrachten 1.01167267362e-05
topic14	riechen 0.191660992842	unangenehm 0.179668305691	geruch 0.138597140994	trocknen 0.105120262517	blond 0.0905122629673	auftragen 0.0459990868809	ausschau 0.0379662939463	konsistenz 0.0315119607316	wachs 0.0257233461227	präferenz 0.021229938686	kurzurlaub 0.0198314096947	streiterei 0.0192119368182	verträglichkeit 0.017055510174	naturkosmetik 0.0146884289844	halten 0.0122889174364	argentinier 0.0088811039192	pflegend 0.00566375069573	stark 0.00564683580053	abgeschrägt 0.00333616636051	repräsentantin 0.00319813083486	farbintensiv 0.0031390397355	hautton 0.00269955076224	leistungsgesteigert 0.00264827612449	zeihen 0.002480847542	brünett 0.00219795032148
topic15	ausrüstung 0.204069685958	maske 0.179689060429	kondition 0.159424955254	taktisch 0.112696969112	kennzeichnen 0.0934218368212	schnelligkeit 0.0656962510573	alpin 0.0498813960155	entschlossenheit 0.0298685460622	nachsetzen 0.0114693878562	sechser 0.0111617874726	athletisch 0.0106702869885	durchbringen 0.0105307056231	verletzungsrisiko 0.00865890614412	biken 0.00770242877738	hellicht 0.00652541684281	sportmedizinisch 0.00536702796854	freizeitsport 0.0051253039515	lusche 0.00462718638969	quadratzentimeter 0.00357203082993	nähnadel 0.00335353398007	skisport 0.00321949947498	schnellkraft 0.00320419091121	durchreisend 0.00221560756542	angegriffene 0.00198391956583	sportwaffe 0.00167702051877
topic16	funktion 0.618515531236	feature 0.0952421776288	fundament 0.0444377721215	nutzen 0.030476265829	konfigurieren 0.0237722825976	unbrauchbar 0.0223008956906	themengebiet 0.0173313445308	zeitersparnis 0.017029087737	einfach 0.0166627740775	funktionieren 0.012666884401	abbringen 0.0114283518905	mühevoll 0.0109981017361	grundwissen 0.00980676181777	möglichkeit 0.00972470891576	zusatzinformation 0.00778514793405	ergänzen 0.00439979815064	zusammensuchen 0.00399435281817	eigen 0.00319614510172	dienen 0.00284433473013	benötigen 0.00275422891555	zusatzprogramm 0.00250267919719	unbeirrbar 0.00244072491605	bestimmen 0.00223824854776	stellen 0.00210578429763	bieten 0.00203738149209
topic17	lateinisch 0.224594987675	verfallen 0.203556532779	humorvoll 0.134906458377	poesie 0.110339898395	ausleben 0.0899302927884	gesundheitsreform 0.0814025420965	magister 0.0511403851102	nichtehelich 0.0246520293627	dichtkunst 0.0163374378627	innehaben 0.0153649811001	heilsbronn 0.0108381959556	philologisch 0.0103545922781	philologe 0.00996033888892	verlobungsring 0.00703651414715	rollenmodell 0.0057507826353	altfall 0.00195790992838	weise 2.27865185655e-06	widmen 1.01450138755e-07	zeit 5.0764886166e-08	stammen 3.81179296065e-08	üblich 3.6721327284e-08	kenntnis 2.10961740587e-08	spät 2.07924374231e-08	lauf 2.06168349982e-08	folgen 1.88859494867e-08
topic18	forum 0.955016701131	fragen 0.00404600243789	forumsmitglied 0.0033825782367	automarke 0.00320204941445	neu 0.00317116966236	kamelle 0.00298307663328	stellen 0.00227506544274	geben 0.00224247528142	wissen 0.00163721862475	hoffen 0.00146189391764	beitragen 0.00143581402333	machen 0.00142848040542	möglich 0.00128982181377	speziell 0.00118195090012	gesichtscreme 0.00108632745741	verstehen 0.0010786256017	existieren 0.00102433785395	betrachten 0.00101785772415	setzen 0.000975474897326	dienen 0.000903855168018	entsprechend 0.000775720197434	gleich 0.000736277255183	ähnlich 0.000724637952505	eventuell 0.000679010122669	gehen 0.000569369324072
topic19	gestaltung 0.438286963651	designer 0.118697985131	ästhetisch 0.0980598760536	basierend 0.0947528411644	spezialisierung 0.0451491251352	schachtel 0.0385160206956	heterogen 0.0334847063396	softwareentwicklung 0.0243863337183	leutnant 0.0141295237084	zwecklos 0.0139680048915	eintrittsgeld 0.0117908398033	persönliche 0.011152889628	fahl 0.0110948190855	lagerraum 0.0105986922513	kommunikationsdesign 0.00687154344817	aushängen 0.00598183178643	internetagentur 0.00541029306286	gelsenkirchener 0.00489109059281	experimentierfeld 0.00445454772835	glaskasten 0.00298487985905	erwidert 0.00282281376039	entwickeln 0.00127261286201	besonder 0.000409689028134	setzen 2.30495731845e-05	inhaltlich 5.06166948454e-06
topic20	dorf 0.491980698117	golden 0.32610349333	lodge 0.0468242264852	rustikal 0.0344524985736	bewohner 0.0229223361785	dorfbewohner 0.0224401388704	bergdorf 0.0154596278212	bestückt 0.0113178110404	mongolisch 0.00762962400426	moskitonetz 0.00654328801383	wildnis 0.00329384438073	bergvolk 0.00199641776081	gehören 0.00112457976801	führen 0.00102600008809	ganz 0.000906544724994	klein 0.000893897508207	fern 0.000808161894157	liegen 0.0005252652937	stammen 0.0004768089834	gelegenheit 0.000462821024143	nennen 0.000355572565457	bedeuten 0.000265998798704	gehen 0.000263091888338	weit 0.00022014322573	besonder 0.00021058604309
topic21	vorläufig 0.220854036223	finanzamt 0.186982518645	spender 0.103777880243	freigabe 0.0975914552894	ausstellen 0.0901519751193	eindringlich 0.0776106943395	rückwirkend 0.0665094250497	entwicklungsland 0.0619204883752	spendenquittung 0.0166418051735	sachspende 0.0153023824554	gemeinnützigkeit 0.0125606274621	klirrend 0.0124993526999	gehobener 0.00953266828816	spendenbescheinigung 0.0086798459514	ansaugen 0.00719482945054	zeitproblem 0.00451468152778	kunstvermittlung 0.00197854029718	spende 0.00186100958317	buchgeschenk 0.00167387375296	betriebsphase 0.000397916560974	wenden 0.000252253673958	jährlich 0.000204316527969	genannt 0.000130999553631	entsprechend 4.617050577e-06	finden 2.63532107984e-06
topic22	verteidigung 0.234247984689	berufen 0.217659272435	diktatur 0.125218954002	lebensunterhalt 0.103479372546	abendstunde 0.0457507622226	deklarieren 0.0373860797196	geschlossenheit 0.0317145813927	reichsbahn 0.0254848399774	erpressen 0.0222481466806	buchhalter 0.0218624031696	barbarisch 0.0214913214513	kontostand 0.0176684367068	matrose 0.0171040543078	folterung 0.0132136991575	räterepublik 0.0127982003438	kriegsmarine 0.0115576011424	arrest 0.00920505997455	gewerkschaftssekretär 0.0067051728886	bootsbauer 0.00576374841547	zentralkomitee 0.00482996321587	bahnbetriebswerk 0.00263454457185	kassenbestand 0.00224781842512	passagiermaschine 0.002225794597	gewerkschaftsfunktionär 0.00211923259927	gewerkschaftsarbeit 0.00168744595871
topic23	faszinierend 0.334112291797	palast 0.10378537584	wirkungsweise 0.068410615243	moos 0.049299470321	abfangen 0.0474212040885	stromausfall 0.0364943436825	mehrtägig 0.0360334880248	wetterbedingung 0.0342494003697	quirlig 0.034018756897	diskothek 0.0304670593968	basar 0.0290229265505	reisebus 0.0272068230212	verkaufsgespräch 0.015555402846	dampfend 0.0140228188449	bewuchs 0.0124557206607	abwurf 0.0119929027997	pirschfahrt 0.0117535490017	felsig 0.0113298053449	schlingern 0.0109238900704	geysir 0.0105284894139	hochzeitsreise 0.0105084522712	flechte 0.0104539921053	jahreswende 0.00988364417978	broterwerb 0.00813424276676	geschäftstüchtig 0.00669595151119
topic24	datenbank 0.302918195864	tabelle 0.30194168241	datensatz 0.0573234828107	routine 0.0529651369336	abfragen 0.0456087775399	abfrage 0.0365617699366	einzeln 0.0193855555274	enthalten 0.0173306366862	entsprechend 0.0166129942684	zeigen 0.0104934811449	einfügen 0.0103555348798	möglich 0.00818079455971	vorhanden 0.00806083678512	sehen 0.00754281526853	erweiterung 0.00665975185151	verdingen 0.00622596747356	handeln 0.00474204796012	bestehend 0.00449327031331	befinden 0.00447615238079	bestimmt 0.00396157619966	verschieden 0.00386758125817	geben 0.00384485130654	serienbrief 0.00369155758373	berechnungsmethode 0.00341853295703	komplett 0.00309258533485
topic25	hammer 0.215079144061	verdammt 0.192453783727	senf 0.100328656971	anschaffen 0.080004434127	dazugeben 0.0577138405965	vorausgesetzt 0.0550416212725	renner 0.0523283284545	odenwald 0.0510883349559	beileid 0.0458009940429	spaßig 0.042680596188	großmeister 0.0334322678576	fußballstadien 0.00993552103987	eidgenosse 0.00903343112104	abringen 0.00903109593975	albaner 0.00854617541502	klapper 0.00823477895409	köhler 0.00754725555637	herunterfallen 0.00651711737668	landesverteidigung 0.00642521479841	schlaue 0.00331442237599	zweckoptimismus 0.00299153445704	echt 0.000737564186832	knapp 0.000228034540009	absolut 0.000107164475507	fehlen 4.43959545906e-05
topic26	holz 0.448119635299	marketing 0.338921479077	entziehen 0.0772734271298	unbegrenzt 0.07696815819	stube 0.0294667830701	endverbraucher 0.0266115263945	form 0.00168522610975	benötigen 5.49797991195e-05	bieten 5.13488552252e-05	bestehen 5.03644600751e-05	entstehen 4.19966276441e-05	setzen 1.00163291152e-05	gut 9.77293323155e-06	möglichkeit 4.51475719979e-06	groß 8.07878263711e-07	nutzen 2.3459642127e-07	können 1.0957775527e-07	passend 6.2675338671e-08	stark 1.86193350315e-08	zeit 8.14609064091e-09	geben 8.12732330282e-09	machen 7.93295157701e-09	erfahrung 7.67950134749e-09	egal 7.43864138785e-09	kommen 7.42375086019e-09
topic27	vertrauen 0.833438941228	beladen 0.0302407656633	verneinen 0.0299391112978	spuren 0.0197522518559	fischfang 0.0142227687246	nachzeichnen 0.0140474978158	risikolos 0.0114176860525	tankwart 0.00966822881688	börsianer 0.00873080454116	gewinnen 0.00453055649354	verlassen 0.00369927604318	landrecht 0.0033171655113	versprechen 0.00297777496859	kümmernis 0.00256283418017	fischzug 0.00218616759825	konsumverzicht 0.00155876221907	zulassen 0.00123079423463	fassen 0.00118088332521	bereit 0.00110662307542	nötig 0.000557891704665	erwarten 0.000448013714249	ruhe 0.000286522981379	führen 0.000274537196318	gelingen 0.000269511883529	zeigen 0.000224179826647
topic28	konzern 0.359472435924	faktisch 0.115818991341	produziert 0.108016794062	vorrang 0.0873480323855	konzession 0.0345850923765	polemisch 0.0342631521162	konkretisieren 0.0312125416712	erzwungen 0.0267980549356	umweltschützer 0.0248380695192	wasserkraftwerk 0.0236758261083	abklingen 0.0208591238328	rezeptor 0.0193089023459	alarmierend 0.0191672899545	ausbeuten 0.0190931161321	doppelalbum 0.012788581374	löslich 0.0123539428208	mikrogramm 0.0120045241274	misskredit 0.00938832020068	neubauprojekt 0.00679367715823	zeitarbeiter 0.00584447791937	kernwaffe 0.00490717919103	zerlegbar 0.00347207244156	abraumhalde 0.00238491991179	grubenunglück 0.00210555716595	umweltschaden 0.00134060478778
topic29	selbstbewusst 0.609419137807	markteinführung 0.104505077299	anteilnahme 0.0928003876013	betont 0.0813801930628	blutwert 0.0435060632579	erstgespräch 0.0246407604154	puzzeln 0.0203438132849	therapieplan 0.0157753188979	langjährig 0.00485075084728	stehen 2.60564042412e-07	tief 4.64525837673e-08	persönlich 3.84552242501e-08	gelten 3.82319110586e-08	ausführlich 3.63268181988e-08	liegen 3.17013233498e-08	ruhe 3.01521034716e-08	weit 2.78332838918e-08	kommen 2.78073664695e-08	geben 2.77864148296e-08	gehen 2.7785711481e-08	groß 2.77852686592e-08	beginnen 2.77852447069e-08	kraft 2.77850853563e-08	kurz 2.77847131272e-08	empfehlen 2.77847048799e-08
topic30	kreisliga 0.174453930916	schützling 0.113200340043	landesliga 0.111326623849	abstiegskampf 0.0707581238976	euphorisch 0.0659542620059	verbandsliga 0.0463922555723	zwanzigst 0.0409745933991	meisterleistung 0.0407641388129	kasseler 0.0388507524013	pokalsieger 0.0377191686906	gewinnerin 0.0376176278007	schlagend 0.0360349703277	ungeschlagen 0.0292888946333	unumstößlich 0.0251169984334	weltöffentlichkeit 0.0241701408613	doppelmoral 0.0217833648471	unterfordern 0.0209567512537	startschwierigkeit 0.0175994991085	sieglos 0.0159285397836	kreiszeitung 0.0138053243209	stellungsfehler 0.00703298165301	verplempern 0.00650713202179	überraschend 0.000874822330562	behaupten 0.000483247093844	vergangen 0.000266154327422
topic31	passieren 0.297886211399	gehen 0.055702517289	kommen 0.0546470343878	haufe 0.0431552680723	machen 0.0415823721884	geben 0.0292735922171	lassen 0.0250337864471	fall 0.0220219140897	einfach 0.0196743003963	dastehen 0.0182976575099	saufen 0.0165933382763	genau 0.016513432681	schlimm 0.0143181105803	stehen 0.0130976560197	minderjährig 0.0129912875718	ganz 0.0128487330392	sehen 0.0107764918775	nah 0.0100540346989	gut 0.00892888209704	gleich 0.00874213680182	wissen 0.00854559732478	lösbar 0.00792925314364	beleidigen 0.00787132404102	klar 0.00757668290399	hängen 0.00749003465342
topic32	ernsthaft 0.206174784962	witz 0.170660249386	verstecken 0.14887508912	verbergen 0.123252023093	ironisch 0.0455457021663	troll 0.0395696321356	satire 0.0387937908784	ausblenden 0.0281368722837	lacher 0.0218179661141	driften 0.019334771208	zeigen 0.0183528708892	wortspiel 0.0174789734893	mysterium 0.013543004733	originaltext 0.0117241655069	abstreiten 0.010860959069	kurzsichtig 0.0107995170656	missverstehen 0.00951802979822	eigen 0.00888103962195	polarisieren 0.00808882469078	erwiderung 0.00754457144244	verbreitern 0.0072275213752	stecken 0.00653760353299	höchstwert 0.00530900556204	knallbunt 0.00436091288338	buchstabieren 0.00421665417809
topic33	erwachsene 0.392076359838	anfangen 0.336015745472	richtige 0.0870883264523	kinofilm 0.0471347343446	venus 0.0332599567688	abgeltungssteuer 0.0317402813392	erwachsenenalter 0.0151691410121	kampfsport 0.0150261457939	gartenanlage 0.0107508940876	unterlaufen 0.00972304024161	baumangel 0.00487895139422	polstermöbel 0.00483314638714	abblocken 0.00430609162459	kampfsportart 0.0041356740261	schlüsseldienst 0.00286647688891	handeln 0.000254803711653	allgemein 1.91171597967e-05	finden 2.72301062009e-06	geben 4.80489609677e-07	erwarten 6.85258510905e-08	einfach 6.69695202005e-08	stehen 2.11288475431e-08	umgebung 8.88045605058e-09	steigern 8.05238861976e-09	gehören 7.90651683588e-09
topic34	regierung 0.0891127039175	land 0.0239628534167	neu 0.0212241309101	groß 0.0172216350464	geben 0.0162984334892	politisch 0.0156742474819	jahr 0.0151543317958	partei 0.0127598394634	kommen 0.010421707151	weit 0.0098141827008	eigen 0.00912055705704	gehen 0.00897850448779	machen 0.00870212246743	frage 0.00821695540946	regime 0.00812425321653	ende 0.00748978265966	lassen 0.00730002829108	mitglied 0.00719170879627	letzt 0.00718277098204	bevölkerung 0.0070260797865	forderung 0.0069522018952	teil 0.00686810936356	sehen 0.00683638609992	bleiben 0.00674103194823	stehen 0.00648703529694
topic35	wert 0.704014632494	legen 0.100927434716	angeben 0.0659616594112	erlernen 0.0498856531192	wohnort 0.0364848076963	latein 0.0274139978793	fremdartig 0.00444235090888	entsprechend 0.00161944778134	zwischenspeicher 0.00155241410819	annehmen 0.00113865277236	bedeuten 0.0010601142529	liegen 0.00101543896525	sein 0.00068187877309	hauptsächlich 0.0003452561368	feststellen 0.000344757448581	bestimmt 0.000339569164272	bereiten 0.000209225286592	genannt 0.000207448259589	grund 0.000205467472823	geben 0.000200939058121	mühe 0.000194601093415	zusätzlich 0.00018208573417	erwarten 0.000162872202279	lassen 0.00015115494623	grundsätzlich 8.24785424423e-05
topic36	land 0.867583955832	niederländisch 0.0292858777401	dortig 0.0218183297108	niederland 0.011846928367	nachbarland 0.0111035356008	ablehnend 0.00647035425108	gartenbau 0.00594479651525	landesgrenze 0.00520677502588	vermögend 0.00298463648747	überwiegend 0.00251128153359	bauernverband 0.00250058709327	landfrau 0.002343927937	forstwirtschaftlich 0.00229796325219	zusammenrücken 0.00219045407958	jahr 0.00216753549922	groß 0.00187440343547	stammen 0.00178942944607	nachgang 0.00173241339003	forstwirt 0.00120926408887	weitgehend 0.00113478669928	geben 0.00110051067472	zählen 0.000992436834749	vergangen 0.000848598659599	wichtig 0.00081547907439	stark 0.000770891684352
topic37	unsicherheit 0.154724988624	inflation 0.108697322931	mittelfristig 0.104881361361	finanzmarkt 0.0792780899065	notenbank 0.0387016840206	aktienmarkt 0.0378758318235	geldpolitik 0.0347069961983	ölpreis 0.0283161668813	gesamtwirtschaftlich 0.0255301239812	eurozone 0.024452435779	wechselkurs 0.0220490274757	geldmenge 0.0214890551728	geldpolitisch 0.0189594835168	neubewertung 0.0186419918068	offerte 0.0183012237283	buchautor 0.0182474160061	leitzins 0.0177251981159	expansiv 0.0171030520167	realwirtschaft 0.0166220422846	momentan 0.0138254409854	abschwächung 0.0120235487884	gradmesser 0.0116786145926	finanzsektor 0.0116167624948	umsatzsteigerung 0.0107878984151	volkswirt 0.00998923340626
topic38	locker 0.35365825765	rund 0.287263818856	brille 0.150359553082	kontaktlinse 0.0409675447135	verblüffend 0.0379065730904	allerhand 0.0332049848767	anlaufen 0.0283421701273	optiker 0.0183401508907	kenianisch 0.0114980715439	brillenglas 0.00730338427738	moritzburg 0.00659797858461	sicht 0.00453410005708	zusammenbekommen 0.00447219365315	trainingswoche 0.0036009375769	schwarzweißfilm 0.00288964289831	heranrücken 0.0025014861449	begutachtungsverfahren 0.00111001894424	perforation 0.00108065351612	gutachterkommission 0.00106470458185	resistenzentwicklung 0.00104157922099	steigern 0.00093990417866	form 0.000290070439424	exakt 0.000148737265125	streng 3.7225902541e-05	weit 1.28879390107e-05
