topic0	kind 0.66721733821	jugendliche 0.0844466680752	erwachsene 0.0427552882485	geben 0.0133473019919	jahr 0.012908680944	gemeinsam 0.0109691929312	schule 0.0102929985574	finden 0.0054151828234	eigen 0.00480464918008	umgang 0.00472227081523	bieten 0.0041231223815	möglichkeit 0.00376165334022	früh 0.00363403622275	spielerisch 0.00362621603528	erleben 0.00357551147817	verschieden 0.0034475009581	entwicklung 0.00344692667348	brauchen 0.00340296806345	schulsystem 0.00329839143691	stehen 0.00269194073783	täglich 0.00260508609687	spaß 0.00258310148378	nehmen 0.00242822140988	fördern 0.00227255143711	entwickeln 0.00222437077957
topic11	weg 0.135778626467	straße 0.106583873416	richtung 0.0844207686793	gehen 0.0669693905972	führen 0.0361076403881	folgen 0.0227636330896	kurz 0.0220650654221	erreichen 0.0218539624188	sehen 0.0150178267145	weit 0.014967692267	ort 0.0146909296004	direkt 0.0129520793008	nah 0.0121290507437	ende 0.0105205753244	kommen 0.0104645697263	biegen 0.0102155088383	verlassen 0.0100984524734	befinden 0.00943002637122	gleich 0.00891122054418	stehen 0.00875663272938	liegen 0.00853831766156	verlaufen 0.00850335118049	parkplatz 0.00837199991529	finden 0.00796967725562	wanderweg 0.00783331855496
topic12	ministerium 0.226920874848	aufwarten 0.0427887887252	klinge 0.041339988917	ungeahnt 0.0407561398279	zacken 0.039265877066	fragezeichen 0.0392501110576	keule 0.0329117657398	erklimmen 0.0309569377915	unbeantwortet 0.0297453008321	verleugnen 0.0236222241061	sehnsüchtig 0.0224354189179	fechten 0.0214393288041	bürgerforen 0.0203305531391	auftun 0.0191208792865	reue 0.0186955033496	wahrhaftig 0.0169628167109	namenlos 0.0164093588626	unerfreulich 0.0149832915822	machwerk 0.0130342843641	gospelchor 0.0125836726057	heiser 0.011331949696	quantensprung 0.00988908958794	strukturreform 0.00947695483147	kavallerie 0.00854615844774	sarkophag 0.0079912320677
topic13	treppe 0.159330421746	betrachter 0.0872055344533	erschreckend 0.0836838219965	vorhang 0.0810268075041	bedrohlich 0.0578645893535	schmelzen 0.0465199020851	beihilfe 0.0403613738784	einleuchtend 0.0361657184645	herausfordernd 0.034692555371	empire 0.0283755267294	archaisch 0.0246596391286	monoton 0.0226453692633	videothek 0.0222599474307	selbstredend 0.0216791511525	zerbrechlich 0.0212793723024	makaber 0.0176501296498	einbildung 0.0176432873994	verabredung 0.017543532563	schmelze 0.0148923826529	feindselig 0.013574384802	pissen 0.0107374325698	konzerthaus 0.0103819730352	background 0.0103088762258	anmutung 0.00839115586111	spiegelnd 0.00732351687248
topic14	besonder 0.256419871912	erhalten 0.201159536214	anlass 0.0686689371884	hochzeit 0.0641358282655	auszeichnung 0.0540631796597	hervorragend 0.0468344462693	ausgezeichnet 0.034013646438	urkunde 0.0305893031484	verleihung 0.0165817252947	ehrenamt 0.0144079591784	überreichen 0.0135251974426	schulklasse 0.0122368866563	moderation 0.0117972631932	ehre 0.00974052979121	verdient 0.0095792093902	standesamt 0.00830877296657	weitestgehend 0.00820935339555	feier 0.00793607944043	verleihen 0.00662181782112	brautpaar 0.00646131934129	ehrengast 0.00623092088931	vorbildlich 0.00521416121614	stolz 0.00492245314908	stadtfest 0.00444824050354	weise 0.00441634785751
topic15	rechnung 0.272370701141	ware 0.235055535847	telefonisch 0.0926903140709	bestätigung 0.0648715230709	erhalt 0.0527078276991	bezahlung 0.0429947526356	zahlung 0.0335679301827	erstatten 0.031500585399	anderweitig 0.0181837794485	besteller 0.0171770845342	bezahlen 0.015263018402	gutschrift 0.0138962878235	vermerken 0.0138382959298	bankverbindung 0.00979382788598	rechnungsbetrag 0.00939615790655	lastschrift 0.00888627543644	nachnahme 0.0080651159439	unprofessionell 0.00704012906566	bieter 0.00647065530863	verrechnung 0.00594468056627	eintreffen 0.00553870733907	erhalten 0.00425511118128	rückerstattung 0.00389764566223	unfrei 0.00351081193349	groovend 0.00297150402688
topic16	high 0.177719487472	gewollt 0.110319340933	dual 0.0943831028643	allererste 0.072499592502	knackig 0.0634912430425	klingend 0.0521052475454	animiert 0.0484988764616	beileid 0.0418763657949	upload 0.0394413146819	makro 0.0306649771211	endung 0.0302389758207	unentschlossen 0.0207259662302	konverter 0.0192871072873	trefflich 0.0189824896078	mystery 0.0165049731683	nektar 0.0154365678106	probier 0.0146695997868	verfangen 0.0121001140419	superb 0.010825943202	bestückung 0.00996458269569	sicherheitsstufe 0.0085163085765	kreuzworträtsel 0.00835598046316	triton 0.00828840676812	kleinserie 0.00824482220345	orgelkonzert 0.00759149226683
topic17	offiziell 0.56972612851	soundtrack 0.0472996766014	hinrunde 0.0402442026301	zombie 0.0342801876459	kiosk 0.0324968887896	abliefern 0.0206020469889	urlaubsort 0.0145882125834	größte 0.0145158751223	schielen 0.0145094987028	pfahl 0.0132880918134	vakant 0.0131036323611	vorwarnung 0.0126014837387	gigant 0.0110493559329	score 0.0105916947339	antesten 0.00988478045652	mittelgebirge 0.00895017943682	siegertreppchen 0.00849031687016	sylvester 0.00801595218821	fanartikel 0.00752970627953	geklaut 0.00745491951937	gehörgang 0.00738470498153	schönheitsfehler 0.00593808617923	groovig 0.0058579096491	ausflippen 0.00565063394725	sondieren 0.00545629081014
topic18	platte 0.302879650395	festplatte 0.217487473382	vorschlagen 0.0792078707657	mühsam 0.0630142347004	vorrangig 0.0582683589433	drive 0.0352626345915	einfrieren 0.023074382266	raid 0.0179195218327	gedrückt 0.015336904757	benchmark 0.0138161739052	ungelesen 0.0118166727756	fensterbank 0.0117070932152	teilzeitbeschäftigung 0.0103945501472	speicherkapazität 0.0102022482308	abkömmling 0.0101063020066	verkaufsstart 0.00950505838659	krebserregend 0.00836669729951	dresdener 0.00703740598453	wiederentdeckung 0.00689826535666	diabetisch 0.00688767167256	gotik 0.0059983518296	anschaffungspreis 0.00584956083548	lagig 0.00573321102471	herzkrank 0.00565837228328	darmspiegelung 0.00493031454151
topic19	tragen 0.21952880083	kleidung 0.0602578962546	mode 0.0557226267164	kleid 0.0322382346004	elegant 0.0275805233439	sexy 0.0256039698753	schick 0.0220144407866	kostüm 0.0190189622458	anzug 0.0190118624216	edel 0.0189171844163	modisch 0.0169322925296	stoff 0.0165798637073	geben 0.0161353058053	style 0.0159641428258	look 0.0158056377302	accessoire 0.0145098708874	hemd 0.0140431572285	jeans 0.0127055491719	kleidungsstück 0.0121537855864	aussehen 0.0121265360208	rock 0.0118988034829	mantel 0.0117143771127	schlicht 0.0114169420948	schnitt 0.0112027477736	daten 0.0101821338257
topic20	datenbank 0.0289409056703	tabelle 0.0271584592193	speichern 0.0270010206108	einfach 0.0227332691292	gewünscht 0.0215711984649	löschen 0.019462998348	auswählen 0.0190435851979	verzeichnis 0.0178245924373	entsprechend 0.0173311365753	beliebig 0.0156838437715	geben 0.0146504103275	eingeben 0.0145384645152	eingabe 0.013621787137	wählen 0.0135908902677	befehl 0.0135704547853	option 0.0124386368479	möglichkeit 0.0120174607988	sehen 0.0119255486329	verwenden 0.0116345216734	einzeln 0.0113432891523	einfügen 0.0112148800786	folgend 0.0110881219063	direkt 0.010999164892	lassen 0.0104627600994	stehen 0.0097510907426
topic21	frau 0.589406838784	mann 0.254824595608	männlich 0.0470919815766	weiblich 0.044803192249	geschlecht 0.0105058439056	spielerin 0.00894967341559	gleich 0.00462731145062	gleichberechtigung 0.00388936858638	weiblichkeit 0.00294338066659	stark 0.00221076193945	jahr 0.0017900399831	geben 0.00167760370062	ansprechen 0.00117652721583	zeigen 0.00116472169523	weltöffentlichkeit 0.00109574030038	frauenbild 0.00102225667789	gelten 0.00096018348363	häufig 0.000856087714199	leben 0.000800475385507	typisch 0.00078927816582	grund 0.000738704619943	finden 0.000736068301797	unterschiedlich 0.000702925637663	selten 0.000688723575312	gehören 0.000664455273798
topic22	ferienwohnung 0.250818884204	ferienhaus 0.175669120713	bewegt 0.0610928918062	schwarzwald 0.0574339290628	handarbeit 0.0375207681392	apartment 0.0345849382804	erholsam 0.0334409816693	ausgedehnt 0.0273368811791	informationsveranstaltung 0.0254136516948	ortschaft 0.0245947621258	kindheit 0.0215531952688	urlaub 0.0188734304201	preisgeben 0.016259048218	reinrassig 0.015787137339	schizophren 0.0144804125344	kästner 0.0109489938158	zigeuner 0.0108292949524	nachstellen 0.0101883520899	laube 0.00998338124164	wintersport 0.00979222866729	mutterleib 0.00935418711118	ungar 0.00912175889689	beschwerdefrei 0.00808170232841	gemeindegebiet 0.0080243445621	kindheitserinnerung 0.00801609482506
topic23	essen 0.506457908511	trinken 0.183597417195	hunger 0.034949127056	getränk 0.0334741689385	mahlzeit 0.0317348193731	speise 0.0315890209595	abgeltungssteuer 0.0121615988899	schmecken 0.0119184017917	erkrankte 0.0111468254019	kauen 0.0111059000141	fasten 0.0100997488662	nehmen 0.00928781791051	brot 0.00769975168948	mittag 0.00695497115223	anthroposophisch 0.00675064600258	teller 0.00642495063512	geben 0.00608513136162	appetit 0.00494508565447	probieren 0.00484091757964	suppe 0.00470496598366	wurst 0.0042354844654	ungesund 0.00404118815746	portion 0.00391160510316	verdauung 0.00385298502883	nachlassend 0.00377096154577
topic24	rahmen 0.241788734579	gewicht 0.215900439376	schwer 0.0521496088946	leicht 0.0496013955192	stahl 0.0369102162106	senkrecht 0.0346420724179	aluminium 0.0323363762364	bike 0.0268156815328	wiegen 0.0224024017785	fränkisch 0.0196778456776	pedal 0.017774696216	girl 0.015279208894	wasseroberfläche 0.0145859486599	alu 0.0131218485333	mountainbike 0.0119845539368	geformt 0.0110696359813	krater 0.0107937787184	spalt 0.0106624503606	grip 0.0100908637028	entweichen 0.00998862412501	messing 0.0097759322369	schwalbe 0.00913378456671	einschlag 0.00906051431479	teilig 0.00765616887412	firmengründer 0.00758703461362
topic25	vogel 0.27658671705	entfernung 0.143888165385	züchter 0.133657081308	zucht 0.0627134234448	umgehend 0.0569114731485	einfangen 0.0332685129631	landeskirche 0.0320488808833	eule 0.0258246269529	gelebt 0.0246576956611	brüten 0.0200542052949	lebensbedingung 0.0145887398437	hilfsangebot 0.0141406752889	gefangen 0.013832897514	aufzucht 0.0136105103823	distrikt 0.013164658779	scharfschütze 0.0121777236691	gelege 0.0107401465489	greifvogel 0.00803405563822	para 0.00731908392102	repräsentanz 0.00665973393126	wittern 0.00603979119155	veterinär 0.00471659720087	unheilbar 0.00460414607653	haftungshinweis 0.00437752969775	steckenpferd 0.00415757642339
topic26	dorf 0.349934829548	kloster 0.124403505476	staunen 0.0894260563681	mönch 0.0424811885118	aufpreis 0.0332495388916	tibetisch 0.033162733193	verzaubern 0.0287216366887	verschmelzen 0.024839291056	abendlich 0.018573928179	tibeter 0.0181280834741	flattern 0.017161110099	ort 0.015613375078	gemächlich 0.0155176777205	schulhaus 0.0141284362517	prozession 0.0126130788238	rastatter 0.010402087895	spendenaktion 0.0100616387337	känguruh 0.00995610417215	abendveranstaltung 0.00895936215763	schulprojekt 0.00890478628482	stadtrundgang 0.00831867703033	einfallsreichtum 0.00768786718495	geldschein 0.00670847616406	dreißigjährig 0.00656936752664	kurzinfo 0.00603507047963
topic27	selbstbewusstsein 0.17657573696	unterlage 0.0741527897111	liegen 0.0382847159434	wirklich 0.0341733598466	kommen 0.0334684888066	befreien 0.0253566421846	bonus 0.0243407944252	interpretieren 0.0195444440168	sogenannt 0.0182773307103	nachname 0.017942417315	kosten 0.0169745944824	stehen 0.0159072745084	schätzen 0.0158563418806	gleichzeitig 0.0156110981786	tatsächlich 0.0148100018563	sozialgericht 0.0127162157128	gehen 0.0106744443983	weit 0.0104995273412	persönlich 0.010407583517	bezogen 0.00969457728544	geben 0.0095995087663	eigenständigkeit 0.00944220743958	sagen 0.00908615372596	herausholen 0.00826723758065	automatisch 0.0075703127095
topic28	handlung 0.0861885621631	absicht 0.0701755852616	einzelfall 0.0699174168899	begehen 0.0472879440879	vergehen 0.0387302236487	entziehen 0.036133619296	erleiden 0.035741831842	versucht 0.0336838237745	eingreifen 0.033073109819	betreten 0.0317956925272	vertretbar 0.0299755979308	strafbar 0.0290131942335	verteidigung 0.0277030761055	unerlaubt 0.0219696605617	erschweren 0.0217942397484	einräumen 0.0215824737151	bestrafung 0.0179777024051	unbestimmt 0.0160597224732	freiheitsstrafe 0.0158404045462	schriftstück 0.0142845052731	tatbestand 0.0139986477165	strafverfahren 0.013725649473	aufrechterhaltung 0.0137105462378	ordnungswidrigkeit 0.0122373189793	verneinen 0.0119843121598
topic29	freundin 0.370822707091	qual 0.0534871210471	date 0.0531741991103	kumpel 0.0491094040381	kerl 0.0425455772655	weib 0.0364436123559	nahen 0.0314565960937	auszeit 0.0263132298366	gefährt 0.0241005368496	hold 0.0232209371527	verwendungszweck 0.0215025118294	harren 0.0171231655594	kurort 0.016577390321	buckel 0.0165246080543	weingarten 0.0158823172804	einladend 0.0150295101103	busen 0.0140748031164	flirten 0.0132181033301	wohnend 0.0126083502759	kloß 0.00899373324446	kerlchen 0.00898932365363	lover 0.00890637063339	ausgangsbasis 0.00792267274523	kultivieren 0.00790859583621	überhören 0.00755429405756
topic30	schweizer 0.454709284494	fahne 0.109573382715	anfassen 0.0642047424923	bekanntschaft 0.0578071094717	beisteuern 0.0327287017187	aufhängen 0.0320283226207	zunft 0.0311033872635	filmmusik 0.0279873238931	nachholbedarf 0.022979615595	ernüchterung 0.0157296769144	rabatte 0.0154962122086	kompositorisch 0.013405058426	massig 0.0125491263219	konservatorium 0.0122320055369	gespart 0.0114120034935	überschwemmen 0.0110235119434	freischaffend 0.0108476541233	mannequin 0.0108034694795	preisvorstellung 0.00958994454169	händeringend 0.0079284523115	eldorado 0.00763787790637	bankkredit 0.00658964093017	marktzugang 0.00498474017848	werbemedium 0.00376905304346	benutzerbild 0.002648976498
topic31	leitung 0.211732444699	elektrisch 0.136821073786	rohr 0.0663354114415	antrieb 0.0645668492111	pumpe 0.0535667829687	schalten 0.052667325987	laser 0.049430374713	bremse 0.0457288555883	bremsen 0.0445549458819	schalen 0.0391466223842	plus 0.0375552234682	generator 0.0186263922833	relais 0.0156972606446	diode 0.0147419834366	gesundheitsförderung 0.0136256324676	arbeitgeberin 0.0111369634944	minus 0.00985238044468	fachkreis 0.00942407979377	kinetisch 0.00918796349029	nachsorge 0.00877386449709	entladung 0.00869170412913	kreisförmig 0.0082098198999	geowissenschaft 0.00577206861127	unübertroffen 0.00527928964988	therapiemöglichkeit 0.00466373097763
topic32	auto 0.288107599483	motor 0.118981239164	wagen 0.0978171547268	fahren 0.0508741898773	getriebe 0.0226939406863	drehzahl 0.0119499795178	sprit 0.0117738267251	tuning 0.0104419659027	kombi 0.00996583981978	vergaser 0.00982116304626	laufen 0.00951664334668	kofferraum 0.0091638067156	lassen 0.00906550253777	drehmoment 0.00888062011508	automatik 0.00722279027944	cabrio 0.0067653502207	bringen 0.00671178866943	gas 0.00661647704368	oldtimer 0.0064069948505	zündung 0.0059291678515	neu 0.00579071051546	kommen 0.00560278691632	ccm 0.00524795775884	mechaniker 0.00510427865605	sportwagen 0.00495155920137
topic33	lecker 0.220688817439	wartezeit 0.0932231384867	nahrung 0.0577983981234	brötchen 0.0552266213574	damm 0.0451075301037	kost 0.0361602256411	sprengen 0.0352632145275	süßigkeit 0.0335680307986	schnelle 0.0270006208161	pommes 0.026175814002	appetit 0.0235969298617	hering 0.0220603548363	überreden 0.0179097511316	bonbon 0.0178912334138	haftbefehl 0.0153939370602	knusprig 0.0149639211831	uhu 0.0144813680768	geschmacklich 0.0141315068525	vorspeise 0.0126878337376	gefüllt 0.0119777436424	untersuchungshaft 0.0110784676803	moderiert 0.010273442582	spätfolge 0.00950694824594	führungsrolle 0.0093815033186	holzart 0.00889244885693
topic34	meter 0.188551794475	höhe 0.110505548743	tief 0.0907648890755	lang 0.0448169126778	hoch 0.0442243714804	groß 0.0408120990976	liegen 0.0305641739414	tiefe 0.029034397178	flach 0.0200540179479	hang 0.0194760919621	weit 0.0184435430333	felsen 0.01769070678	steil 0.0119996104548	erreichen 0.0105645296313	stelle 0.0101005715946	stehen 0.0100184613107	stark 0.00994789020353	kurz 0.00877099251992	bergen 0.00721427342786	schwer 0.00712024980061	grube 0.00627167328874	knapp 0.0056845085736	leicht 0.00510080489418	kreisstadt 0.00508375792767	befinden 0.00495508874589
topic35	waage 0.0787216363414	aufgreifen 0.076843368436	clever 0.0660100231934	zusehen 0.0624482470289	entschuldigung 0.0589978673132	ausleihen 0.0515065670428	beleben 0.0509693294357	pärchen 0.0459010391877	stumm 0.0389012345954	trauma 0.0342119948171	stier 0.0308436279909	skorpion 0.0262186152812	verurteilen 0.025800393856	polster 0.0257956426109	schlapp 0.0257127255869	schwiegermutter 0.0241899762732	horoskop 0.0229754539269	sternzeichen 0.0206808628741	mitverantwortlich 0.0183454523783	ohnmacht 0.0170294406274	fesselnd 0.0158800041754	orangefarben 0.0142542016879	widder 0.0140375781571	abstempeln 0.013550176919	vermiesen 0.010067844817
topic36	verband 0.26558527098	business 0.113533698637	apotheke 0.0919067880104	inhaber 0.0798349408373	spezialisiert 0.0593866574659	unverzichtbar 0.047477344324	vorgabe 0.0464062805803	familienunternehmen 0.0298455493485	administration 0.0294018131196	landesweit 0.0263011934391	ökologie 0.0225779388941	kundschaft 0.0198942707028	handwerksbetrieb 0.0167049023307	informatiker 0.0164651130345	wettbewerbsvorteil 0.0136242773435	landesebene 0.0132596901855	bundesebene 0.0108402343224	sonderkondition 0.00798764621235	softwarelösung 0.00763571745627	vorreiterrolle 0.00751821743739	kostenträger 0.00639630064372	institution 0.00626426098756	tageblatt 0.00557780489684	akkreditiert 0.00473749143552	verbandsmitglied 0.00372142381806
topic37	freundschaft 0.213731691764	sms 0.129318090826	folgende 0.0826320919226	freundschaftlich 0.0459620252797	gestern 0.0437081949996	weiten 0.0354811313707	vorschnell 0.0291408446746	abkühlung 0.0269511056449	genfer 0.0265017250791	inakzeptabel 0.0218496309107	dienend 0.0194588601064	erwachsenenalter 0.0167305446496	fotografin 0.0163308111615	plakativ 0.0155118489599	heranwachsend 0.0129592987544	lichtbild 0.0125804755387	schockiert 0.0116734355215	geräuschkulisse 0.0114673478181	straffen 0.00986514848118	silberling 0.00981163187915	schönere 0.00958838809412	durchgreifend 0.00875739395818	klischeehaft 0.00820516826702	verkettung 0.00820335756794	feriengast 0.00777772214963
topic38	fernsehen 0.209561555393	angriff 0.197723344995	greifen 0.0767642584477	angreifen 0.0540354353511	attacke 0.0432763204516	saugen 0.0382111752967	angreifer 0.0369826461102	feindlich 0.0300427098025	phantom 0.0281588533402	verteidigen 0.0266084799002	kanone 0.0258065153855	happy 0.0220260890351	pionier 0.02071880067	gefecht 0.0190868404552	unterfangen 0.0185149511855	klemme 0.0154553993644	reichweite 0.0138235531123	mühevoll 0.0120578944878	luftraum 0.0107015162098	aufenthaltsort 0.00968762055156	verbündete 0.00959164060311	verteidigung 0.00925552062527	originalbeitrag 0.00833793418747	kampfhandlung 0.00717887084578	scherge 0.0047737101825
topic39	pferd 0.483972902847	stall 0.107700006268	reiter 0.0923564587907	stute 0.0475495639302	pony 0.0389351771401	stehen 0.0279012471485	brav 0.0252309986835	bundesbank 0.0192551426076	besitzerin 0.0118702191647	europaparlament 0.0106022732354	bundeshaushalt 0.0103688514384	hänger 0.00902064430282	einschläfern 0.00890980716126	turnier 0.0081001802369	inhaltsbereich 0.00656136714908	schlachter 0.00621441145182	eigen 0.00541418357373	nothilfe 0.00470549134382	drollig 0.00410336471394	weiterverkaufen 0.00401870198647	tierarzt 0.00391719894627	täglich 0.00344710172048	jahr 0.0034425840351	rücken 0.00303184648608	gehen 0.0029977730222
topic40	jahr 0.065188585616	zeit 0.0494787334424	heutig 0.0484730267288	stammen 0.0339603386408	spät 0.0336067111689	ehemalig 0.0333429400681	ursprünglich 0.0303515012771	alt 0.0278604042836	gehören 0.0235423003597	früh 0.022885608314	damalig 0.0222551532747	groß 0.0203548106182	finden 0.0200871245827	erst 0.0177263752989	ort 0.0167092460616	weit 0.0164739875831	stehen 0.0162547877579	bekannt 0.0160222628184	kommen 0.0136787136956	erhalten 0.0130506469157	liegen 0.0128657864797	befinden 0.0110153355549	geben 0.00951996728809	jahrhundert 0.00885457433689	lang 0.00868623193325
