topic0	person 0.627751497261	station 0.101745998057	tisch 0.0710641622775	indisch 0.049798837081	stuhl 0.0336375040878	trauern 0.011898032084	beantragung 0.00856376178643	lauenburg 0.00797185187274	eindecken 0.00577800641002	münster 0.00560455078193	zweistündig 0.00554623197539	inklusiv 0.00536766451862	esstisch 0.00527106974502	freifläche 0.00488931548139	urlaubsreise 0.00467397636838	gesamtleistung 0.00388982302785	backend 0.00384235684505	festplatz 0.00330727778115	darlehensvertrag 0.0026364915709	crewmitglied 0.00262108017865	sondergenehmigung 0.00231921531035	beengt 0.00229594651786	scheibenwischer 0.00219458062479	stiege 0.00208959206841	weserbergland 0.00208942736894
topic18	flughafen 0.186261921459	flug 0.110056064833	länge 0.0838677368532	air 0.0802272328495	knoten 0.0599069725123	haltestelle 0.0472799700928	taxi 0.0362350586129	fluggesellschaft 0.0341350231091	passagier 0.0288638928601	terminal 0.0284554317493	schnur 0.022999092874	gehoben 0.022315966875	verkehren 0.0200676004508	knopfdruck 0.0188190804678	celsius 0.016653060862	abflug 0.0158422604544	double 0.0136344767748	erlesen 0.012418086427	strang 0.0123092512303	buslinie 0.00897962394534	chilenisch 0.00844204979409	qualitätskriterium 0.00809820267135	schlaufe 0.00791362168254	handgepäck 0.00717379465063	reisend 0.00657393784354
topic19	ausbau 0.0642187839	strom 0.03770682897	energiewende 0.036064830674	kraftwerk 0.0357011832775	erneuerbare 0.0330670683862	atomkraftwerk 0.0277262090665	nürnberger 0.0268360433366	kohle 0.0260625995752	ausstieg 0.0254856316887	regenerativ 0.0221805857379	biomasse 0.0167656167553	radioaktiv 0.0158432771664	erneuerbar 0.0151819583706	energieträger 0.0145615197874	atomkraft 0.0137220990013	strompreis 0.0136151451246	energiequelle 0.0135118028311	nuklear 0.0130909132462	renovieren 0.0130827407412	bundesregierung 0.0130755775201	inbetriebnahme 0.012607415389	katastrophe 0.0121984122142	stromnetz 0.0117482839879	stromversorgung 0.0114950610952	renoviert 0.0113956198692
topic20	reifen 0.0951211434432	geschwindigkeit 0.0636159345975	kurve 0.062176641466	bremse 0.0457143869332	bremsen 0.0366722013132	fahren 0.0339085897236	audi 0.0220708358313	marine 0.0207215637132	zügig 0.0174275136226	pkw 0.0173174255286	potsdamer 0.0161449799946	beschleunigen 0.0159823944228	drehmoment 0.0156400272284	gas 0.0152534303518	auspuff 0.0145817462967	autofahren 0.0141916058794	stellenweise 0.0131626215393	kollision 0.0126719074048	jeep 0.0114471182643	verkehrsteilnehmer 0.0112864816562	handling 0.0112103024704	anlagenbau 0.0111235227254	vollgas 0.0107345464341	umdrehung 0.0104918143151	fahrbahn 0.0100687427348
topic21	gesetzlich 0.156893341924	krankenkasse 0.103940722732	rente 0.0738312238061	unfall 0.0681561253401	krankenversicherung 0.0583653312598	versicherte 0.044764942348	lebensjahr 0.0401896721377	beitrag 0.0266489334257	absicherung 0.0255255711836	leistung 0.0209256183894	auszahlung 0.020744201351	alter 0.0203104771303	versichert 0.0143758399408	versichern 0.0137243811916	vollendung 0.0129045269967	privat 0.0124816043912	finanziell 0.0122802477625	freiwillig 0.0114976063146	anspruch 0.0110942136568	fall 0.00899090215474	krankheit 0.00771309260297	übernehmen 0.00734368911271	staatlich 0.00694221372522	vorsorgen 0.00689798661218	diktat 0.00668642521866
topic22	solo 0.0717394024121	gesammelt 0.0656424381344	hypnose 0.0566183503781	keyboard 0.0459328803473	equipment 0.0456734928222	eimer 0.0423711916307	hahn 0.0378770401259	gehege 0.0359814103759	artgerecht 0.0326610399816	henne 0.029563454063	nordisch 0.0294110591544	treibend 0.0262589458944	improvisation 0.0223223832498	kompressor 0.0203702192312	brüten 0.0195551551411	abnehmer 0.0188695404952	küken 0.0180207080088	scheu 0.0177405262141	flattern 0.0177163928981	abzeichnen 0.0173820946679	wohlergehen 0.017084161954	diagonal 0.0169693189365	schmankerl 0.0167279596967	meute 0.0165083316124	ausbrechen 0.0152820773007
topic23	programmierer 0.0765854237841	starr 0.0573352120743	ungeeignet 0.0542223037931	ähnliche 0.0461390724521	nutzlos 0.0406602120417	autonom 0.0387173117348	verwechseln 0.0377951029844	verlierer 0.0315106801729	abfindung 0.0273601409369	unberechtigt 0.0237776350897	hinauslaufen 0.0225357845956	schlitz 0.0205815691696	erfinderisch 0.0198891739815	leidig 0.0196757480341	handfest 0.0196495857972	unmöglichkeit 0.0193136900494	beule 0.0156439500769	mieterhöhung 0.0145635883002	wildbahn 0.0145634557861	anwendbarkeit 0.0142082568029	hauswand 0.0136601985051	spanne 0.0131292636846	immobilienmarkt 0.0131186912256	reflektion 0.0124795881666	propeller 0.0115868802572
topic24	kommen 0.0230029722049	schnell 0.0223553163	kurz 0.0220159537818	spät 0.019450249614	beginnen 0.0189766792207	versuchen 0.0188033107465	zeit 0.0183627117478	weit 0.0167930440061	lassen 0.0163969680585	plötzlich 0.014113371967	langsam 0.0125291494697	erst 0.0121700518392	bringen 0.0107024979602	nah 0.0104321336869	halten 0.00954032574247	nehmen 0.00937039239122	fallen 0.00882130592783	stellen 0.00858990210245	setzen 0.0085597152877	befinden 0.00830027735135	verlassen 0.00823841593515	verschwinden 0.00820161849905	machen 0.00802311109677	folgen 0.00773359039718	erneut 0.00761468313298
topic25	heimat 0.231825614769	lebend 0.103882502975	regulär 0.101227309191	flüchtling 0.0905998944817	verleih 0.0801107227448	flucht 0.0499195101611	spitzname 0.0340842707394	kennzeichnen 0.029597021266	fleck 0.0280927275718	eigenständigkeit 0.0185100864743	syrisch 0.0166497773315	ruin 0.0156504512301	bequemlichkeit 0.0143494966952	dienend 0.0118993384287	psychosozial 0.0116614580789	neptun 0.010514487457	kaufleute 0.010256805462	fehde 0.00988203706515	sozialpädagoge 0.00927652889926	loyal 0.00843086302834	beobachtend 0.00836234862664	versöhnen 0.0071778095548	zurückstellen 0.00642621445362	konsul 0.00570863179223	errettung 0.00532890746169
topic26	tun 0.116969117101	machen 0.0525851515321	gehen 0.0495738649947	schlimm 0.0276407794101	total 0.0208745455156	leid 0.0204263515597	sagen 0.0173730908315	reden 0.0160731112765	voll 0.0126030266464	traurig 0.0123869757249	weh 0.0114001305104	einfach 0.0112330482636	lieb 0.0106771306262	hassen 0.0105261619702	cup 0.0086937273287	hart 0.0085669937751	leben 0.00804805650715	egal 0.0078776193492	denken 0.00760418907143	kommen 0.00687708079214	passieren 0.00662415457369	böse 0.00655379289771	laß 0.00632615895764	bock 0.00623560726265	wissen 0.00622219644195
topic27	zoo 0.110415650881	tiger 0.0757556685594	wolf 0.0712096715044	elefant 0.0628626535541	netzbetreiber 0.0534285518847	iranisch 0.0527954476214	bedroht 0.0428409298338	boom 0.0371986279928	aussterben 0.034380040443	fight 0.0332329219259	festigen 0.0321175076138	preisgeben 0.0279366740506	mobilfunk 0.0191734954773	trierer 0.0173180085696	karfreitag 0.0170742616343	bundesnetzagentur 0.0150411909795	zoologisch 0.0137221580947	debattieren 0.0132732790571	einzelgänger 0.0132186169317	saarländer 0.0130133167118	stör 0.0128106453257	wildnis 0.0119002971849	einzig 0.0104274768144	razzia 0.0102251816686	umfassender 0.00992927902221
topic28	neu 0.731569578197	erst 0.0207438443957	award 0.00937312440598	neue 0.00923504003423	geben 0.00809240227252	starten 0.00741784015102	bringen 0.00726548228096	bisherig 0.0071137594826	stehen 0.00631167878737	kommen 0.00585767285695	präsentieren 0.0058160956161	komplett 0.00574163356613	zukunft 0.00566413092557	hall 0.00544835515848	bekannt 0.00542379596495	nah 0.00507999713942	kommend 0.00471574997968	eröffnen 0.00464692514633	groß 0.00442728565627	weit 0.00439408972498	stellen 0.00425778597678	freuen 0.00421440639153	offiziell 0.00402094877253	zukünftig 0.00359701199508	gehen 0.00330524810242
topic29	intelligent 0.198234068463	selbstbewusst 0.137005762727	kompromiss 0.0595127405344	wünschenswert 0.0476476019768	hansestadt 0.0473576537658	palme 0.0462059187489	pauschal 0.0405353117075	multimedia 0.0346451711402	blinde 0.0317348285451	erwähnung 0.0290710286127	angehören 0.0276585470246	konstrukt 0.0266066676404	zugehörigkeit 0.0236595285432	symbiose 0.0207173555031	praktizieren 0.0180771796657	urne 0.0171880772526	katalysator 0.0157702525715	beiwohnen 0.0137684626336	affinität 0.0125540878768	debakel 0.0113224123092	bisschen 0.0108741009366	ehrenwert 0.0103305327289	zerschneiden 0.00927561292129	abmachung 0.00705739664772	trotzig 0.00686831420947
topic30	gebäude 0.119870962863	grundstück 0.055065740727	büro 0.0386848587921	neubau 0.0331320479837	dach 0.0328292467397	sanierung 0.0297946010614	bau 0.027907032075	vorhanden 0.0275047896333	eigentümer 0.0204898201354	bauherr 0.0197924339698	fassade 0.0161677135879	entstehen 0.015130926539	fertigstellung 0.013927354693	nutzung 0.0136939362296	errichtung 0.0107628370679	architekt 0.0100949053334	fenster 0.00899675974309	baumaßnahme 0.00881922088644	bestehend 0.00843951549333	errichten 0.00836262742156	gesamt 0.0083060029756	arbeit 0.00802068154293	stehen 0.00799228393535	planung 0.0079085662409	abbruch 0.00790750130718
topic31	wahl 0.344405111235	wählen 0.240351105253	ausland 0.142974871079	kandidat 0.0892397654077	ziege 0.0170427988303	bettwäsche 0.0154964984971	inland 0.01405648827	entscheiden 0.013856044739	stimme 0.0135532463443	abendstunde 0.0085580398952	einfuhr 0.00829038905705	europawahl 0.00733506639212	reisekosten 0.00621403611767	reichsbahn 0.00476714260802	wahllokal 0.00445604089152	barbarisch 0.00402012412232	unterschrieben 0.00396750425763	altensteig 0.0037873951058	stimmabgabe 0.0037841144703	eingestuft 0.00354805265388	abstimmung 0.00335619101228	superklasse 0.00315294846585	hilfsgut 0.00290756850465	wahltag 0.00265058426698	räterepublik 0.00239400867467
topic32	platz 0.429190650463	start 0.102783543078	belegen 0.043174860796	starten 0.036242755934	junior 0.0358433547329	wochenende 0.034891942445	gut 0.0240030039378	altersklasse 0.0171158610706	plazierung 0.0170025155394	erreichen 0.0169610622516	sprung 0.0121491050501	starter 0.0096417702525	erst 0.00722809309423	finden 0.0065535032405	koreanisch 0.0063913888109	verbessern 0.00587391701429	gehen 0.00527856318845	weit 0.00518773599513	mitfahren 0.00494824051293	souverän 0.00487066323318	nehmen 0.00486878445217	ausrichter 0.00483543690257	zeit 0.0043440700378	hervorragend 0.00431205727479	gewichtsklasse 0.00404379687341
topic33	erst 0.056169716531	zweit 0.0417408463163	dritt 0.0264645662261	rennen 0.0242518672381	gewinnen 0.0221314653553	gehen 0.0212363795508	gut 0.0198017240365	turnier 0.0162890235456	mal 0.0152969133928	finale 0.0146418850029	geben 0.0132157080345	zeigen 0.013033473381	kommen 0.0124305904145	viert 0.0123228925219	groß 0.0120335010496	letzt 0.0111449288341	runde 0.0111290641643	sieger 0.0108792277728	ende 0.0108056777521	stehen 0.0101033976437	weit 0.00894217308594	sieg 0.00842323981716	fünft 0.00830638553738	match 0.00787443239839	holen 0.00764355381981
topic34	antenne 0.113301856651	orientierung 0.0788047406943	bombe 0.0603889487687	neigung 0.0500897779551	irakisch 0.0430903340366	homosexuell 0.0394576416055	diskriminierung 0.0359471440048	vergewaltigung 0.0330243170467	homosexualität 0.0262296822192	veranlagung 0.0255162495012	homosexuelle 0.0218115226586	hysterie 0.0193950294992	utopia 0.0184390622328	atombombe 0.0167967804263	zeitfenster 0.0162239155284	heterosexuell 0.0145556797741	esslöffel 0.013289743438	feminismus 0.0128393843885	demonstrativ 0.012419694638	deutschlandfunk 0.0107519431785	heraussuchen 0.0104560789384	beunruhigend 0.010335894037	sexualität 0.00944800150523	geschützter 0.0094214680534	vergewaltigen 0.00936976777173
topic35	bergen 0.0887308966805	heimlich 0.0556383688281	lästig 0.0554207476894	anregen 0.0456635754508	verstorbene 0.0398942964508	humorvoll 0.0371215468116	affäre 0.0361206514298	neugier 0.0351676087269	unruhe 0.0343370833313	lesenswert 0.0311460597557	erliegen 0.0267390167146	behutsam 0.0215521450912	entzünden 0.0212457117316	geblieben 0.0207551367397	stier 0.0183800566275	überlebend 0.0173164643945	nervös 0.0158846393042	annäherung 0.0157931345571	explosiv 0.0150527320075	ekel 0.0142053831516	auffangen 0.0138343898853	verheißen 0.0125617475347	erzählt 0.0124683304041	vorbeugend 0.0124142547252	spagat 0.0121794436542
topic36	begegnung 0.0856010587126	freundschaft 0.0727543946066	chaos 0.062275024419	kommando 0.0385011028536	begleiter 0.0331267349794	einsamkeit 0.0318638245204	begeben 0.0304656455065	phänomenal 0.0273468761196	ehrgeiz 0.0253317772002	warte 0.0243304811927	heiter 0.0234969600224	zeigefinger 0.0220391644397	abschied 0.0198558673113	übergehen 0.0151415610924	verwandlung 0.0147633079758	höflich 0.014094289617	erregung 0.0137099677235	zögern 0.0136136844481	anteilnahme 0.0121271651306	gemüt 0.0120813800754	lockern 0.0119098383401	förmlich 0.0110340159148	zielstrebig 0.0108450699451	verschlagen 0.0108447151565	vollmond 0.0100974070882
topic37	name 0.625439392883	heißen 0.0841279286253	nennen 0.062314378735	golden 0.0621031571369	vorname 0.0159271538567	zwilling 0.0150423345405	handarbeit 0.0116411211249	bart 0.00725521371901	casting 0.00712193573749	farbgebung 0.00700825289975	erklimmen 0.00657002345747	cowboy 0.00618920132336	verlobte 0.00521012785358	bedeuten 0.00510815297598	lauten 0.00467412863775	zopf 0.00448276573364	fräulein 0.00385201574032	buchtip 0.00350739363443	zigeuner 0.00335987763749	röntgenbild 0.00333315663467	stammen 0.00332538206217	binde 0.00322300309467	bekannt 0.00299669616223	tragen 0.00298233114573	apart 0.00291468029401
topic38	küche 0.129473937731	genuss 0.0633806689658	kochen 0.0624535625019	gastronomie 0.0440791775463	kulinarisch 0.042829710687	spezialität 0.0365497149931	verwöhnen 0.0353437226154	gericht 0.032193796135	speise 0.0281488164273	special 0.0274287484126	besondere 0.0238758140133	internetauftritt 0.0229347202383	gast 0.0207970095338	koch 0.0178850692847	köstlich 0.0171298127406	köstlichkeit 0.0160261949044	genießen 0.0151970282162	kreieren 0.0149341969123	betätigen 0.0146394691162	snack 0.0138374562562	kochbuch 0.0130887898313	menü 0.0125133104053	tiroler 0.0119085676155	leckerbissen 0.0113582024421	mediterran 0.00970520814135
topic39	wald 0.217154126775	natur 0.196031296981	natürlich 0.0427601521419	naturschutz 0.0369378879337	lebensraum 0.0348347794098	wild 0.0327739029552	landschaft 0.0327694763564	hektar 0.030489255141	baum 0.0222917235853	weide 0.0211173538747	schutz 0.0187686413718	heimisch 0.016016381589	vielfalt 0.0150580954291	tierart 0.0148499988301	feld 0.0134647866409	wirkungsweise 0.00953461488828	kulturlandschaft 0.00924540863799	revier 0.00890187685404	waldgebiet 0.00665966434883	lebensgrundlage 0.00665767606189	wertvoll 0.00629789654712	umweltschutz 0.00618250017538	indonesisch 0.00603936960087	germane 0.00544932352683	hinterlassenschaft 0.00543251575867
topic40	absetzen 0.107556406174	betätigung 0.0840076859973	umschlag 0.0764273996273	übermäßig 0.0622003952321	shampoo 0.0527137187094	schuppe 0.0479416083911	sims 0.0442436756691	brennholz 0.036112090887	genesung 0.0270496939332	einwöchig 0.0232849459367	sorglos 0.0217926375821	ferkel 0.0206878164199	ballast 0.0199031385364	körpergefühl 0.0175353412763	niedlich 0.017441530796	suchfeld 0.0172292315613	pommer 0.0169568107701	milde 0.0157927528379	blutprobe 0.0154784210639	ritze 0.0147680611997	obdachlose 0.0138021253346	schlecken 0.0133524984642	obdachlosen 0.0130266428619	provokant 0.0125178503446	anfangsjahr 0.0124984835829
