topic0	intern 0.239484975317	sperren 0.0527377663754	klinikum 0.0406459347849	sperre 0.0385961572507	freigeben 0.0337921961521	heidelberger 0.0260115725237	touchscreen 0.0242914141708	memory 0.0240189468173	nokia 0.0237664681216	verlegen 0.0229396612029	kies 0.0205938734228	editorial 0.0180266538965	dicke 0.0177676099026	speicherkarte 0.0167245921903	mitbewerber 0.0159649408145	anfangszeit 0.0143081743988	schreibend 0.0136930558746	eingabefeld 0.0133623884308	lesend 0.0120979203411	privatleute 0.0110862821355	sortiert 0.0103372261536	ambulanz 0.0102915120182	verfuegung 0.00995531732395	überprüft 0.0097918772061	gemeinschaftsprojekt 0.00963115893689
topic11	wild 0.0930298417444	sorte 0.0799254074779	pack 0.03166959216	kristall 0.0309525491593	alien 0.0309340993171	fass 0.0279710833721	aufzug 0.0252016703549	adler 0.0236646956745	gehege 0.0236207175977	des 0.02352366443	herb 0.0221918078795	beere 0.0179225540453	saftig 0.0165496772804	aufmachung 0.0161034169273	tiefgang 0.014481918713	disco 0.0142973334758	trist 0.0133966614601	herausnehmen 0.0130603833553	hundertprozentig 0.0125662955441	anlocken 0.0116508542876	chancenlos 0.0116414168832	nutz 0.0111952295573	proxy 0.0111035974077	apache 0.0110600692244	schwan 0.0110594451492
topic12	wind 0.115335167152	hafen 0.0913326077086	anker 0.0598278793115	schiff 0.0572662820341	segel 0.0475475358546	deck 0.0318456847007	mast 0.024804437478	segeln 0.0209969431747	still 0.0208038366309	exponat 0.0193423357874	auktion 0.0184681540314	yacht 0.0178845319255	segler 0.0166779468238	wehen 0.0128822271201	rahmenprogramm 0.0127306363665	revier 0.0125878921497	kegel 0.00901001489438	werft 0.008371184023	beifahrer 0.0077951860211	schlepper 0.00730708306501	schultag 0.00723388022727	auswahlverfahren 0.00710423290413	seilbahn 0.00705384169408	vokal 0.00703483023324	trierer 0.00699589876157
topic13	patient 0.0838537487621	arzt 0.0827906165587	behandlung 0.0472397129412	medizinisch 0.0376188637623	klinik 0.0298125175929	therapie 0.0292889122177	krankenhaus 0.0283653834632	medizin 0.0200418047729	diagnose 0.0180167345935	versorgung 0.0166371408656	operation 0.0160608329839	erkrankung 0.0107032350014	klinisch 0.0106495944334	tumor 0.00935884506761	praxis 0.00925859581911	ambulant 0.00892970058524	therapeutisch 0.00890972270101	patientin 0.00846566149488	medikament 0.00756585593703	eingriff 0.00748003606248	ärztin 0.0073694734039	krankenkasse 0.00663912314221	gesundheitswesen 0.00622489680309	stationär 0.00578799306994	untersuchung 0.00555452786252
topic14	chaos 0.0222476631963	nachbarin 0.0200382909942	pater 0.0157112314615	beleidigend 0.0137193653228	verschlossen 0.0136897292543	ausgereift 0.0131212266739	chefin 0.0129233243066	minderjährig 0.0123964588098	leeren 0.0114443457982	sekretärin 0.0111446114715	renoviert 0.0109092483474	sagenhaft 0.0108902203886	abmelden 0.0106394264634	drei 0.0106177748018	kippe 0.00964310899634	enkelkind 0.00909844224027	sprichwort 0.00881815855698	frauenarzt 0.00877093639052	schwebend 0.00867535566193	abzeichen 0.00850639114618	zauberei 0.00840942314533	locken 0.00831150736319	überfüllt 0.00830237788467	hacke 0.00822089329216	schmökern 0.00814933342312
topic15	maßnahme 0.0255642369889	neu 0.0248338736203	fordern 0.022300644559	künftig 0.0150819130826	forderung 0.0140059102235	bundesregierung 0.0117443162127	regelung 0.0101922321381	einführung 0.00841340443814	änderung 0.00832446888513	weit 0.0081353742965	bisherig 0.00741761936477	betroffen 0.00740589042749	bund 0.00719757343467	schutz 0.0071873698964	ziel 0.00706596920426	notwendig 0.00673516793361	geplant 0.00660977316618	vorschlag 0.00635078138726	reform 0.00627180886774	verbesserung 0.00612892950564	umsetzung 0.00610593908722	finanziell 0.00609957736614	gemeinsam 0.00598090484628	sehen 0.00565718289275	stellungnahme 0.00554723149104
topic16	pflanze 0.0868040562944	garten 0.0759921568435	baum 0.0671001270407	stern 0.053893969406	blatt 0.052116374584	wachsen 0.033152281665	blüte 0.0315611258254	all 0.029622978896	blume 0.026937072447	frucht 0.0206735880968	wurzel 0.0168268375257	blühen 0.0146606345567	rose 0.0141561838362	jahr 0.0135270066999	boden 0.0133780405607	ernte 0.0115011059088	erde 0.0101619234174	stehen 0.00876970973788	klein 0.00865406458951	groß 0.0084914253558	grün 0.00811929983493	strauch 0.00804719004224	zweig 0.00762803635889	rasen 0.00660568945103	gärtner 0.00653503068347
topic17	website 0.219473832477	computer 0.141803154337	browser 0.117307979453	element 0.081377631669	benutzen 0.0444462339797	aktivieren 0.0291799206164	regelmässig 0.0237010666501	seite 0.0226749990957	hinweis 0.0210053725846	finden 0.0186584700616	weit 0.0185111481961	information 0.018428936619	empfehlen 0.0174464379409	graphisch 0.0171423765062	wichtig 0.0168810238586	aktuell 0.0161921996991	folgend 0.0152571204432	alt 0.0149024494269	installieren 0.014627932292	version 0.0121010111998	sprachkurs 0.0115715101471	funktionalität 0.010520704821	funktion 0.00822487198648	voll 0.00653149356523	examen 0.00643198153102
topic18	machen 0.0326285803082	gehen 0.031700128605	kommen 0.0280007300219	jahr 0.0241563336358	bekommen 0.0238982612029	woche 0.0230743686884	gut 0.0218409506252	geben 0.0197497982237	zeit 0.0187147034305	wissen 0.0138637558495	sagen 0.0137009608741	tag 0.0126756394547	einfach 0.0120786462852	sehen 0.011475818316	denken 0.0113987370927	letzt 0.0112622759872	monat 0.0109783641749	neu 0.0106829211222	nah 0.0103983466155	lassen 0.0102676191343	lang 0.0087096747549	wirklich 0.00813192084366	tun 0.00774698331174	erst 0.00763100104967	ganz 0.00754198385337
topic19	kontakt 0.0692380221711	partner 0.0488818943806	hilfe 0.0433888283995	persönlich 0.0361592812724	gespräch 0.0349135837336	helfen 0.0219787982133	gemeinsam 0.0183821992792	nehmen 0.0161997897097	partnerschaft 0.0135263918626	unterstützung 0.0128799792539	suchen 0.0121299160303	beratung 0.0120300676396	treffen 0.0114508457944	unterstützen 0.0109335124588	möglichkeit 0.0106947998531	mitarbeiter 0.0104745133898	situation 0.0101575787301	möglich 0.00972386928162	besuch 0.00955952134463	interesse 0.00898844387305	offen 0.00851298209773	beziehung 0.00841634320087	zeit 0.0080966886602	erfahrung 0.00772601388667	wunsch 0.00766647408154
topic20	stufe 0.21131513316	news 0.181196763988	stab 0.0550954145966	flügel 0.0409570310874	messer 0.0398258785169	unterbrechung 0.0320220950994	crash 0.029673406	überarbeitet 0.0229556587223	tochtergesellschaft 0.0213822548936	beobachter 0.0177804726754	klinge 0.0148261263353	stufen 0.0148047973596	vermächtnis 0.0126559976412	verjährung 0.011854396012	insasse 0.0117353071342	telefongespräch 0.0115802738033	adept 0.0103800037355	regierungsrat 0.0093150746635	ankommend 0.00855393405789	fechten 0.00849142872823	festsetzen 0.00803165235667	verhütung 0.00761494002313	einprägen 0.0067924435254	verjährungsfrist 0.00672845822314	fehlerfrei 0.00667026029607
topic21	see 0.12700851289	fluss 0.0528014382036	gewässer 0.0397084562938	zone 0.0319758151858	ufer 0.0297225820782	etappe 0.0238209995569	piste 0.0208761526934	naturschutzgebiet 0.0175594593687	ski 0.0163602761008	hochwasser 0.0155441801137	eisbär 0.0149934247005	flora 0.014867447384	meile 0.0147960247667	lake 0.0145463587878	bach 0.0139957416107	buche 0.0124983015091	skigebiet 0.0121428280795	tierart 0.0117711669494	moor 0.0115914955695	flut 0.0110966039202	fauna 0.0110440169531	betreut 0.0110146404731	jugendherberge 0.0106492733391	düne 0.0101849491041	flagge 0.00884660998891
topic22	groß 0.0428684543653	liegen 0.036376651278	meter 0.0253529425741	gebiet 0.0227098821339	norden 0.0194362613937	teil 0.0188377244809	weit 0.0178378567129	süden 0.0176859007504	hoch 0.0152745843639	südlich 0.0142951475412	befinden 0.0137005608705	osten 0.0129658002839	nördlich 0.0125727124652	weste 0.0124250426234	kilometer 0.011587809685	geben 0.010026866448	klein 0.00957045955805	lang 0.00946991799832	jahr 0.00890231587525	west 0.00876912315751	region 0.00804779478417	stark 0.00788619631353	grenze 0.00778912135618	östlich 0.00763563231846	westlich 0.00729828233348
topic23	buch 0.165456197573	geschichte 0.0531775511789	autor 0.048765249734	lesen 0.0382624830271	roman 0.0293835093246	leser 0.0255540845585	kapitel 0.0186771801091	seite 0.0147934394702	schreiben 0.0131113063136	autorin 0.0119875491288	text 0.0118613838942	titel 0.00969785422128	finden 0.00962499637388	lese 0.008558711321	thema 0.00835310360355	erzählen 0.00779209351774	neu 0.00778928375039	erscheinen 0.00671931972293	erst 0.0066176448333	band 0.0064264271154	teil 0.00610791057523	beschreiben 0.00598785201244	verlag 0.00565065216464	lektüre 0.00519829658721	rezension 0.00514253175715
topic24	dokument 0.145013655678	benutzer 0.110649512869	user 0.0609404722395	sichtbar 0.0588384441627	registriert 0.0570875617688	signatur 0.0297465132244	zugriff 0.0217100364898	abkürzung 0.0174628711434	markiert 0.0164533207285	ausgewählt 0.0158833611872	versenden 0.0157436875702	rettungsdienst 0.0137129186631	verbraucherzentrale 0.0136972216737	admin 0.0132613551229	tester 0.0117872846555	löschen 0.0110953472883	administrator 0.0100614229456	warentest 0.00941146575289	sicherheitslücke 0.00812788119018	markierung 0.00801606468452	beachten 0.00781585601885	moos 0.00770165876977	quellcode 0.00762358077528	softwareentwicklung 0.00761588341633	forstweg 0.00748623662661
topic25	forum 0.202050737613	beitrag 0.199460875366	thema 0.144925530323	thread 0.0224300152074	user 0.0201265144272	neu 0.0182861355826	diskutieren 0.0117123574744	mitglied 0.0115171914988	bereich 0.0113207247412	löschen 0.0110822752124	diskussion 0.0108173002831	schreiben 0.0100811449207	lesen 0.00949672246127	antworten 0.00858219729852	geben 0.00775660883952	posten 0.00727967583143	stammtisch 0.00693476916007	aktiv 0.00681350874855	mod 0.00632184929635	meinung 0.00592397406903	umfrage 0.00560154354302	allgemein 0.00557099399387	erstellen 0.00554351131052	posting 0.00543498494834	recht 0.0053056802818
topic26	einsatz 0.129188269895	dienst 0.0775069065756	feuerwehr 0.0748800346346	freiwillig 0.0418289218926	hessisch 0.0360614180932	leiter 0.0264790702478	feuer 0.0257981823165	brand 0.0228978119367	kamerad 0.0218364436379	abteilung 0.0211032661092	wehr 0.0179067395302	personal 0.0139967051233	brennen 0.0132976882624	technisch 0.0116715482654	alarm 0.00880362107343	aufgabe 0.008145984127	kraft 0.00759489399307	hilfe 0.00723739558695	sicherstellung 0.00721502082736	eintreffen 0.0070678699864	jahreshauptversammlung 0.00685127310251	fahrzeug 0.00669364528761	marin 0.00654473015962	praktiker 0.00652550557359	beschaffung 0.00635568799885
topic27	lernen 0.117045756445	kurs 0.0713574866552	seminar 0.0596286175777	kennen 0.0398246458297	praktisch 0.019074514551	technik 0.0176847712849	erlernen 0.0157704458224	erfahren 0.0151787529856	verschieden 0.0150547710644	thema 0.0138306807649	anfänger 0.0133204359261	möglichkeit 0.0131045634038	kenntnis 0.0124851962514	wissen 0.0117436349894	bieten 0.0116531378805	anleitung 0.011564623505	zertifikat 0.0110260110821	umgang 0.010991545415	finden 0.0108715715241	eigen 0.0104422356637	vermitteln 0.00973112936018	erfahrung 0.00921882522432	dozent 0.00884724643118	teilnehmer 0.00854040668183	grundlage 0.00810589169858
topic28	männlich 0.0836447840697	experiment 0.0728328167859	weiblich 0.0637200404893	physikalisch 0.0525198558465	physik 0.0499414072591	beobachtung 0.0384586156464	session 0.0356658780568	materie 0.0268300441862	forscher 0.0246166836526	physiker 0.0230092530634	entdeckung 0.0228213382859	universum 0.0214336624486	general 0.0194566109137	verteilt 0.0153623231904	phänomen 0.0152487815559	bruch 0.0148988338312	beobachten 0.0142594608905	fahne 0.0116688578911	aufspüren 0.0116467399992	ferse 0.0109651312979	proton 0.0103216392028	bewegungsablauf 0.0102948246805	kopplung 0.00962715744964	entdecker 0.0092147638467	ruhend 0.00893231535282
topic29	haut 0.140441762409	körper 0.0567090309083	gesicht 0.0438178028768	set 0.0286010471386	maske 0.0239083746654	sanft 0.0211874827605	therapeut 0.0192159871814	trocken 0.0159151661737	kosmetik 0.0148818852876	wohlbefinden 0.0136883688187	pickel 0.0133699950734	narbe 0.0132475564185	säugling 0.0127467731458	natürlich 0.0126291788691	verführerisch 0.0104824428053	empfindlich 0.0100219677075	gefühl 0.00924469599013	auge 0.00919611811256	pokémon 0.00903775077337	angenehm 0.00900426483981	fühlen 0.00834797773326	zwilling 0.00816340675089	kinderarzt 0.00762266070982	lippe 0.00736684999788	neugeborene 0.00733486191154
topic30	gerät 0.094474328176	kabel 0.0313626842964	akku 0.0257765458588	anschluss 0.0184744998913	spannung 0.0149087512571	antenne 0.0147641379608	watt 0.0143671161215	led 0.0139535354944	gehäuse 0.0113935880158	lautsprecher 0.0104413412642	funktionieren 0.00914458267513	stecker 0.00850877031553	strom 0.00842595975417	magnet 0.00826715657446	direkt 0.00811100313332	anschließen 0.00807694572764	ausgang 0.00803214913535	firmware 0.00746373351737	taste 0.00740893509204	frequenz 0.00707554301067	netzteil 0.00693783803558	volt 0.00669505832467	empfänger 0.00667824597836	signal 0.0061892780358	schalten 0.00615619242639
topic31	reif 0.0752272030623	schwäbisch 0.0561945197151	traube 0.0347887908633	vermittler 0.0276628281056	rotwein 0.0236978139991	ananas 0.0229060036056	renovieren 0.0219118545832	reife 0.0210124103974	dreifach 0.0208944609786	anmeldeformular 0.0205627472966	gaumen 0.0198861058743	photovoltaikanlage 0.019777268989	frucht 0.0195713926704	fruchtig 0.0191814673944	vereinsheim 0.0187572716089	anstellung 0.0174667990381	input 0.0172289806589	motivierend 0.0171800233336	astronomie 0.0148581006271	astronomisch 0.0147211812155	genannter 0.0123678282922	größte 0.0121188052481	gravitation 0.0117240659686	rebsorte 0.0112699434944	eskalieren 0.0112373952408
topic32	flasche 0.109588264025	versuch 0.104509614636	labor 0.0665846065353	untergrund 0.0376490549294	look 0.036189731569	malen 0.032601723085	surfen 0.0276428981044	gepflegt 0.0265204948027	variieren 0.0253745015918	hygiene 0.0248117056065	golfplatz 0.0235751901392	verschluss 0.0225338822541	aufbewahren 0.0222171206094	surfer 0.0220713307364	familienangehörige 0.022047432984	esel 0.0191984877754	biker 0.0186905567083	kompression 0.0171437593061	scheck 0.0163386046206	tierwelt 0.0157630279751	getreu 0.0130884925151	kletterer 0.0117101823005	aufhängen 0.0107704517232	untersuchungsergebnis 0.0104504215803	lehrerinnen 0.00994373096772
topic33	gewalt 0.211935790756	pokal 0.0447335851397	zombie 0.0238708451657	brutal 0.0201255274295	häuslich 0.019870316237	friedlich 0.0194958219271	vergewaltigung 0.0191988844608	aggressiv 0.0167853584826	kundgebung 0.0166799332173	eifersucht 0.0158804908257	gewalttätig 0.015001440413	opfer 0.0149231671828	gedankengut 0.0138890158092	lord 0.013252864931	übergriff 0.0104361910561	gewaltfrei 0.0104288381227	importiert 0.0103014735241	spiegelbild 0.00968397912597	wiederbelebung 0.00947173095502	kollegium 0.0088034631862	vorstandschaft 0.00865155992524	geweiht 0.00864915653541	ungehorsam 0.00843025282111	hadern 0.00783366094305	liebende 0.00778767856538
topic34	serie 0.144360576642	folge 0.130029278182	radio 0.0751463228167	staffel 0.062975821905	fernsehen 0.055684822631	neu 0.029733095466	episode 0.0278630175029	sendung 0.023214725495	sprecher 0.0188488840131	rundfunk 0.0143777484154	sender 0.0129920609565	hörspiel 0.0126435373615	hörer 0.0109875406576	laufen 0.0102311803393	folgen 0.00951022472178	ende 0.00905982635562	programm 0.00905977712864	losen 0.0085505617068	spielfilm 0.00839937387299	erst 0.00827477118724	geben 0.00808773555212	ausstrahlung 0.00720462931941	zuschauer 0.00681510192518	hören 0.00676353384904	season 0.0067626016121
topic35	mensch 0.321700730049	leben 0.141731493994	welt 0.0170779089459	geben 0.0168017209378	gesellschaft 0.0154249113153	freiheit 0.0116672707654	machen 0.011451120342	sozial 0.00973949790667	brauchen 0.00938778485819	eigen 0.00926287830297	menschlich 0.00894181400108	frei 0.00784706842722	tun 0.00643374912115	geld 0.00640583883037	arm 0.00607658433466	alltag 0.00584333246458	gehen 0.0054150687144	generation 0.00526120829607	arbeiten 0.00500972110307	armut 0.00497754031523	wert 0.00450486377378	schaffen 0.00429047414352	gut 0.00402072287441	bedeuten 0.00393597519719	reich 0.00379862289699
topic36	tier 0.131485425131	vogel 0.0283524959553	art 0.0280631726174	natur 0.0229149684357	groß 0.0194037985103	schwein 0.0137050182303	leben 0.0125907193318	jäger 0.0116860968826	jahr 0.0102343684265	lebensraum 0.0094723002822	haltung 0.00849176130793	insekt 0.0084059135766	finden 0.0081854608632	jagd 0.00799957746685	lebend 0.00795671011512	geben 0.00789299574275	nest 0.00787441292968	schaf 0.00773715427606	klein 0.00752893688972	wal 0.00698451368919	same 0.00681030672485	halten 0.00666914246948	selten 0.00604900665301	tierschutz 0.00603430234641	wolf 0.00595689839818
topic37	code 0.17910688944	download 0.155785435556	bearbeiten 0.102041668283	smiley 0.0516565150207	schwarzwald 0.0356282561721	script 0.0339844987329	setting 0.024710374475	kinofilm 0.0245993748187	badisch 0.0195914199056	freeware 0.0187690181813	aus 0.018147495459	einbinden 0.0180059782463	drive 0.0178761039435	rar 0.0157383612392	elan 0.0141494146755	esprit 0.0131265033069	freischalten 0.0125427173689	animiert 0.0124505806836	type 0.0119438135677	gekürzt 0.0118789365365	abonnieren 0.0101940159376	order 0.00957872517315	error 0.00901882863725	testphase 0.00868295370974	langanhaltend 0.00812225252336
topic38	modell 0.0713435671895	verfahren 0.0320263427349	eigenschaft 0.026495498739	methode 0.0235194480415	anwendung 0.0228154992978	struktur 0.0208634481544	verschieden 0.0134698329365	effekt 0.0131106544007	dynamisch 0.0116146640262	analyse 0.0106110491617	hilfe 0.00978934678832	abbildung 0.00963163978167	einsatz 0.00884554931757	ansatz 0.00884287303839	mathematisch 0.00868398733847	mechanisch 0.0082056639306	statisch 0.00777228875717	komplex 0.0074021205435	simulation 0.00733803767823	verwendung 0.00733679435801	abweichung 0.00688832264889	erzeugen 0.00681372022235	unterschiedlich 0.00677065570534	parameter 0.00651487910374	kern 0.00642043268699
topic39	herstellung 0.0240449678342	organismus 0.023198827755	sauerstoff 0.0215735447991	zubereitung 0.0207513759118	gefäß 0.0198046704922	zusatz 0.0183507483182	rezept 0.017935782787	beutel 0.0167947547112	suppe 0.0163246436697	verschließen 0.015672264336	korn 0.0150015937365	protein 0.0144912750957	allergiker 0.0142643434023	haltbar 0.0139178522659	sauer 0.0135518181274	entstehen 0.0132681681919	hergestellt 0.0129220496457	säure 0.0114193573417	herstellen 0.0108958424811	saft 0.0108553480384	weizen 0.0100442679746	wirkungsweise 0.00999703409682	grill 0.00995096642353	schonend 0.00991915504712	erbrechen 0.00980906079404
topic40	verlag 0.0727532077118	literatur 0.0645275409172	österreichisch 0.0398227848098	wiener 0.0281199246552	lesung 0.0260689915464	schriftsteller 0.0227633573749	edition 0.021956929797	literarisch 0.0215476831049	dichter 0.0180675628672	erscheinen 0.0160796599824	deutschsprachig 0.0158036089688	comic 0.0156524083734	jahr 0.0134324450164	leben 0.011705917078	frankfurter 0.0112243452892	autor 0.0111095937712	geboren 0.0107231513161	manuskript 0.0104445710205	arbeiten 0.0099267511006	verleger 0.00951760742236	veröffentlichung 0.00916430362811	germanistik 0.00896278815993	österreichische 0.00858078264301	zeitschrift 0.00834397830886	potsdamer 0.00822269170876
topic41	länge 0.0857465461532	größe 0.0796139228791	höhe 0.0680752341029	breit 0.0531629060236	breite 0.0418618011555	masse 0.040653271988	maß 0.0369000492936	abstand 0.0314468673265	durchmesser 0.0239678358119	linear 0.0181671017586	winkel 0.018141169736	tiefe 0.0180353878031	achse 0.0157653830611	volumen 0.0154690403815	gewicht 0.0150735284542	rohr 0.0136134784137	senkrecht 0.013149051361	horizontal 0.012395998231	rand 0.0123022524548	mitte 0.0110242090491	betragen 0.010817611588	maßstab 0.00955908080031	atlas 0.00888800113374	querschnitt 0.00858006642371	durchgehend 0.00851145740285
