topic0	bett 0.100058856879	schlafen 0.0923069672002	ruhe 0.0602465872641	nacht 0.0372001159224	schlaf 0.03333987657	müde 0.0310142498956	gehen 0.0278442308282	tag 0.0264900110146	wach 0.0234875767985	liegen 0.0218075256723	zeit 0.0203830926352	aufstehen 0.0184930443816	anstrengend 0.0160589608582	ruhig 0.0132679003693	couch 0.0130350542358	stunde 0.0127428562927	machen 0.0127281454125	gut 0.0126800156207	morgen 0.0118020413706	alptraum 0.0117054067959	abend 0.0115950985782	früh 0.0113036832205	einschlafen 0.0111259196861	legen 0.0110835397802	aufwachen 0.0101826988442
topic11	bewirken 0.153107530902	vertragen 0.12597169722	anzeichen 0.0907365888914	durchfall 0.0783770721793	fieber 0.0754893885479	erbrechen 0.0355815748809	wehe 0.0351888322263	nervös 0.0349497952982	schwitze 0.033670750054	vereinzelt 0.0322517251266	nervosität 0.0320110746042	begünstigen 0.0297577656829	zink 0.0266861792693	multiplikator 0.0250924715226	beschleunigt 0.0239372817893	spray 0.0216152363852	übelkeit 0.0206149584845	bauchschmerz 0.0205676087253	wochenstunde 0.0137122314036	überschätzen 0.0103715905859	antibiotikum 0.00802913645051	geruchssinn 0.00744309785226	absorption 0.00743379356871	teamchef 0.00715633800213	veranschlagen 0.00686475502577
topic12	kopf 0.214530497137	fuß 0.159380041908	bein 0.143759935269	brust 0.0540374583919	bauch 0.051898015524	hals 0.0372422074474	anziehen 0.0277782340698	boden 0.0200005543765	zeihen 0.0149724191476	wirbel 0.0145487610437	nacken 0.0116830492787	heben 0.0109354801911	leicht 0.0106074557605	oberkörper 0.00983854649357	zeh 0.00925514026795	legen 0.00923086614007	anpacken 0.00905335933737	verrückte 0.00874898299758	lang 0.00865093549703	pose 0.00851065640571	halten 0.0069932152109	arm 0.00662888701681	rücken 0.00638624566047	eng 0.00495290489133	zeigen 0.00477506241061
topic13	schalk 0.126380895968	auszeichnen 0.066208404165	sportplatz 0.065113184918	kicker 0.0642417357435	fußballer 0.053328088523	zentrale 0.040803583574	talentiert 0.0404962508512	verlierer 0.0351696788426	testspiel 0.0337109846212	fußballspiel 0.0317491220859	quali 0.0233260464067	heimsieg 0.0229052131815	freundschaftsspiel 0.0203160632232	karriere 0.0191401730287	wehrpflicht 0.0187624643359	gestanden 0.0187600555662	weltklasse 0.0179331850785	kloppen 0.0171185566325	funktionär 0.0159477325947	vormachen 0.0152640879714	versager 0.0130217098224	kommerz 0.0119072721339	passspiel 0.0115778691686	herumkommen 0.0103335922036	gehöft 0.00947130579292
topic14	anbau 0.201425037726	neustadt 0.109771930236	blockieren 0.0950318201252	explodieren 0.0770969644449	steinig 0.0421029949949	mineralisch 0.0365456453592	hilfeleistung 0.0337658983296	weiße 0.0330142680316	gemarkung 0.0298788732881	vergiften 0.0272459200341	springend 0.0232856567632	aufprall 0.0225365526787	demütigung 0.0216269240985	barren 0.0207087279629	zweigeteilt 0.0199902430542	pfirsich 0.0168612034716	anbaugebiet 0.0167229757889	beheimatet 0.0163167096077	pferdchen 0.0158123594587	melder 0.0131696750293	fruchtaroma 0.0104819908002	steuermittel 0.0101305980922	tauwetter 0.00935918711693	freundinnen 0.0088334068679	vertilgen 0.00843885222982
topic15	million 0.259954481366	jahr 0.0626582487803	milliarde 0.0524678972043	milliarden 0.0286630361743	umsatz 0.0268221383635	vorjahr 0.0236493940035	quartal 0.0218304325429	jährlich 0.0195246433775	groß 0.0183730828247	weit 0.0156562952847	erst 0.0151020323523	ende 0.0109612783946	vergangen 0.0104517040049	zuwachs 0.0102066959414	anstieg 0.0101431291788	steigen 0.0099908832703	verzeichnen 0.00899970417488	neu 0.00886856289469	betragen 0.00813111985374	knapp 0.00703265187937	belaufen 0.00688794876347	höhe 0.00685075840765	liegen 0.00681987332198	geschäftsjahr 0.00662544373118	gut 0.00631923091097
topic16	stiftung 0.229800371174	zweck 0.190820137261	spende 0.190506841081	eröffnung 0.0957707637719	spenden 0.080412717732	stift 0.0542183506837	symbolisch 0.0305011559758	schenkung 0.0198729552716	projektpartner 0.0143970766085	kulturraum 0.00768864939889	ermöglichen 0.00711141059205	kulturhauptstadt 0.00651783160103	leidvoll 0.0059084939812	bundesmittel 0.00477543848573	stadtraum 0.00466728038502	steuerlich 0.00465418116811	aufpolieren 0.00460042898341	einsetzen 0.00413331909045	verwendung 0.00339293067769	fließen 0.00328257580129	erforschen 0.00299545448724	anfahrtsbeschreibung 0.00299379227368	büfett 0.00294772735212	anlass 0.00272910968999	experimentierfeld 0.00250321874613
topic17	mutter 0.72159190417	meile 0.0376469566749	bann 0.0345934392246	schwarze 0.0332171654224	frame 0.0312812309887	charmant 0.0220833061905	unschlagbar 0.0203544750894	schlitten 0.0174546471569	verknüpfen 0.0130422195605	fesselnd 0.0106217855636	reingehen 0.00961634843623	beglückwünschen 0.00835913684339	bitrate 0.00628072541353	eidechse 0.00514701140207	gestaltungsspielraum 0.00462914912681	demographie 0.00393062019026	datenrat 0.00386113589769	zuhörerin 0.00371424347047	erspüren 0.00290077746967	aral 0.00268358722799	ereicht 0.00226386682757	taschenkalender 0.00106719254945	durchdrungen 0.000873270421909	arbeitsprojekt 0.000483195462185	ziehen 0.000372745238137
topic18	bewertung 0.298497341059	bewerten 0.193859689789	impressum 0.107775656308	bundeswehr 0.0775784488699	schatz 0.0729922478892	tauschen 0.0519231978894	abzug 0.0450801197838	reformation 0.0264947901374	pokémon 0.023276854126	kabeln 0.0173063658413	innenleben 0.0133700681098	freien 0.00985306077729	desinteresse 0.00976561006459	zwiespältig 0.00975087796664	auslandseinsatz 0.00953591432115	verschlechtert 0.00700627610258	sicherheitslage 0.0052822855801	kirchenjahr 0.0051578317514	militäreinsatz 0.00377210014111	adventssonntag 0.00373576368121	lippisch 0.00294555261042	bundeswehrangehörige 0.00132353737123	blattgrün 0.000760455060905	schnittkäse 0.000426076874484	themenjahr 0.000355425017228
topic19	gerät 0.500700432211	smartphone 0.0790229286591	wlan 0.0333263867257	hersteller 0.0309820443018	technisch 0.0236913175664	bluetooth 0.0229402729415	headset 0.0170615739906	nokia 0.0158027968323	display 0.0154451253672	device 0.0154043363719	speicherkarte 0.0111205089728	verfügen 0.00974477391455	touchscreen 0.0091529384313	industrial 0.00889155128383	besitzen 0.00795905639855	erhältlich 0.00727455601657	akkulaufzeit 0.0069316917745	umweltschützer 0.0067581188685	mobiltelefon 0.00605832090621	nutzen 0.00533416891335	zubehör 0.00491025046938	touch 0.00427487793164	kommen 0.00423701253727	gleichzeitig 0.00403411334529	handeln 0.00398720985287
topic20	republik 0.163616283251	anfänglich 0.0763542151249	konstellation 0.042270536856	weimarer 0.0417437317065	aktivist 0.0352484920107	dominieren 0.0336825577408	neunziger 0.0288988919572	weiten 0.0288414618772	hilfsorganisation 0.0248625493512	maschinell 0.0229300046508	bestrebung 0.0228528588824	stabilisieren 0.0224908618138	aufstand 0.0218762541708	hunderttausend 0.0196616857097	schikane 0.019105782686	fälschung 0.0182846914945	folgezeit 0.0177665144036	intellektuelle 0.0175590952882	sekretär 0.016818843707	überführen 0.0165950722245	generalsekretär 0.0158912912672	landesteil 0.0151388335357	lesart 0.013825655918	steuersenkung 0.0135797581141	rekrutieren 0.0129098732523
topic21	zweier 0.158364729409	arbeitszeit 0.132270767883	geschafft 0.131619352786	frühling 0.114948340925	qualifizieren 0.0772689805976	belegt 0.0500131269467	zuweisen 0.042791438584	erringen 0.035396818083	eigenständigkeit 0.0329018244627	herangehensweise 0.0288433036697	vermeidbar 0.0261460782332	kolleginnen 0.023806670095	gewölbe 0.0226994268099	starter 0.0222915650335	vorbehalten 0.0198186730657	zwischenrunde 0.0147223558126	synthesizer 0.0143485361641	bandgeschichte 0.00857085973975	zusammenprall 0.00608967811593	teleologisch 0.00463485298411	fünfzigjährig 0.00428673856059	silberscheibe 0.00406628668737	hoffnungslauf 0.0040258691805	schiedsrichterentscheidung 0.00349233099298	holländerin 0.00317722943672
topic22	krieg 0.181665573465	weltkrieg 0.0859336152078	bundesrepublik 0.0412789665515	zweit 0.0401768003924	geschichte 0.0330056080517	deutsch 0.0321019204925	jahr 0.02771582567	historisch 0.0253083240861	erst 0.0201880449726	nationalsozialismus 0.0176331325019	geschichtlich 0.0157105281973	politisch 0.0149828142444	ende 0.0142283709201	historiker 0.0131864843337	ostdeutsch 0.0123872758809	westdeutsch 0.0115172679025	nationalsozialistisch 0.0113955719513	frieden 0.0109787817136	wiedervereinigung 0.0109365525778	zeit 0.0101094383157	reich 0.0100545502252	dritt 0.00918265255737	sechziger 0.0089531133422	kalt 0.00893618505659	wiederaufbau 0.00771179897959
topic23	glück 0.333345266099	seminar 0.323498167774	glücklich 0.175943876241	schmetterling 0.0431785231028	kathedrale 0.0345104266006	pärchen 0.0233044869568	mühelos 0.0183963637391	ansteckend 0.0164820146907	gelege 0.00817492598167	liebespaar 0.00595012849857	leibhaftig 0.00446308907105	orientierungslos 0.00400415047213	brechend 0.00360176277748	entmutigung 0.0013473047397	programmübersicht 0.000866272019689	praktisch 0.000471912575039	zwergbuntbarschforum 0.000417465990685	spitz 0.000244819419388	umstand 0.000205729745419	erfahren 0.000174576006504	unwahrheit 0.000128426054203	vermitteln 0.000109112027108	nest 3.99305429863e-05	finden 3.06561794738e-05	erkennen 2.94776345478e-05
topic24	zug 0.650764270765	rektor 0.0401914679144	vorführen 0.0276783084027	stiften 0.0254330581785	turnhalle 0.0239143698932	brettspiel 0.0167363767587	unterrichtsmaterial 0.0152636979125	bilingual 0.0146436344634	landesgartenschau 0.0109595486318	tuba 0.0105087859247	linzer 0.0103760515022	anwählen 0.0103099680603	schlüsselanhänger 0.00818295880606	topmodel 0.00783113033616	mikrokosmos 0.00747486453842	brezel 0.00731122949219	okular 0.00698784971341	filmprojekt 0.00658202042341	beschwichtigen 0.00643165145533	grundschüler 0.00535396185913	enklave 0.00516348249029	präsens 0.00491947702486	herbstmarkt 0.00469753284154	dreigliedrig 0.00460012914025	generationenübergreifend 0.00433009112948
topic25	züchter 0.20716277917	zucht 0.0971517814952	beidseitig 0.0527098207626	innenministerium 0.0496499811073	rechtsextremismen 0.048629367019	rechtsextrem 0.0462743429006	hundertprozentig 0.0448523063463	eule 0.0400270811571	aufrecht 0.0345180740917	entstammen 0.0300751228684	datenverarbeitung 0.0277291905544	gefangen 0.025276072912	fortbestand 0.023221799217	mühselig 0.0229756599937	aufzucht 0.0210957153216	hexer 0.0200976056362	gigant 0.0192332350524	karawane 0.0172228846094	entsetzen 0.0162051420667	papierform 0.0161014207294	völkerverständigung 0.0131780895792	zücken 0.0131222958278	greifvogel 0.0124524455268	innerei 0.0121661421065	ziehend 0.010271386165
topic26	gehen 0.0409603717504	tag 0.0345144806174	gut 0.0189496572047	kommen 0.0181904935834	abend 0.0176667866935	geben 0.0169585411577	machen 0.0160569990379	nah 0.0159421964513	klein 0.0150219925319	stunde 0.0142823729838	kurz 0.0132972574648	fahren 0.0132056393606	schön 0.011752822386	erst 0.0116014752638	letzt 0.0110659216669	uhr 0.010640989248	zeit 0.0101748561865	morgen 0.00985022680365	essen 0.00958628834768	frühstück 0.00916801769763	spät 0.00878641987461	haus 0.00860726391996	früh 0.00789840604735	stehen 0.00775339319136	nacht 0.00772668447629
topic27	ruf 0.272410867265	kennzeichnen 0.0691946770708	unterstützend 0.0630181805263	gegenzug 0.0454046796651	maulkorb 0.0339978420424	druckerei 0.0336609396192	volkslied 0.0328581483912	werbemittel 0.0325142726799	minderwertig 0.0288913173277	salzburger 0.0278868033193	seide 0.026070813519	rechtmäßig 0.0254369570923	begünstigt 0.0220282968754	umweltminister 0.021658993782	zurückhalten 0.0192308831779	garn 0.0178596447067	prunkvoll 0.0152926530726	unterstellen 0.014692324447	liedtext 0.0139780308222	ändernd 0.0138617474392	druck 0.013733092769	halskette 0.0129898707632	stickerei 0.0121530600614	tangieren 0.0106073019234	leibwächter 0.00835053407369
topic28	verlängern 0.255434221418	zurückkommen 0.141696673833	gewissheit 0.117421697996	beruhigend 0.103633492705	überforderung 0.0483792842291	würdigung 0.0482327482775	friede 0.0405436094975	monolog 0.03795923532	zumutung 0.0363982865991	einschüchtern 0.0232199345315	serviette 0.0216093140189	ich 0.0198504926834	getier 0.0175886715079	ruckartig 0.0163194199927	wettbewerbswidrig 0.0154978795304	referenzwert 0.0122580914684	gepuffert 0.00802743374928	überbringer 0.00691914655418	kaffeekränzchen 0.00676339785181	zehnfache 0.00587406323317	ausgeblieben 0.00503153237663	rechenmodell 0.0042344566358	herstellerin 0.0017464324681	erdenrund 0.00143562519546	entscheidungsreif 0.000818677823313
topic29	gleichmäßig 0.274959378016	hamster 0.100044712768	gesprochen 0.0949542938508	hinterhof 0.0547437347482	abgebrochen 0.0386868037769	rotierend 0.0374875439817	debattieren 0.0344244367446	bügeln 0.0338058633445	bekehren 0.0336941678597	aufheizen 0.0259053287227	manövrieren 0.024301627478	sehvermögen 0.0200739624253	wäscherei 0.0199546211019	schwarzmarkt 0.0186451152813	stierkampf 0.0166352436121	ergötzen 0.0148226099521	zuhaben 0.0136785140516	trimm 0.0124048720683	raumfahrer 0.0118092078743	herstellerfirma 0.0117942228123	farbwechsel 0.00987944835372	bergspitze 0.00870487214365	diesig 0.00862955897255	lichtschein 0.00767280113333	vorbestimmt 0.00763913869018
topic30	empfehlung 0.307218331228	wissenswerte 0.0621936851973	stattfindend 0.0415962345637	embryo 0.0375037218728	bedenklich 0.0355973210449	ausflugsziel 0.0329311993323	schwangre 0.0323863347396	asthma 0.0294585183547	ortskern 0.0282049477478	bürgerhaus 0.0274893082609	beet 0.026787651183	unbedenklich 0.0244796196376	karotte 0.0222467335892	schwangerschaftsabbruch 0.0200211613327	lot 0.018778761327	lebenshilfe 0.017857352673	nahrungsergänzung 0.0176652348559	ungeboren 0.0137229418494	kranich 0.0133026526424	seenplatte 0.0121193668678	sozialpädagoge 0.0116892306311	mecklenburgische 0.00954251473173	fehlgeburt 0.0086576875157	dorfkirche 0.00854184291236	ankern 0.00781649717506
topic31	bescheid 0.235690479482	widerspruch 0.177017561788	interpretieren 0.0881164116097	zeitnah 0.0710437433255	hype 0.0445889352323	sozialgericht 0.0362598645005	weigern 0.0355709501513	teilweise 0.0306346253245	brennpunkt 0.0289393244058	genommen 0.026352719743	abgegeben 0.0252392035077	sozialamt 0.0248191433407	gelesen 0.0207231876688	einlegen 0.0179989784875	braunschweiger 0.0129135512867	ratio 0.0127354504247	berührungsangst 0.0114472613178	unmotiviert 0.00963579885057	bereuen 0.00906978440645	altersunterschied 0.00874173397022	unüberlegt 0.00788950676433	pressestimme 0.00773461211933	lebensmittelpunkt 0.0075412172752	jahresverlauf 0.00713598048806	messmethode 0.00635651136819
topic32	kunst 0.297170494136	künstler 0.16192722699	erwerben 0.151249959359	patent 0.092208031079	eingetragen 0.061501547052	register 0.0546550962885	abstrakt 0.0490939761346	vita 0.0219419391587	unikat 0.0166411591869	vermächtnis 0.0127573877956	mehrfach 0.0113351496611	wortmarke 0.0108756172031	markenamt 0.010024336846	direkt 0.00865483609991	verfügen 0.00830033293644	zahlreich 0.00795491452706	aktenzeichen 0.00468626085682	wohnungswirtschaft 0.00419317386377	produktseite 0.00358582027776	feldforschung 0.00265925608613	voreingenommenheit 0.00186714472857	drachenreiter 0.00152636594726	bauplaner 0.00123178712221	wirkung 0.000959384986933	familiengeschichtlich 0.000741443002978
topic33	frau 0.60536336051	mann 0.288895054957	alter 0.00592508328197	leben 0.00565209362936	gleich 0.00377845332394	attraktiv 0.0032983439353	hormonell 0.00322982858095	jahr 0.00322676740163	weiblich 0.00303063984664	geben 0.00300887532247	osteoporose 0.00270364248523	geschlecht 0.00268799396184	wechseljahr 0.00239676754571	zeigen 0.00212487022415	geschlechtsspezifisch 0.00190792586338	nehmen 0.00174011482375	grund 0.00159477554922	sprechen 0.00156208886298	kommen 0.00148052216024	verstimmung 0.00144594120171	finden 0.0014102949192	lang 0.00130230140029	mammographie 0.00127812649525	schriftführerin 0.0012579670403	gynäkologisch 0.00125776445338
topic34	morgen 0.208325378826	gestalt 0.0941542160003	dringen 0.061268333795	währen 0.0436926851618	allmählich 0.0401232936626	abgrund 0.0400484568088	gesellig 0.0347028410162	verrichten 0.0331231163587	ungeheuer 0.0310365105415	göttin 0.029145186543	schwören 0.0289700029656	unheimlich 0.024265531952	untergehen 0.0241346799866	glühend 0.0238215393716	furcht 0.0201836193667	busfahrer 0.0190467383488	schmackhaft 0.0183956003321	einlaufen 0.0132982155572	tasten 0.0117057535646	greis 0.010609931262	ausrüsten 0.0102797582203	antlitz 0.00928975628899	poliert 0.00891900823512	wollend 0.00840513200191	erbarmen 0.0081701852184
topic35	herausragend 0.142028696638	schmuck 0.0978531743989	namhaft 0.0940338324809	review 0.0703636490251	vermarktung 0.0528623403612	poster 0.0503410842033	werkstätte 0.0484679834045	ausgerichtet 0.0469156057738	rar 0.0444479060543	projektleiter 0.0406144616709	steigerung 0.03801308101	hochmodern 0.0205136290586	kostengrund 0.0191932808317	siegeszug 0.0167405071589	wellnessbereich 0.0149267694046	dinner 0.0144423672786	zwanzig 0.0139919333546	fotobuch 0.0133519399943	lackierer 0.0120183546043	ausstellungsstück 0.0116738402742	abdichten 0.0113413785594	onlinemagazin 0.0109334718235	konferenzraum 0.0106280046369	firmenlogo 0.0106268791242	detailreich 0.0104481688935
topic36	stetig 0.223492613268	fertigen 0.108221026557	bundesstaat 0.0935132328334	flugplatz 0.0602249843593	simulieren 0.0451794036105	jüngste 0.0370172452871	dozentin 0.031998407567	arbeitsfeld 0.0277001647051	entscheider 0.0258738252109	schauspielhaus 0.0254534918909	chemnitzer 0.0248058060808	lungenentzündung 0.0239536751438	raubtier 0.0222520599636	kundenkarte 0.0184207573135	entladung 0.0180621328032	spannweite 0.0180087842769	fachstelle 0.0152077113972	meise 0.0143151917157	alligator 0.0139536970035	wasserpflanze 0.012580870222	weihen 0.0114076092568	vorbereitungsphase 0.01007726572	hohe 0.00989539056088	oliv 0.00965380400127	ungehemmt 0.00916410567276
topic37	leistung 0.352329339305	privat 0.35063491711	krankenkasse 0.0573691092235	gesetzlich 0.0477340040403	krankenversicherung 0.0474248507628	versicherte 0.0335398594429	abgestimmt 0.0153461705966	lebensversicherung 0.0127912945622	kosten 0.00817787421927	zahnärztlich 0.00786575759805	beitrag 0.00703726564409	tarif 0.00703213162296	unabhängig 0.00586521446307	pflegeversicherung 0.00465241685258	übernehmen 0.00420486802837	vertragsbedingung 0.00352735833967	krankenversichert 0.00330624414109	kostenvorteil 0.00252983802771	gesundheitszustand 0.00246260753638	grundlage 0.00218400989818	baukastensystem 0.00159096316339	berufsunfähig 0.00155453976971	erhalten 0.00148925666123	unbefriedigt 0.0013149855071	anbieten 0.00123552963452
topic38	zusatz 0.0877703537478	unzureichend 0.0751542325268	gabe 0.0613296753227	satan 0.0519571109968	dosierung 0.044931100109	behandelt 0.0447227876882	finsternis 0.0378126088722	schädigung 0.0303233637332	auslegung 0.0302867909311	oral 0.0299062652939	reinheit 0.0286405355464	instabil 0.0284800180717	schleimhaut 0.0281067961768	ungenügend 0.027024632416	hemmung 0.0266325879427	prophezeiung 0.0239845469848	tremor 0.0223180099789	beharrlich 0.0209006823115	reaktiv 0.019762530628	schwindel 0.0166402619711	spore 0.0163361348806	ausscheidung 0.0158858147163	aufgetreten 0.015150516787	neugeboren 0.0145226391197	anämie 0.0128220430278
topic39	innen 0.185670922655	brasilianisch 0.08675534347	hit 0.0817089492454	funk 0.0696448807031	brite 0.0666314491789	ehrgeizig 0.0567305316891	abbild 0.040115028997	eingeschlossen 0.0356072554304	kitschig 0.0283015383602	symbiose 0.0274372248702	filmmusik 0.0268481514104	untrennbar 0.026306629647	erprobt 0.0244031508072	schlager 0.0226454929531	testergebnis 0.0211189611002	coupé 0.0209335363463	erlösen 0.0206219008136	dramaturgie 0.0182940460788	darbieten 0.017009162817	eingeschlagen 0.0156655927372	anwärter 0.0147738487601	bestenliste 0.0142441822366	wiedererkennungswert 0.0116829795235	geglückt 0.0103294345143	launig 0.00965996426474
