topic0	frau 0.265286647808	mann 0.122120015916	mutter 0.0219431625578	tochter 0.0188717313176	männlich 0.0183892196825	weiblich 0.0152737269302	jung 0.0136912557694	vater 0.0116644559943	ehe 0.011466601439	partner 0.0109419878956	paar 0.00999875781504	geschlecht 0.00968632991511	hochzeit 0.00963446080174	schwester 0.00798204770617	beziehung 0.00780456792763	heiraten 0.00687088118227	familie 0.00673151684137	freundin 0.00628056060558	sohn 0.00596677693482	schwanger 0.00595164710278	ehemann 0.00511843833502	kind 0.00482888560324	leben 0.00433905229206	verheiratet 0.00431622485507	haus 0.00391157382512
topic11	probe 0.0687090286142	geschlossen 0.0473286689082	kammer 0.0360627129907	sektion 0.0289414292881	kindergeld 0.0204655820591	artgerecht 0.0195839114007	larve 0.0180720994658	rating 0.0165439447718	wasseroberfläche 0.0136326585767	lehrende 0.0134588158443	gebärmutter 0.0120143878169	dominant 0.0119589425377	raupe 0.0103423265451	swing 0.0103108431645	kirchensteuer 0.0101920612694	zulage 0.00957673876916	vertragslaufzeit 0.00936025255725	hohlraum 0.00935159017827	zauberei 0.00923255791817	sandig 0.00912782784775	formatieren 0.00880282563717	immobilienfonds 0.00878021163075	schlüpfen 0.00873600749733	schimmelpilz 0.0086420180893	eigenbau 0.00854459530121
topic12	hotel 0.0451068656569	reise 0.025393285786	stadt 0.0203251800914	urlaub 0.0177449520491	insel 0.0160594024461	bieten 0.0153579895374	schön 0.0149403740029	strand 0.0139673028525	ferienwohnung 0.0130841971503	ort 0.0130481107311	unterkunft 0.0101029873625	gut 0.00966558932033	genießen 0.00858036878561	finden 0.00832552398133	region 0.00765904076575	tourist 0.00713892719311	meer 0.0070574765663	erleben 0.00672724079254	tag 0.00670383775112	pension 0.00649815546771	liegen 0.00621059064444	übernachtung 0.00607308585882	land 0.00605890862576	ferienhaus 0.00602976487755	besuch 0.00582310454405
topic13	sehen 0.0226258072674	sagen 0.0214938237527	hand 0.0159897677765	gehen 0.0152727316304	kommen 0.0139278972913	stehen 0.0125627248847	auge 0.0117383119134	lassen 0.0105488847002	kopf 0.00880512923033	wissen 0.00833307728775	fragen 0.00822255978306	nehmen 0.0078825016628	hören 0.00781169065818	arm 0.00729550901956	gesicht 0.00680425840558	halten 0.00676553053086	türe 0.00660874022317	sitzen 0.00660328106996	blick 0.00609726123308	plötzlich 0.00573171300632	rufen 0.00550951625072	legen 0.00547804827219	schauen 0.00545891043439	machen 0.00543772791505	mann 0.00533720103639
topic14	hoch 0.0247920704499	gering 0.0105991994598	weit 0.00919395111597	liegen 0.00913918788716	ergebniss 0.00875324503267	wert 0.00858151619033	deutlich 0.00835393388456	möglich 0.00822789946929	zeigen 0.0077410334676	groß 0.0074276948335	entsprechend 0.00708969591199	häufig 0.00686586065496	bereich 0.00632289361459	führen 0.00626759115266	unterschiedlich 0.00615590037452	stark 0.0054254316152	erfolgen 0.00531057061529	einzeln 0.00523257570916	vergleich 0.00518872954001	wichtig 0.00513232131354	zusätzlich 0.00505039008106	wesentlich 0.00501292988032	untersuchung 0.00493750397259	verschieden 0.00475130155119	erheblich 0.0047275713862
topic15	datei 0.0198013756654	funktion 0.018624006437	wert 0.0153008124266	objekt 0.0141731293436	tabelle 0.0139957924379	wählen 0.0125921209938	zeile 0.0123469416813	beispiel 0.0119423350449	feld 0.0118454746405	fenster 0.0106380367388	einstellung 0.0102187017205	option 0.0101244754923	programm 0.00994586528746	verwenden 0.00952791647024	geben 0.00885746682307	format 0.00879787773187	entsprechend 0.00848630974465	methode 0.00846541728763	ändern 0.00793497007505	automatisch 0.00784012564742	spalte 0.0076084528117	menü 0.00757612225144	typ 0.00711436435698	symbol 0.00707957192828	text 0.00685452281479
topic16	mitglied 0.0720799734626	verein 0.0521597262193	jahr 0.0354004256007	vorsitzende 0.023707131989	vorstand 0.0218746591975	neu 0.0177566685635	verband 0.010251369689	aktiv 0.00894700497237	finden 0.00824674292573	arbeit 0.00823959082963	amt 0.00781411549909	weit 0.00673397682279	mitgliederversammlung 0.00647030773872	aufgabe 0.00624285861268	erst 0.00595687743007	sitzung 0.00592862277951	mitgliedschaft 0.00592421427217	stellvertretend 0.00572753933702	bürgermeister 0.00570907640434	veranstaltung 0.00570774731617	bestehen 0.00557148116247	ehrenamtlich 0.00537504346012	nehmen 0.0052070062355	abteilung 0.00515268500078	stellen 0.005066180463
topic17	lassen 0.0282206823555	rezept 0.0241753579994	salz 0.0229072887543	geben 0.0207643373932	kochen 0.0202949688271	minute 0.0184086480621	schneiden 0.0172707259517	butter 0.0141869169459	kartoffel 0.0134826027892	fein 0.0124325969552	pfeffer 0.0121067604665	klein 0.0118768022273	gut 0.0107467809405	zucker 0.0107274467163	topf 0.0103139180165	mehl 0.00891823725237	waschen 0.00711640018627	legen 0.00678555919516	schälen 0.00668008472573	rühren 0.00658250081523	lecker 0.00655374672988	scheibe 0.00653815644595	kraut 0.00637166814116	tomate 0.00629574041737	schmecken 0.00622663904482
topic18	klein 0.0245245492606	groß 0.00992071651874	schön 0.00886615744496	lassen 0.00815138217026	wild 0.00667924851726	alt 0.00544690506058	wald 0.0052904844173	haar 0.00515208515137	kopf 0.00499660608836	auge 0.00485395398545	lang 0.00478587791846	lieb 0.00478549754066	tragen 0.00475924635	dick 0.00449370541832	sehen 0.00447022427852	voll 0.00438382621191	machen 0.00426133078444	böse 0.00420466255649	arm 0.00408534062571	jung 0.00397673795478	hübsch 0.00394052687341	masche 0.00384983609874	treiben 0.0037643055389	schwarz 0.00363659884211	süß 0.0036346686883
topic19	ausstellung 0.0542246138908	museum 0.0482051689846	besucher 0.0472293192376	messe 0.029111563712	sammlung 0.0239765128549	bibliothek 0.021308445716	galerie 0.0161884119958	historisch 0.0157050759984	archiv 0.0145783639038	zeigen 0.0142615785203	geschichte 0.0134032655374	führung 0.0121799797241	präsentieren 0.0119615963301	jahr 0.0112090215316	sehen 0.0110412867409	groß 0.0104289942711	zahlreich 0.00913593208691	aussteller 0.00879573600391	katalog 0.00868464733668	bestand 0.00733735486184	fund 0.00728120729047	finden 0.00647878241996	kultur 0.00639073759507	archäologisch 0.00581802289446	bieten 0.00564186962346
topic20	art 0.250713704139	schweizer 0.100117999719	kanton 0.0364889291908	franke 0.0364499661809	selbsthilfegruppe 0.0340308867977	rüge 0.0217022728261	entscheid 0.0156002371378	zürcher 0.0128772304833	beschwerdeführerin 0.0128237562694	regelmässig 0.0119412904524	galle 0.0108144193791	anschliessend 0.0107874844879	gesuch 0.0101006001957	auslage 0.00835217698149	begutachtung 0.00797217708708	verfassungsbeschwerde 0.00765683504685	familienangehörige 0.00758596952927	kantonal 0.0074644709965	betroffenheit 0.00735953655581	kochbuch 0.00721597510345	allfällig 0.00617833140456	unstimmigkeit 0.00605076123257	basler 0.00592879908125	ausschließlichßlich 0.00590024760369	grundregel 0.00543134382542
topic21	neu 0.0317802795066	problem 0.0299653321663	version 0.0255442356116	laufen 0.0155829522519	update 0.0149427377594	funktionieren 0.0147184088961	programm 0.0137401234378	gehen 0.0134199468325	geben 0.013124787298	rechner 0.012402077579	datei 0.0123494428848	fehler 0.0116460934084	server 0.010429552789	starten 0.00831890751502	installieren 0.00801336068022	liegen 0.00781963618052	kommen 0.00743980484517	alt 0.00724280014712	festplatte 0.00634070086219	ordner 0.00630130571691	machen 0.00611927686828	aktuell 0.00611387996961	treiber 0.00581456046966	dank 0.00559076843002	installation 0.00547256729159
topic22	sport 0.0488776879743	training 0.0383794268042	laufen 0.0373720528753	übung 0.0207135908387	trainieren 0.0183158490673	läufer 0.0168543568801	schnell 0.0164913926206	bewegung 0.0159470187541	sportlich 0.0134731861368	lang 0.012753614481	lauf 0.012233268284	minute 0.0122129580021	minimal 0.0119908441347	gut 0.0113308652771	machen 0.0112814744751	schwimmen 0.011196502357	woche 0.0102337760372	sportart 0.00894706139704	zeit 0.00868228157571	spaß 0.00823759685154	fit 0.00796847504681	ziel 0.00787417756192	trainer 0.00726875104061	bein 0.00681793969966	kraft 0.00653638960296
topic23	unternehmen 0.135605116816	mitarbeiter 0.0580325178759	gmbh 0.0570560022823	firma 0.0487901031156	bereich 0.0156951088332	kunde 0.0153994024691	geschäftsführer 0.0109820211237	dienstleistung 0.0106492503332	branche 0.0103926858138	unternehmer 0.00986492506255	wirtschaft 0.009800900512	standort 0.00973874962197	tätig 0.0095724117418	manager 0.00951131352369	betrieb 0.00832979329154	vertrieb 0.00780184001463	gehören 0.00719558545641	berater 0.00673026087483	management 0.00651105175129	industrie 0.00638194783691	führungskraft 0.00634591786557	auftrag 0.00620500673218	dienstleister 0.00586799711629	marketing 0.00561585411839	service 0.00556003288162
topic24	spende 0.111917113613	spenden 0.0454631022538	förderverein 0.0385146659865	leipziger 0.0364438500072	helfen 0.0352223734175	erlös 0.0235577724123	spender 0.0234754911171	unterbringung 0.0211843064369	postkarte 0.0211390584489	kur 0.0186696918367	sammeln 0.0154867672372	buchhandel 0.0140891936415	not 0.0138514445521	schwimmbad 0.0131054117752	hilfe 0.0130769789841	serviceleistung 0.010776248353	unterstützen 0.0102312053561	dringend 0.00987365527138	aufschrift 0.00926816881579	geld 0.00901544719103	großzügig 0.00827299376136	serbisch 0.00802329503088	zweck 0.00760877124602	kinderbetreuung 0.00751778140151	spielfigur 0.00733072858207
topic25	wohnort 0.0378190316721	royal 0.0269924935642	betreuer 0.0217615325269	grille 0.0202060372278	mathe 0.0159559280054	genesis 0.0136076439775	miss 0.0131725043621	angereist 0.0128466359104	zusammengestellt 0.0125052336542	schornstein 0.0124516913315	alphabet 0.0123942294748	promotion 0.0122683344056	multiplizieren 0.0120934549967	schnaps 0.0115019507279	liquid 0.0113978369957	betreuerin 0.0109221352089	bube 0.0109113910593	kartenspiel 0.0103378287884	widmung 0.0101306610485	wohlig 0.00934614042637	autovermietung 0.00900858358267	lotto 0.00891522079693	resümee 0.00884700135148	optimist 0.00871963474972	zufriedenstellend 0.00861845973935
topic26	energie 0.0521011083474	anlage 0.0254069921479	strom 0.0212875829096	jahr 0.012318801578	erneuerbar 0.00958162116848	gas 0.00706145990825	wärme 0.00671982285208	energiewende 0.00645553978525	betrieb 0.00643851490359	kraftwerk 0.00637971982243	klimawandel 0.006259334662	umwelt 0.00619097326165	erneuerbare 0.00591894553146	klimaschutz 0.00581167592077	groß 0.00549674473018	tonne 0.00522412945176	emission 0.00522316762024	nutzung 0.00500803512424	atomkraftwerk 0.00496294191902	energieversorgung 0.00447250596462	energieeffizienz 0.00446685238944	neu 0.00444357817908	hoch 0.00443761076461	kosten 0.00436535100887	klima 0.00430731854621
topic27	nummer 0.268964932862	vogel 0.0787814930492	teich 0.0294058629633	nest 0.0213460847076	insekt 0.0211660712457	hypnose 0.0181903515365	keyboard 0.0147573245846	schmetterling 0.014604699643	delphin 0.0140952929242	spinne 0.0137859774892	vegan 0.0126539689069	chirurg 0.0094045689798	gefälscht 0.00934479151957	frosch 0.00917281025442	pokémon 0.00903922160274	spring 0.00871766543555	schildkröte 0.00813931502555	ameise 0.00736290783265	nordisch 0.00710615622901	vegetarier 0.00679560775955	schwarm 0.00671680826719	brüten 0.00628269116346	schnabel 0.00626612480839	landbau 0.00598562478189	wurm 0.00568918830885
topic28	sauna 0.0380630110714	haltestelle 0.0357290463559	naturpark 0.0307722643032	kapelle 0.0280738543132	rezeption 0.0225066041475	naturschutzgebiet 0.022500669094	eiche 0.0218830185679	finnisch 0.021127657943	renovierung 0.0189350893566	hallenbad 0.0163360573939	dortmunder 0.0159904581443	denkmalschutz 0.0156985028111	jugendherberge 0.0144254242029	massage 0.0120748605981	neugestaltung 0.0113550667819	schaufenster 0.0105683265207	einzelzimmer 0.0104263885532	steinig 0.00977140502377	reichhaltig 0.00855255628713	gotisch 0.00854182924146	mineralisch 0.00848163947947	whirlpool 0.00835608369584	idyllisch 0.00797056551603	kaugummi 0.0075506955471	nutzfahrzeug 0.00744702781959
topic29	privat 0.100077534581	versicherung 0.0593656360528	gesetzlich 0.0408375051078	krankenkasse 0.0347098283469	rente 0.0274515782314	beitrag 0.0263479181685	krankenversicherung 0.0254771486229	leistung 0.0243855454158	kasse 0.0200119774333	versicherte 0.0195404218873	versicherer 0.0121250518948	jahr 0.010884956415	abschließen 0.00885495601773	absicherung 0.00813527926466	alter 0.00769613087931	geldanlage 0.00737963132995	spezialisieren 0.00722458162192	finanziell 0.00709047348182	risiko 0.00688979200165	lebensversicherung 0.00687163037613	abschluss 0.00672580419386	rentner 0.00659267117452	auftragnehmer 0.0064679385139	zahlen 0.00637922503506	versichert 0.00627522802265
topic30	freuen 0.0626428248018	wünschen 0.0575012170303	herzlich 0.0560482975587	lieb 0.0517519981672	dank 0.0467612336026	schön 0.0360665541009	neu 0.0357172993249	willkommen 0.0335223059937	gut 0.0261402999843	gruß 0.0239929972762	hoffen 0.0214102050349	jahr 0.0208692814991	spaß 0.018937939029	glückwunsch 0.0169318875184	danken 0.0166989352203	gute 0.0146915026258	geburtstag 0.0131952721797	hallo 0.01311342178	liebe 0.012271152554	wunsch 0.0111981744019	bedanken 0.01040361047	froh 0.00906529828493	melden 0.00736802642636	freund 0.00733697285502	erfolg 0.00689921267396
topic31	entwicklung 0.0160203169275	ziel 0.0155306457959	sozial 0.00975233265532	gemeinsam 0.00974393105297	neu 0.00871056147034	wichtig 0.00857329552119	bereich 0.00811584669033	konzept 0.00704074542579	stehen 0.00611601126765	zusammenarbeit 0.00607695140967	zukunft 0.0057031645048	rahmen 0.00562020988975	bildung 0.00542108281076	förderung 0.00540337843962	aufgabe 0.00530053676534	nachhaltig 0.00524947351041	maßnahme 0.00523125299753	zentral 0.00516587513371	herausforderung 0.00485532610358	umsetzung 0.00477241559653	gut 0.00475258501133	konkret 0.00459138615352	entwickeln 0.00444200320307	weit 0.00435673223614	weg 0.00427579618992
topic32	buch 0.116755047251	autor 0.0396024288978	geschichte 0.0328703086843	verlag 0.0270301194576	roman 0.0215983292046	lesen 0.0168209084908	text 0.0166455902603	leser 0.0162101741112	band 0.0141213972159	schreiben 0.0139850456326	literatur 0.0137112995177	werk 0.0130440483693	seite 0.0116902258076	kapitel 0.0104984808178	titel 0.00986964515418	autorin 0.00906018266708	neu 0.00842359237586	isbn 0.00827363104717	erst 0.00794852658526	erscheinen 0.00775059050488	heft 0.00751994849448	literarisch 0.00642259236874	gedicht 0.00636219673802	ausgabe 0.00580243679497	lese 0.00544710599009
topic33	spiel 0.0317198233167	tor 0.0205779279147	mannschaft 0.020175830929	minute 0.0194919962429	gut 0.0168619298746	erst 0.01444953017	ball 0.0137477820554	sieg 0.0111717589033	kommen 0.0102730985728	zweit 0.0094359063806	gehen 0.00926510291859	partie 0.00914941051104	gegner 0.0087962965233	chance 0.00875395255686	punkt 0.00810561105841	spielen 0.00799105648685	stehen 0.00714962192488	führung 0.00665070029472	niederlage 0.00642991153906	gast 0.00592444020751	spieler 0.00558026832873	letzt 0.00551576081817	lassen 0.00529217368987	stark 0.00513869198885	gastgeber 0.00486542347402
topic34	leder 0.0431432221922	dänisch 0.0370156254295	kieler 0.0333072777852	verändert 0.0304277500114	neustadt 0.0297014655988	norwegisch 0.025594250411	gentechnisch 0.0196713470507	manier 0.0177670454221	zebra 0.0158524069614	drummer 0.0147176043235	fluid 0.0134126523797	prise 0.0132579252104	frische 0.0130434396111	anpfiff 0.0127559803972	damm 0.0114570839283	kiel 0.0114024656852	einjährig 0.00979166511583	provinzial 0.00962716408175	bitteschön 0.00945808318401	ablage 0.00927339822689	plaziert 0.00922857290559	däne 0.00920934618017	schamane 0.00836614757741	reflex 0.00834916747241	handball 0.00801803105857
topic35	experte 0.0841973589307	schwingung 0.0278807056804	umlauf 0.0207391167427	beleg 0.0184368475491	vorderseite 0.0172301527088	neuhausen 0.0128797000725	verlässlich 0.0120291031253	erkannt 0.0115161701311	leidende 0.0114918258243	angeklickt 0.0111541334367	elektrode 0.0109472241042	pendel 0.00997110761091	verschluss 0.00969758744848	pulsar 0.00954367180731	verdeckt 0.00930939596469	luftdruck 0.00908133800925	knolle 0.00879953794658	detaillieren 0.00869819703799	laben 0.00860811331859	versiert 0.00759835729169	wissensvermittlung 0.00746377347533	fanpage 0.00708773324278	autismus 0.0070305186768	erklaert 0.00693455917862	beherrschend 0.00688596069146
topic36	schule 0.107003622917	schüler 0.0883885249815	lehrer 0.0365148523148	schülerin 0.0314224078162	unterricht 0.0259898692644	lernen 0.0152430648878	gymnasium 0.0152370852789	klasse 0.015099714289	grundschule 0.0119582863379	schuljahr 0.0103244697085	fach 0.0102242787241	lehrerin 0.0096092292108	pädagogisch 0.00921809149276	eltern 0.0089432388214	lehrkraft 0.00758244314661	bildung 0.00679343740411	jugendliche 0.00665225597243	schulisch 0.00581117172742	realschule 0.00508027875201	jahr 0.00445465659878	aufgabe 0.00428716788866	neu 0.00414700597753	hauptschule 0.00404975637816	schulen 0.00386797014629	geben 0.00380665136902
topic37	fliegen 0.0739759556582	flughafen 0.0614346625622	maschine 0.0594397098129	flug 0.0528354897345	flugzeug 0.047749766471	air 0.0281010051934	pilot 0.0219818489265	luft 0.0159475553961	flieger 0.0153192612908	flügel 0.0152751147837	fliege 0.0140031459003	fluggesellschaft 0.0139743140034	passagier 0.0121678791884	airline 0.0115895694228	flugplatz 0.00996234642203	landung 0.00976440928226	start 0.0094038830915	landen 0.0083927203298	einwirkung 0.00809251132397	jet 0.00809197128952	hubschrauber 0.0075108295907	terminal 0.00725508244638	fliegend 0.00691659781402	starten 0.0063792748228	luftfahrt 0.00600268497614
topic38	kostenlos 0.0782761501483	telefon 0.0550985638244	termin 0.0410919960201	erhalten 0.035719257714	newsletter 0.0258298582053	melden 0.0222501085455	bitten 0.0220817397097	anmeldung 0.0201480556518	mail 0.0184001435053	senden 0.0182692534509	adresse 0.0168621960242	anfrage 0.0165066861286	formular 0.0159585792038	telefonisch 0.0149295685235	fax 0.0144727351788	schicken 0.0109086341347	zeit 0.0103055427733	anruf 0.010236389017	telefonnummer 0.0100919170991	einfach 0.0100259291953	information 0.00988068317143	kontakt 0.00962935436413	angabe 0.00956147476571	woche 0.00914439587421	rufen 0.00883460573065
topic39	karte 0.0989260875078	bus 0.0372381783408	fahrt 0.0210219660136	geben 0.0201000846731	ticket 0.0177293265235	anreise 0.0133037044675	person 0.0127975917545	fahren 0.0122905452921	visum 0.0115895224067	tag 0.011082936497	reise 0.0110533737248	möglich 0.0103971683714	buchen 0.0103624434403	deck 0.00926489712725	mietwagen 0.00869932161171	fähre 0.00855825645723	pass 0.00847906610787	gelten 0.00842239822471	gültig 0.00781468124818	stunde 0.00764908915029	reisende 0.00697221251147	transfer 0.00626133319672	direkt 0.00605124125848	erhalten 0.00596265399626	übernachten 0.00581080055025
topic40	europäisch 0.344836415334	union 0.055430245618	kommission 0.052918144893	national 0.0260028878399	bundesamt 0.0194943900754	düsseldorfer 0.0179277706887	europaweit 0.0154039098999	parlament 0.0130004507295	rat 0.0118870529414	abkomme 0.0104646387622	gemeinschaft 0.00930029005373	gemeinsam 0.00887732839135	gender 0.00834729403147	vertrag 0.0081684053333	energieeffizient 0.0081029913209	atlas 0.00771889399101	ebene 0.00685498564794	luna 0.00581127709349	gerichtshof 0.00563170825228	europäer 0.00553229819857	piken 0.00546004895613	binnenmarkt 0.00537369868098	task 0.00533455591432	heizöl 0.00464061725244	energiesparlampe 0.00423428382761
topic41	haut 0.0821906567332	haar 0.0490151202871	virus 0.0251916722416	impfung 0.0216364729901	infektion 0.0155696045993	gesicht 0.013866581353	trocken 0.0113571722059	lippe 0.00949786990337	pickel 0.00925258607728	zecke 0.00900845428737	maske 0.00895373025759	erreger 0.00858474507637	nagel 0.0085086472683	schützen 0.00837742577615	ultra 0.00809429392791	lassen 0.00804430491289	antikörper 0.00801036379067	gel 0.00690409092059	allergisch 0.00651876212152	vorbeugend 0.00631747003631	sims 0.00629242557654	waschen 0.00600095948959	wunde 0.00597679987041	empfindlich 0.00588462766101	benutzen 0.00581826574206
topic42	spieler 0.0441455193587	spielen 0.0366788881461	trainer 0.0294878582294	verein 0.0249053258962	saison 0.0243838911769	mannschaft 0.0240623065167	spiel 0.0238989980754	liga 0.0222844854691	fußball 0.0213992824706	gut 0.017627250441	fan 0.0128167921942	bundesliga 0.0104399707066	sehen 0.0100843840301	kader 0.00805137909615	schalk 0.00797176541195	jahr 0.00708254851021	sagen 0.00676702787271	sportlich 0.00601300616366	platz 0.00600538831149	trikot 0.00572377811537	bayer 0.00561337346381	stehen 0.00549951343841	schlecht 0.00549297727199	spieltag 0.00535086699767	manager 0.00529579790087
