topic0	knallen 0.358314687133	move 0.179445133302	vermeidbar 0.142048562438	krähen 0.0724785779894	veranstaltungstermin 0.0449965811246	hardrock 0.0424434002469	lausig 0.0407662577773	schönheitschirurg 0.0317447592709	jagdgrund 0.0282156842357	bluesig 0.0249133560959	ohnegleichen 0.0153246942337	altenteil 0.0121628541168	rollin 0.00541923322978	lassen 3.91896033876e-08	liegen 1.73912509516e-08	deutlich 1.73512437898e-08	früh 1.73297600403e-08	kommen 1.73148576763e-08	einzig 1.73028444249e-08	alt 1.7282421764e-08	hart 1.7268456986e-08	egal 1.7265980681e-08	bleiben 1.72659694157e-08	gut 1.72652067697e-08	sehen 1.72649766254e-08
topic11	lärm 0.323531736409	ausweichen 0.217516661835	nächtlich 0.183228990392	gewalttätig 0.127167003856	umweltbundesamt 0.0597999615899	einschränkend 0.0318269525458	lärmbelästigung 0.0315247875303	luftverschmutzung 0.0243628777266	vermeiden 0.000194360948393	weit 2.45715581153e-08	ausgehen 9.12465495003e-09	hoch 8.50475673841e-09	zusammenhang 8.48079543927e-09	fall 8.47657404595e-09	wahrscheinlich 8.47203967849e-09	bestätigen 8.47083555932e-09	mensch 8.4694722681e-09	geben 8.46934748953e-09	feststellen 8.46933319457e-09	halten 8.46805240744e-09	ziehen 8.46794446555e-09	verschieden 8.46781097554e-09	zeigen 8.46767611335e-09	frage 8.46763614881e-09	machen 8.46757112397e-09
topic12	herrschend 0.500168120575	kluft 0.175258449206	feminismus 0.0980480840024	kerbe 0.0784299365329	unpolitisch 0.0652840998527	unselig 0.0465209238647	truppenstärke 0.0185605184367	vormodern 0.015904478575	ändern 1.62571445155e-06	behaupten 1.28933676009e-06	darstellen 9.45749725786e-07	eigen 1.36887329461e-07	bleiben 8.87945746127e-08	herrschen 5.5322479511e-08	gelten 5.22287428221e-08	teil 3.28030101786e-08	zeit 2.82756426659e-08	zusammenhang 2.72843776059e-08	stehen 2.49267962232e-08	tatsächlich 2.16188910988e-08	gewiss 2.10935191873e-08	recht 2.08084345484e-08	frage 1.98261855702e-08	ganz 1.95494896939e-08	bestimmen 1.92773126977e-08
topic13	schuldig 0.26298363095	orden 0.242345860701	chefredakteur 0.156819065145	podiumsdiskussion 0.138034523941	forcieren 0.0770444123301	vollversammlung 0.0540291399836	hörfunk 0.0454370752605	böller 0.0222367324159	neu 8.28227204151e-05	stehen 5.10286637028e-05	deutlich 2.82508239301e-05	deutsch 7.45722327943e-07	stellen 2.66371667361e-07	gehen 1.35429466326e-07	leben 1.1461079726e-07	setzen 1.84880193017e-08	eigen 1.23363216973e-08	ende 1.08371628767e-08	machen 9.07428920763e-09	groß 9.07210142664e-09	bild 9.07193979968e-09	frage 9.06942773994e-09	gelten 9.06819349207e-09	zeigen 9.0664326686e-09	aufgabe 9.06442002834e-09
topic14	erwarten 0.924948073314	unübersichtlich 0.0441174499633	webbrowser 0.0128524815124	selbstklebend 0.0128489482901	selbstgebrannt 0.00494175610541	groß 1.72082547374e-05	finden 1.28304759184e-05	stehen 3.51165280634e-06	weit 7.62200690143e-08	einfach 2.44570912356e-08	geben 2.59923168274e-09	gut 2.5806818016e-09	nutzen 2.57721118718e-09	gleichzeitig 2.57681111623e-09	frage 2.57665799468e-09	letzt 2.57665608219e-09	vertrauen 2.57665512751e-09	eigen 2.57665503313e-09	wählen 2.57665499279e-09	korrekt 2.57665498073e-09	eng 2.57665497343e-09	lassen 2.57665496199e-09	kommen 2.57665495436e-09	vermeiden 2.57665494596e-09	klein 2.57665494404e-09
topic15	geschrieben 0.596593665276	verbrecher 0.108920478272	beleidigend 0.0939517599965	gescheitert 0.0886498790601	bekennend 0.0617037293374	bildfläche 0.0291467944301	wehrhaft 0.020249951881	ende 7.35995011394e-05	stehen 1.04272616031e-06	scheinen 1.03291190501e-06	wissen 1.36239963346e-07	sagen 1.03828792712e-07	recht 9.1844844807e-08	nehmen 1.22258360347e-08	sehen 1.18980032859e-08	genau 1.17411985454e-08	gehen 1.17136956444e-08	kommen 8.94840742441e-09	geben 7.43961701416e-09	teil 7.4321990435e-09	fall 7.23582752107e-09	deutsch 7.19284022988e-09	alt 7.11501000716e-09	lassen 7.10489824944e-09	tag 7.10019443908e-09
topic16	solidarität 0.516208167166	utopie 0.198334485845	frankfurt 0.124160622133	blendend 0.0778537860743	urvater 0.0338838899261	flaschenhals 0.0222549809147	rückstandsfrei 0.0121446530016	entmutigung 0.00909225067818	siegesgewiss 0.00466253690727	sinn 0.00014730287201	mensch 1.57254115051e-05	voll 1.21116146239e-05	bleiben 4.81634663266e-08	neu 1.77809804896e-08	gehen 1.35820060858e-08	weg 1.26122930884e-08	deutlich 1.26081023797e-08	leben 1.24623385658e-08	setzen 1.24098035381e-08	stark 1.23807045109e-08	jahrhundert 1.2302037801e-08	erreichen 1.2298552809e-08	geben 1.2298412837e-08	machen 1.22967106198e-08	stehen 1.22966837516e-08
topic17	verlängert 0.323586509765	fachschaft 0.231307738096	urlaubszeit 0.102532658456	kursangebot 0.102464372314	verehrer 0.0894905297833	filmvorführung 0.0624732736971	videoportal 0.0558254895435	freizeitwert 0.0165445631303	picknickkorb 0.0123016264524	bieten 0.00122098142152	zusätzlich 0.000103816923367	finden 5.49273064229e-08	vielfältig 2.16189361529e-08	möglichkeit 2.14915408912e-08	weit 2.14896549018e-08	ende 2.14882236939e-08	lang 2.14877182313e-08	geben 2.14870652974e-08	neu 2.14866462189e-08	woche 2.14866095716e-08	aktuell 2.14865374622e-08	erst 2.14865004884e-08	entscheiden 2.14864977359e-08	entsprechend 2.14864865108e-08	wachsen 2.14864539952e-08
topic18	lohn 0.405944193128	globalisierung 0.205895801836	logistik 0.196411687732	container 0.189854435165	zeit 0.000622700116783	bringen 0.000246360800393	stehen 0.000198178615445	gut 0.000125390197252	weit 8.93471693995e-05	kommen 1.71363725071e-05	geben 1.16767816912e-06	kurz 3.69170496878e-08	bieten 7.99229949432e-09	mensch 6.12769957496e-09	tag 5.95015225762e-09	land 5.93796648882e-09	brauchen 5.93680063848e-09	woche 5.93650678833e-09	beschäftigen 5.93645739635e-09	branche 5.93634344675e-09	bedeutung 5.93633731088e-09	international 5.93633574952e-09	lage 5.93633449458e-09	ding 5.93633337584e-09	platz 5.9363329232e-09
topic19	saugen 0.271772543508	rhythmisch 0.192434744195	treppenhaus 0.11734810238	gruft 0.0533304663065	lichtstrahl 0.0529864253452	sitzecke 0.0503682188268	seufzer 0.0412588701488	stadtbücherei 0.0402912029487	keck 0.0307175605797	abgehängt 0.0201107955701	glasbaustein 0.0186996628553	glaswand 0.0144259478079	eisblock 0.0138570212269	statiker 0.0132893834494	deckenleuchte 0.0125542397154	mattiert 0.0123415455592	teeküche 0.00923670783166	vortragsraum 0.00869966157099	umschlossen 0.0083124320092	gipsverband 0.00495618496147	funktionalistisch 0.00487406611596	leuchtkörper 0.00433451359298	spülkasten 0.00268126627667	stark 8.11493104022e-08	groß 3.35979324955e-08
topic20	badeanzug 0.397201092488	ökologie 0.279473713468	einordnung 0.144527060653	hellen 0.0620819479968	sachunterricht 0.0410277054613	unvorteilhaft 0.0267615163801	konstruktivismus 0.0255864432215	pastellfarbe 0.0107065031558	hochspringen 0.0103082234649	machen 0.000648532249891	wichtig 2.05724960188e-08	weit 1.88918098794e-08	lassen 1.70241909219e-08	stehen 1.68568574609e-08	gut 1.68230759948e-08	bleiben 1.67985662172e-08	entwicklung 1.67841509944e-08	geben 1.67784648128e-08	verschieden 1.67773016123e-08	setzen 1.67770337862e-08	praktisch 1.67744023771e-08	diskussion 1.67743412008e-08	sehen 1.67743118684e-08	hilfe 1.67743101672e-08	neu 1.67743052261e-08
topic21	dienstleistung 0.558917397357	spezialist 0.23440525879	schmutz 0.0764733775296	spring 0.0446790864555	salzgitter 0.0309425451253	wohlig 0.0286397791496	bieten 0.0254073653949	sicher 0.000143979508401	knapp 6.84776361331e-06	schnell 4.55151516724e-08	jahr 1.41854554445e-08	machen 3.93832128843e-09	erfahrung 3.8485480429e-09	geben 3.84567683238e-09	art 3.84386710701e-09	gehen 3.84362595796e-09	fall 3.84359394115e-09	gleich 3.84357200732e-09	thema 3.84355968185e-09	tag 3.84353906763e-09	weise 3.84346969016e-09	kommen 3.84346730425e-09	arbeit 3.8434556494e-09	hand 3.84345538878e-09	leistung 3.84345496601e-09
topic22	herausgeber 0.594924135844	teilnehmend 0.285606924572	folk 0.116900803915	deutsch 0.00157034194542	neu 1.09678348735e-08	möglichkeit 9.98148603895e-09	beitrag 9.98138219065e-09	zusammenarbeit 9.97889735449e-09	gemeinsam 9.97888478883e-09	verschieden 9.97859450061e-09	zeit 9.9783675311e-09	band 9.97835021864e-09	zahlreich 9.9783456026e-09	genannt 9.97833848421e-09	widmen 9.97833501944e-09	geben 9.97833450563e-09	speziell 9.97833263052e-09	thema 9.97832885577e-09	auswahl 9.97832809648e-09	folgend 9.97832790909e-09	gut 9.97832706173e-09	kurz 9.97832665167e-09	fungieren 9.97832663915e-09	eng 9.97832656544e-09	weit 9.97832656498e-09
topic23	hauptsächlich 0.713896713174	kilogramm 0.12216184597	flosse 0.0366721345998	kanarischen 0.0262405430994	bestehen 0.0159217070445	gefräßig 0.0128670046317	wildlebend 0.0116821970214	wildfang 0.00864560449289	reuse 0.00862206632085	raubfisch 0.00825294518129	schwarmfisch 0.00685767340135	gleichfarbig 0.00622576121206	wolfsbarsch 0.00598547546831	klimabedingung 0.00509594194372	gehören 0.00329073906733	groß 0.0021668809347	bewegen 0.00120614900975	bilden 0.000886247106129	jahr 0.00073907883824	unterschiedlich 0.000578524160422	klein 0.000353802110122	stark 0.000281097569335	fallen 0.00027216582278	liegen 0.000226469984011	hoch 0.00016597607908
topic24	bedenken 0.829030946321	leichtfertig 0.0676052339959	leader 0.0466278483346	mau 0.0294038720871	wettbewerbsverzerrung 0.0132565021737	spielverständnis 0.0067508794487	killerinstinkt 0.00418759935653	maurerarbeit 0.0024954211663	knapp 3.44487549016e-05	geben 1.1688357868e-08	damalig 9.46737421076e-09	schnell 8.2792330294e-09	hoch 7.10816888312e-09	machen 6.56627500329e-09	gehen 6.1478831416e-09	sicher 6.14336055145e-09	kommen 6.10376076615e-09	gut 6.08935441253e-09	fall 6.08583068577e-09	letzt 6.08524787124e-09	klar 6.08256011443e-09	deutlich 6.07818306342e-09	finden 6.07674970536e-09	lassen 6.07671981758e-09	egal 6.07656203234e-09
topic25	wohlgemerkt 0.484527362783	dämpfung 0.219565304046	eingeplant 0.0928673526084	breitband 0.091969335729	vermittlungsstelle 0.0884718128489	verbindungsgeschwindigkeit 0.0184265114582	tatsächlich 1.00356981426e-05	fall 1.06854556429e-07	genannt 7.69117051192e-08	hoch 5.15868399925e-08	lang 4.22132882983e-08	vorhanden 4.2169143278e-08	gehen 4.21080116597e-08	ganz 4.19193067387e-08	gut 4.17051244209e-08	überlegung 4.1703370919e-08	kommen 4.16416805136e-08	lassen 4.16330697328e-08	entsprechen 4.16282618499e-08	feststellen 4.16270796515e-08	erreichen 4.16265150602e-08	bleiben 4.16261094311e-08	direkt 4.16258144706e-08	grund 4.16254076716e-08	einfach 4.16251660202e-08
topic26	ausleihen 0.237349549725	zeitweilig 0.226537211024	naheliegend 0.225608161979	entzünden 0.164291714711	unentwegt 0.0704078301283	tiefschwarz 0.0394565278281	vereinsfest 0.0139794770749	abendstimmung 0.00811543245092	zwischenring 0.0074976269779	bierbank 0.00515780553335	folgend 1.69668565966e-06	kurz 1.65794807688e-08	jeweilig 1.60256257491e-08	gehen 1.59738759988e-08	lassen 1.59718265901e-08	bekommen 1.59717822362e-08	gemeinsam 1.59716092678e-08	alt 1.59715740885e-08	entsprechend 1.59715676341e-08	weise 1.59714516309e-08	gut 1.5971446402e-08	nah 1.59714322189e-08	beginn 1.59714307651e-08	neu 1.59714218439e-08	bloß 1.59714215544e-08
topic27	universität 0.842666000042	jahr 0.0383101434139	professor 0.0382245974701	deutsch 0.0341223466411	neu 0.0120382500948	weit 0.00715120305919	finden 0.00651266904448	erst 0.00624251475087	groß 0.00189202037859	speziell 0.00177760820858	verschieden 0.0017192089965	zusammenhanglos 0.00155082219883	einzig 0.00132032253113	stehkragen 0.00131290468298	nehmen 0.00106314102645	liegen 0.00106050748513	stehen 0.000906557287503	kommen 0.000657084366735	führen 0.000452768966073	gut 0.000333230493928	hoch 0.000200018587377	stark 9.24886561955e-05	geben 7.62265978455e-05	recht 4.49761303912e-05	lang 1.71460427304e-05
topic28	kombiniert 0.25639851728	zentrale 0.176252770569	rahmenprogramm 0.155224585504	drink 0.137222209998	ungesund 0.118390599732	sauerei 0.0425210108417	geklaut 0.03517413542	essverhalten 0.02894255192	sachinformation 0.0220267672491	vollpfosten 0.0201262938061	steinzeitmensch 0.00601587039114	zusätzlich 0.000699109107514	nehmen 1.75120146851e-08	stellen 1.01019397616e-08	voll 1.00606055017e-08	recht 1.00592087261e-08	sorgen 1.00582906602e-08	kommen 1.00578367707e-08	einfach 1.00575775375e-08	geben 1.00571212403e-08	stehen 1.00570288535e-08	groß 1.00570212748e-08	tätig 1.00569792841e-08	gut 1.00569673263e-08	seite 1.00569309663e-08
topic29	made 0.334364649879	dreharbeit 0.211986711639	casting 0.159515005932	vollmond 0.116720444924	berlinale 0.0634395889916	fesch 0.0377677318988	kitchen 0.0235426664835	nacktschnecke 0.0172395610863	jahr 0.0109088635934	beginnen 0.00710600881607	stehen 0.00481490896426	erst 0.00255008951463	sehen 0.00196771812384	neu 0.00190908387189	groß 0.000902578144717	gut 0.000531243744809	gehen 0.000512574497187	ende 0.000499196818523	mal 0.000469663729742	deutsch 0.000467468118935	kommen 0.000408770504311	tatsächlich 0.000382366872929	voll 0.000269297641007	nah 2.03544349446e-05	bringen 1.11048801329e-05
topic30	rufen 0.946666941231	schadenfreude 0.0107454086134	schneeflocke 0.00952430315246	schneemasse 0.00871044025352	kopfende 0.0065195396969	bahre 0.00572330323832	autowrack 0.00392478797763	weiterreisen 0.00335265842233	markerschütternd 0.00266498326716	medienhype 0.00111831046778	beginnen 0.000696716194987	ziehen 4.1455728318e-09	kommen 3.91745782533e-09	bleiben 3.63268966124e-09	nah 3.60830167587e-09	widerrufen 3.5266829529e-09	liegen 3.52654129166e-09	greifen 3.52647811541e-09	gehen 3.5264742172e-09	gleich 3.52646591287e-09	weit 3.52646381523e-09	hören 3.52645403554e-09	fallen 3.52645198978e-09	beschäftigen 3.52645103036e-09	fall 3.52645093913e-09
topic31	arg 0.356398938904	dreck 0.227682752673	roh 0.199859958764	bulle 0.108873414717	zumachen 0.0513058696682	grummeln 0.0189283914466	abstellung 0.0056238107661	antanzen 0.0051042904806	machen 0.00494413408743	voll 0.00360224090193	gehen 0.00243436282283	kommen 0.00242682610104	gut 0.00232559397123	geben 0.00172729201555	klar 0.00112060346791	recht 0.00105359195585	fallen 0.00105177853668	nehmen 0.000877357561041	klein 0.000718915678973	lassen 0.000712253393776	stehen 0.000437485276854	einfach 0.000405862047641	finden 0.000293627597157	ganz 0.000235669909738	weit 0.000226175744828
topic32	ausbildungsberuf 0.493235352951	muffin 0.175931660117	landesdirektion 0.0956141619573	berufsbildungsgesetz 0.069929176439	ausbildungsinhalt 0.0670729326577	bedrückt 0.0435566426111	entgegenschlagen 0.0340820791583	buchstabensalat 0.0159469342232	geben 4.63152321922e-08	wissen 4.63143215567e-08	tun 4.63143144378e-08	gut 4.63143133462e-08	genau 4.63143079393e-08	reagieren 4.63143068438e-08	sehen 4.63143065101e-08	wichtig 4.631430546e-08	kommen 4.63143042839e-08	neu 4.6314304119e-08	machen 4.63143040955e-08	gehen 4.63143040594e-08	tatsächlich 4.63143040506e-08	erklären 4.6314304048e-08	denken 4.63143040401e-08	sicher 4.63143040362e-08	halten 4.63143040015e-08
topic33	intuitiv 0.206235345682	fehlerfrei 0.159142583982	mausklick 0.126878634565	bezaubernd 0.117137531295	einstimmen 0.0832870792428	lenkung 0.0676345293684	voll 0.0674404618376	boutique 0.0570160695857	christkindlmarkt 0.0287017490141	hervorholen 0.0218469392638	osmanisch 0.0214254881934	bezirkshauptstadt 0.0135597490587	mittelbayerisch 0.0119030523986	gewitterwolke 0.0110343992657	machen 0.00195756475486	gut 0.00159364513278	möglich 0.00148448442786	einfach 0.000472186441026	bieten 0.000390728696188	modern 5.40505406697e-05	möglichkeit 2.2735946502e-06	schön 8.13081940745e-08	alt 8.37526189697e-09	lassen 8.18572253087e-09	funktionieren 8.18347935321e-09
topic34	verfassung 1e-05	politisch 1e-05	mitgliedstaat 1e-05	verfassungsvertrag 1e-05	französisch 1e-05	neu 1e-05	national 1e-05	europäisch 1e-05	maßnahme 1e-05	bürger 1e-05	jahr 1e-05	referendum 1e-05	falle 1e-05	kommission 1e-05	räuber 1e-05	chance 1e-05	öffentlich 1e-05	regierung 1e-05	erst 1e-05	weit 1e-05	änderung 1e-05	parlament 1e-05	franzose 1e-05	politik 1e-05	sehen 1e-05
topic35	experte 0.868512759572	auffallend 0.106003706343	witterungsbedingung 0.0149992506027	geschmeidigkeit 0.00817271135181	verlieren 0.000544084949672	speziell 0.000358669241503	treten 0.000245050668766	tatsächlich 0.000233012087693	reichen 0.000205047169622	richtig 7.9209348832e-05	bilden 3.83163508108e-05	wissen 3.5709391124e-05	gut 1.5341996651e-05	bringen 1.34131446246e-05	gleichzeitig 3.27048940745e-06	sicht 2.01087571638e-06	weisen 4.55627815093e-07	lassen 3.80458508365e-07	sagen 1.69824068546e-07	frage 4.68239904781e-08	geben 4.02406586674e-08	anspruch 1.69833921502e-08	zeigen 8.88031809136e-09	führen 8.38839306455e-09	genau 6.8864942862e-09
topic36	hoch 1e-05	geldinstitut 1e-05	flusskreuzfahrt 1e-05	parkend 1e-05	organisationsprinzip 1e-05	stadtgemeinde 1e-05	widernatürlich 1e-05	altbekannte 1e-05	anbetracht 1e-05	bilderserie 1e-05	ausflugziel 1e-05	erwerbsperson 1e-05	versichert 1e-05	babysitte 1e-05	revolutionieren 1e-05	agieren 1e-05	versichern 1e-05	irrsinnig 1e-05	schlacht 1e-05	fensterputzen 1e-05	sozialgesetzgebung 1e-05	deckungsgleich 1e-05	einfuhrabgabe 1e-05	niedersachse 1e-05	zuchtlinie 1e-05
topic37	gegenstand 0.640120699751	umschreiben 0.0534713535772	fachgeschäft 0.0498204272756	vital 0.0398240183545	feurig 0.0381769221438	schillernd 0.0356604680135	entfachen 0.029185240153	schädigend 0.0276679297739	twist 0.0156179779737	lodernd 0.00909852983318	oberflächenstruktur 0.00893911468712	spektral 0.00797804069457	erzittern 0.00652719145482	schülerband 0.00639514763711	bestrahlen 0.00583781213432	silberscheibe 0.00547504072881	bestimmt 0.00420585533642	didgeridoo 0.00353659333008	geschwärzt 0.00340996253592	ergeben 0.00215920934639	unterschiedlich 0.00196560503832	bestehen 0.00159641150091	betrachten 0.000980531216885	ermessenssache 0.000881567481377	verschieden 0.000681850836171
topic38	diesbezüglich 0.779524406114	hinhauen 0.0634205083449	rechtsgrund 0.0376785756663	akkreditiert 0.0374138378591	leergewicht 0.0338632378014	ottomotor 0.0168987738097	schwungmasse 0.0132032050347	zeitbedarf 0.0119835008216	motortyp 0.00275087747116	bestellliste 0.00178796480621	entsprechen 1.17224503003e-06	entsprechend 7.90591565737e-07	genannt 4.07244490351e-07	deutsch 1.86544664536e-08	weise 1.68695709627e-08	frage 1.48232927516e-08	folgend 1.47850428067e-08	möglich 1.47367517493e-08	stehen 1.47343378528e-08	gewiss 1.47339747756e-08	weit 1.47307556296e-08	bringen 1.47297981116e-08	geben 1.47294138335e-08	beziehen 1.47293806099e-08	speziell 1.47293273083e-08
topic39	weihnachtlich 0.211185184882	lagerfeuer 0.202786264598	winterlich 0.167888881532	achterbahn 0.119261039683	vorredner 0.117148485248	hauptsaison 0.0657885502825	geldspende 0.0554390744981	wintersaison 0.0536012150326	guterhalten 0.00469667423129	betrachten 0.000703111187547	groß 3.07435169774e-07	kommen 1.53461431612e-08	schön 1.52337481675e-08	ziehen 1.50657216433e-08	lassen 1.50523330516e-08	lang 1.50349236559e-08	zeigen 1.50230991755e-08	schwierigkeit 1.50225435739e-08	recht 1.50208827779e-08	geben 1.50164887606e-08	nah 1.50160312104e-08	gut 1.50158586363e-08	gehen 1.50149582788e-08	möglich 1.50143288528e-08	gestalten 1.50140816748e-08
